"","",""
"Abies","fir","AZ(Apache, Cochise, Coconino, Gila, Graham, Mohave, Pima, Pinal, Yavapai)"
"Abies concolor","white fir","AZ(Apache, Cochise, Coconino, Gila, Graham, Mohave, Pima, Pinal, Yavapai)"
"Abies lasiocarpa","subalpine fir","AZ(Apache, Coconino, Graham, Pima)"
"Abies lasiocarpa var. arizonica","corkbark fir","AZ(Coconino, Graham)"
"Abies lasiocarpa var. lasiocarpa","subalpine fir","AZ(Apache, Coconino, Graham, Pima)"
"Abronia","sand verbena","AZ(Apache, Cochise, Coconino, Graham, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Yuma)"
"Abronia angustifolia","purple sand verbena","AZ(Cochise, Coconino, Graham, Maricopa, Pima, Pinal, Yuma)"
"Abronia elliptica","fragrant white sand verbena","AZ(Apache, Coconino, Mohave, Navajo)"
"Abronia fragrans","snowball sand verbena","AZ(Apache, Coconino, Navajo)"
"Abronia nana","dwarf sand verbena","AZ(Apache, Coconino, Mohave)"
"Abronia nana var. nana","dwarf sand verbena","AZ(Apache, Coconino, Mohave)"
"Abronia villosa","desert sand verbena","AZ(La Paz, Maricopa, Mohave, Pima, Pinal, Yuma)"
"Abronia villosa var. villosa","desert sand verbena","AZ(La Paz, Maricopa, Mohave, Pima, Pinal, Yuma)"
"Abutilon","Indian mallow","AZ(Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai, Yuma)"
"Abutilon abutiloides","shrubby Indian mallow","AZ(Cochise, Graham, Maricopa, Pima, Pinal, Santa Cruz, Yavapai)"
"Abutilon incanum","pelotazo","AZ(Cochise, Graham, Greenlee, La Paz, Maricopa, Mohave, Pima, Pinal, Yavapai, Yuma)"
"Abutilon malacum","yellow Indian mallow","AZ(La Paz, Maricopa, Pima, Pinal, Yuma)"
"Abutilon mollicomum","Sonoran Indian mallow","AZ(Cochise, Gila, Graham, Greenlee, Maricopa, Pima, Pinal, Santa Cruz)"
"Abutilon palmeri","Palmer's Indian mallow","AZ(Cochise, Maricopa, Pima, Yuma)"
"Abutilon parishii","Parish's Indian mallow","AZ(Gila, Graham, Maricopa, Pima, Pinal, Santa Cruz, Yavapai)"
"Abutilon parvulum","dwarf Indian mallow","AZ(Cochise, Coconino, Gila, Graham, Maricopa, Mohave, Navajo, Pima, Pinal)"
"Abutilon reventum","yellowflower Indian mallow","AZ(Pima)"
"Abutilon theophrasti","velvetleaf","AZ(Maricopa, Pima)"
"Abutilon thurberi","Thurber's Indian mallow","AZ(Pima)"
"Acaciella","","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Navajo, Pima, Santa Cruz, Yavapai)"
"Acaciella angustissima","prairie acacia","AZ(Graham, Greenlee, Maricopa, Yavapai)"
"Acaciella angustissima var. hirta","prairie acacia","AZ(Graham)"
"Acaciella shrevei","Shreve's prairie acacia","AZ(Cochise, Santa Cruz)"
"Acaciella suffrutescens","prairie acacia","AZ(Apache, Cochise, Coconino, Gila, Graham, Navajo, Pima, Santa Cruz)"
"Acalypha","copperleaf","AZ(Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Acalypha californica","California copperleaf","AZ(Pima)"
"Acalypha mexicana","Mexican copperleaf","AZ(Cochise)"
"Acalypha neomexicana","New Mexico copperleaf","AZ(Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Acalypha ostryifolia","pineland threeseed mercury","AZ(Cochise, Graham, Pima, Santa Cruz)"
"Acalypha phleoides","shrubby copperleaf","AZ(Cochise, Pima, Santa Cruz)"
"Acamptopappus","goldenhead","AZ(Coconino, Gila, Graham, La Paz, Maricopa, Mohave, Pima, Pinal, Yavapai, Yuma)"
"Acamptopappus sphaerocephalus","rayless goldenhead","AZ(Coconino, Gila, Graham, La Paz, Maricopa, Mohave, Pima, Pinal, Yavapai, Yuma)"
"Acamptopappus sphaerocephalus var. hirtellus","rayless goldenhead","AZ(Maricopa, Mohave)"
"Acamptopappus sphaerocephalus var. sphaerocephalus","rayless goldenhead","AZ(Coconino, Gila, Graham, La Paz, Maricopa, Mohave, Pima, Pinal, Yavapai, Yuma)"
"Acer","maple","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Acer glabrum","Rocky Mountain maple","AZ(Apache, Cochise, Coconino, Graham, Navajo, Pima)"
"Acer glabrum var. diffusum","Rocky Mountain maple","AZ(Coconino)"
"Acer glabrum var. glabrum","Rocky Mountain maple","AZ(Apache, Cochise, Coconino, Graham)"
"Acer glabrum var. neomexicanum","New Mexico maple","AZ(Graham, Pima)"
"Acer grandidentatum","bigtooth maple","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Mohave, Pima, Santa Cruz, Yavapai)"
"Acer grandidentatum var. grandidentatum","bigtooth maple","AZ(Cochise, Coconino, Gila, Graham, Greenlee, Mohave, Pima, Yavapai)"
"Acer negundo","boxelder","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Mohave, Navajo, Pima, Pinal, Yavapai)"
"Acer negundo var. interius","boxelder","AZ(Graham, Mohave, Pima)"
"Achillea","yarrow","AZ(Apache, Cochise, Coconino, Gila, Graham, Mohave, Navajo, Pima, Yavapai)"
"Achillea millefolium","common yarrow","AZ(Apache, Cochise, Coconino, Gila, Graham, Mohave, Navajo, Pima, Yavapai)"
"Achillea millefolium var. alpicola","common yarrow","AZ(Apache, Coconino)"
"Achillea millefolium var. occidentalis","western yarrow","AZ(Apache, Cochise, Coconino, Graham, Mohave, Navajo, Pima, Yavapai)"
"Achnatherum","needlegrass","AZ(Apache, Cochise, Coconino, Gila, Graham, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Yavapai, Yuma)"
"Achnatherum ×bloomeri","","AZ(Coconino, Navajo)"
"Achnatherum aridum","Mormon needlegrass","AZ(Coconino, Maricopa, Navajo)"
"Achnatherum eminens","southwestern needlegrass","AZ(Cochise, Graham, Pima)"
"Achnatherum hymenoides","Indian ricegrass","AZ(Apache, Coconino, Mohave, Navajo, Pima, Yavapai)"
"Achnatherum lemmonii","Lemmon's needlegrass","AZ(Apache, Cochise, Coconino, Pima, Yavapai)"
"Achnatherum lemmonii var. lemmonii","Lemmon's needlegrass","AZ(Apache, Cochise, Coconino, Pima, Yavapai)"
"Achnatherum lettermanii","Letterman's needlegrass","AZ(Apache, Cochise, Coconino, Navajo, Pima, Yavapai)"
"Achnatherum lobatum","littleawn needlegrass","AZ(Cochise)"
"Achnatherum nelsonii","Columbia needlegrass","AZ(Apache, Coconino, Navajo, Pima, Yavapai)"
"Achnatherum nelsonii ssp. dorei","Dore's needlegrass","AZ(Coconino, Navajo, Pima, Yavapai)"
"Achnatherum nelsonii ssp. nelsonii","Columbia needlegrass","AZ(Coconino)"
"Achnatherum parishii","Parish's needlegrass","AZ(Coconino)"
"Achnatherum parishii var. parishii","Parish's needlegrass","AZ(Coconino)"
"Achnatherum robustum","sleepygrass","AZ(Apache, Coconino, Yavapai)"
"Achnatherum speciosum","desert needlegrass","AZ(Apache, Coconino, Gila, Graham, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Yavapai, Yuma)"
"Achyronychia","achyronychia","AZ(Maricopa, Mohave, Pima, Pinal)"
"Achyronychia cooperi","onyxflower","AZ(Maricopa, Mohave, Pima, Pinal)"
"Acleisanthes","trumpets","AZ(Maricopa, Pinal, Yuma)"
"Acleisanthes longiflora","angel's trumpets","AZ(Maricopa, Pinal, Yuma)"
"Aconitum","monkshood","AZ(Apache, Cochise, Coconino, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Aconitum columbianum","Columbian monkshood","AZ(Apache, Cochise, Coconino, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Aconitum columbianum ssp. columbianum","Columbian monkshood","AZ(Apache, Cochise, Coconino, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Aconitum infectum","Arizona monkshood","AZ(Coconino)"
"Acourtia","desertpeony","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Acourtia nana","dwarf desertpeony","AZ(Cochise, Gila, Greenlee, Maricopa, Pima, Pinal, Santa Cruz, Yavapai)"
"Acourtia thurberi","Thurber's desertpeony","AZ(Cochise, Graham, Mohave, Pima, Santa Cruz)"
"Acourtia wrightii","brownfoot","AZ(Apache, Cochise, Coconino, Graham, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Acroptilon","hardheads","AZ(Apache, Cochise, Greenlee, Maricopa, Navajo, Pima, Yavapai)"
"Acroptilon repens","hardheads","AZ(Apache, Cochise, Greenlee, Maricopa, Navajo, Pima, Yavapai)"
"Actaea","baneberry","AZ(Apache, Cochise, Coconino, Gila, Graham, Navajo, Pima)"
"Actaea arizonica","Arizona bugbane","AZ(Coconino, Gila)"
"Actaea rubra","red baneberry","AZ(Apache, Cochise, Coconino, Graham, Navajo, Pima)"
"Actaea rubra ssp. arguta","red baneberry","AZ(Apache, Cochise, Coconino, Graham, Navajo, Pima)"
"Adenophyllum","dogweed","AZ(Apache, Coconino, Gila, La Paz, Maricopa, Mohave, Pima, Pinal, Yavapai, Yuma)"
"Adenophyllum cooperi","Cooper's dogweed","AZ(Mohave)"
"Adenophyllum porophylloides","San Felipe dogweed","AZ(Coconino, Gila, La Paz, Maricopa, Mohave, Pima, Pinal, Yavapai, Yuma)"
"Adenophyllum wrightii","Wright's dogweed","AZ(Apache)"
"Adiantum","maidenhair fern","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai, Yuma)"
"Adiantum aleuticum","Aleutian maidenhair","AZ(Cochise, Coconino, Gila, Yavapai)"
"Adiantum capillus-veneris","common maidenhair","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai, Yuma)"
"Aegilops","goatgrass","AZ(Apache, Cochise, Coconino, Navajo, Yavapai)"
"Aegilops cylindrica","jointed goatgrass","AZ(Apache, Cochise, Coconino, Navajo, Yavapai)"
"Aegopogon","relaxgrass","AZ(Cochise, Pima, Santa Cruz)"
"Aegopogon tenellus","fragilegrass","AZ(Cochise, Pima, Santa Cruz)"
"Aeschynomene","jointvetch","AZ(Cochise, Santa Cruz)"
"Aeschynomene villosa","hairy jointvetch","AZ(Cochise, Santa Cruz)"
"Agastache","giant hyssop","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Pima, Pinal, Santa Cruz, Yavapai)"
"Agastache breviflora","Trans-Pecos giant hyssop","AZ(Cochise, Graham, Pima, Pinal, Santa Cruz)"
"Agastache micrantha","white giant hyssop","AZ(Apache)"
"Agastache pallida","pale giant hyssop","AZ(Santa Cruz)"
"Agastache pallidiflora","Bill Williams Mountain giant hyssop","AZ(Apache, Cochise, Coconino, Gila, Graham, Pima, Yavapai)"
"Agastache pallidiflora ssp. pallidiflora","Bill Williams Mountain giant hyssop","AZ(Apache, Coconino, Graham, Yavapai)"
"Agastache pallidiflora ssp. pallidiflora var. gilensis","Bill Williams Mountain giant hyssop","AZ(Coconino, Graham)"
"Agastache pallidiflora ssp. pallidiflora var. greenei","Bill Williams Mountain giant hyssop","AZ(Apache)"
"Agastache pallidiflora ssp. pallidiflora var. pallidiflora","Bill Williams Mountain giant hyssop","AZ(Apache, Coconino, Yavapai)"
"Agastache rupestris","threadleaf giant hyssop","AZ(Cochise, Gila, Pima, Pinal, Yavapai)"
"Agastache wrightii","Sonoran giant hyssop","AZ(Cochise, Gila, Graham, Greenlee, Maricopa, Pima, Santa Cruz, Yavapai)"
"Agave","agave","AZ(Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai, Yuma)"
"Agave ×ajoensis","agave","AZ(Pima)"
"Agave ×arizonica","Arizona century plant","AZ(Gila, Maricopa, Yavapai)"
"Agave americana","American century plant","AZ(Santa Cruz)"
"Agave americana ssp. americana","American century plant","AZ(Santa Cruz)"
"Agave americana ssp. americana var. expansa","American century plant","AZ(Santa Cruz)"
"Agave chrysantha","goldenflower century plant","AZ(Cochise, Gila, Graham, Maricopa, Pima, Pinal, Yavapai)"
"Agave delamateri","Tonto Basin century plant","AZ(Gila, Maricopa, Yavapai)"
"Agave deserti","desert agave","AZ(La Paz, Maricopa, Mohave, Pima, Pinal, Yuma)"
"Agave deserti ssp. simplex","desert agave","AZ(La Paz, Maricopa, Mohave, Pima, Pinal, Yuma)"
"Agave murpheyi","Murphey's century plant","AZ(Gila, Maricopa, Pinal, Yavapai)"
"Agave palmeri","Palmer's century plant","AZ(Cochise, Gila, Graham, Pima, Pinal, Santa Cruz)"
"Agave parryi","Parry's agave","AZ(Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Navajo, Pima, Santa Cruz)"
"Agave parryi ssp. parryi","Parry's agave","AZ(Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Navajo, Pima, Santa Cruz)"
"Agave parviflora","smallflower century plant","AZ(Pima, Santa Cruz)"
"Agave phillipsiana","Grand Canyon century plant","AZ(Coconino)"
"Agave schottii","Schott's century plant","AZ(Cochise, Graham, Pima, Santa Cruz)"
"Agave schottii var. schottii","Schott's century plant","AZ(Cochise, Graham, Pima, Santa Cruz)"
"Agave schottii var. treleasei","Trelease's century plant","AZ(Pima)"
"Agave toumeyana","Toumey's century plant","AZ(Gila, Graham, Maricopa, Pinal, Yavapai)"
"Agave toumeyana var. bella","Toumey's century plant","AZ(Gila, Maricopa, Pinal, Yavapai)"
"Agave toumeyana var. toumeyana","Toumey's century plant","AZ(Gila, Graham, Maricopa, Pinal)"
"Agave univittata","McKelvey's century plant","AZ(Mohave, Yavapai)"
"Agave utahensis","Utah agave","AZ(Coconino, Mohave)"
"Agave utahensis var. kaibabensis","Kaibab agave","AZ(Coconino, Mohave)"
"Agave utahensis var. utahensis","Utah agave","AZ(Coconino, Mohave)"
"Ageratina","snakeroot","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Ageratina herbacea","fragrant snakeroot","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Ageratina lemmonii","Lemmon's snakeroot","AZ(Cochise)"
"Ageratina paupercula","Santa Rita snakeroot","AZ(Cochise, Gila, Graham, Greenlee, Pima, Santa Cruz)"
"Ageratina rothrockii","Rothrock's snakeroot","AZ(Apache, Cochise, Graham, Pima, Santa Cruz)"
"Ageratina wrightii","Wright's snakeroot","AZ(Cochise, Santa Cruz)"
"Agoseris","agoseris","AZ(Apache, Cochise, Coconino, Gila, Graham, Mohave, Navajo, Pima, Santa Cruz, Yavapai)"
"Agoseris aurantiaca","orange agoseris","AZ(Apache, Cochise, Coconino, Gila, Graham, Pima, Santa Cruz, Yavapai)"
"Agoseris aurantiaca var. purpurea","orange agoseris","AZ(Apache, Cochise, Coconino, Gila, Graham, Pima, Santa Cruz, Yavapai)"
"Agoseris glauca","pale agoseris","AZ(Apache, Coconino, Gila, Graham, Mohave, Navajo, Pima, Yavapai)"
"Agoseris glauca var. dasycephala","pale agoseris","AZ(Apache)"
"Agoseris glauca var. glauca","pale agoseris","AZ(Apache)"
"Agoseris glauca var. laciniata","false agoseris","AZ(Apache, Coconino, Gila, Graham, Mohave, Pima, Yavapai)"
"Agoseris heterophylla","annual agoseris","AZ(Cochise, Gila, Mohave, Pima, Yavapai)"
"Agoseris heterophylla var. heterophylla","annual agoseris","AZ(Cochise, Gila, Mohave, Pima, Yavapai)"
"Agrimonia","agrimony","AZ(Apache, Cochise, Coconino, Gila, Graham, Navajo, Pima, Yavapai)"
"Agrimonia gryposepala","tall hairy agrimony","AZ(Coconino)"
"Agrimonia striata","roadside agrimony","AZ(Apache, Cochise, Coconino, Gila, Graham, Navajo, Pima, Yavapai)"
"Agropyron","wheatgrass","AZ(Apache, Coconino, Gila, Graham, Mohave, Navajo)"
"Agropyron desertorum","desert wheatgrass","AZ(Apache, Coconino, Gila, Graham, Mohave, Navajo)"
"Agrostis","bentgrass","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, La Paz, Maricopa, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Agrostis elliottiana","Elliott's bentgrass","AZ(Pima)"
"Agrostis exarata","spike bentgrass","AZ(Apache, Cochise, Coconino, Gila, Graham, La Paz, Mohave, Navajo, Pima, Pinal, Santa Cruz, Yavapai)"
"Agrostis gigantea","redtop","AZ(Apache, Coconino, Navajo, Yavapai)"
"Agrostis idahoensis","Idaho bentgrass","AZ(Apache, Coconino, Navajo, Yavapai)"
"Agrostis scabra","rough bentgrass","AZ(Apache, Cochise, Coconino, Graham, Mohave, Navajo, Pima, Santa Cruz, Yavapai)"
"Agrostis stolonifera","creeping bentgrass","AZ(Apache, Cochise, Coconino, Gila, Graham, Greenlee, Maricopa, Mohave, Navajo, Pima, Pinal, Yavapai)"
