"","",""
"Abutilon","Indian mallow","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clay, Craighead, Cross, Drew, Faulkner, Garland, Howard, Independence, Izard, Jefferson, Johnson, Lincoln, Lonoke, Madison, Marion, Mississippi, Nevada, Newton, Poinsett, Pope, Randolph, St. Francis, Stone, Washington)"
"Abutilon fruticosum","Texas Indian mallow","AR(Izard, Johnson, Newton, Stone)"
"Abutilon theophrasti","velvetleaf","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clay, Craighead, Cross, Drew, Faulkner, Garland, Howard, Independence, Izard, Jefferson, Lincoln, Lonoke, Madison, Marion, Mississippi, Nevada, Newton, Poinsett, Pope, Randolph, St. Francis, Stone, Washington)"
"Acaciella","","AR(Benton, Carroll, Clark, Hempstead, Izard, Jackson, Madison, Marion, Pope, Sharp, Washington)"
"Acaciella angustissima","prairie acacia","AR(Benton, Carroll, Clark, Hempstead, Izard, Jackson, Madison, Marion, Pope, Sharp, Washington)"
"Acaciella angustissima var. hirta","prairie acacia","AR(Benton, Carroll, Clark, Hempstead, Izard, Jackson, Madison, Marion, Pope, Sharp, Washington)"
"Acalypha","copperleaf","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Newton, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Saline, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, Yell)"
"Acalypha gracilens","slender threeseed mercury","AR(Ashley, Baxter, Benton, Bradley, Carroll, Clark, Cleburne, Cleveland, Conway, Crawford, Faulkner, Franklin, Garland, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lafayette, Little River, Logan, Marion, Miller, Montgomery, Newton, Perry, Poinsett, Polk, Pope, Pulaski, Stone, Union, Washington, Yell)"
"Acalypha monococca","slender threeseed mercury","AR(Ashley, Baxter, Benton, Bradley, Carroll, Clark, Cleburne, Conway, Crawford, Faulkner, Franklin, Garland, Hot Spring, Howard, Independence, Izard, Johnson, Lafayette, Little River, Logan, Marion, Montgomery, Newton, Perry, Polk, Pope, Pulaski, Stone, Union, Washington, Yell)"
"Acalypha ostryifolia","pineland threeseed mercury","AR(Arkansas, Benton, Boone, Bradley, Carroll, Conway, Crittenden, Cross, Desha, Drew, Faulkner, Franklin, Garland, Izard, Jefferson, Lincoln, Lonoke, Mississippi, Newton, Poinsett, Polk, Pope, Pulaski, Saline, St. Francis, Stone, Yell)"
"Acalypha rhomboidea","common threeseed mercury","AR(Ashley, Baxter, Benton, Chicot, Clark, Clay, Cleveland, Conway, Craighead, Crawford, Crittenden, Cross, Drew, Faulkner, Franklin, Fulton, Garland, Hot Spring, Independence, Izard, Jefferson, Lawrence, Lee, Lincoln, Madison, Marion, Mississippi, Monroe, Montgomery, Newton, Phillips, Pike, Poinsett, Polk, Pope, Saline, Searcy, St. Francis, Stone, Union, Washington, Yell)"
"Acalypha virginica","Virginia threeseed mercury","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Newton, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Saline, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, Yell)"
"Acanthospermum","starbur","AR(Union)"
"Acanthospermum australe","Paraguayan starbur","AR(Union)"
"Acer","maple","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)"
"Acer floridanum","southern sugar maple","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Clark, Cleburne, Cleveland, Columbia, Craighead, Crawford, Cross, Dallas, Drew, Franklin, Fulton, Garland, Hempstead, Hot Spring, Howard, Izard, Johnson, Lee, Logan, Madison, Marion, Miller, Monroe, Montgomery, Nevada, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Randolph, Saline, Scott, Searcy, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)"
"Acer leucoderme","chalk maple","AR(Clark, Garland, Hot Spring, Howard, Montgomery, Pike, Polk)"
"Acer negundo","boxelder","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)"
"Acer nigrum","black maple","AR(Benton, Carroll, Stone)"
"Acer rubrum","red maple","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)"
"Acer rubrum var. drummondii","Drummond's maple","AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Clay, Cleburne, Cleveland, Conway, Craighead, Desha, Drew, Faulkner, Garland, Greene, Hempstead, Jackson, Jefferson, Lafayette, Lawrence, Lee, Miller, Mississippi, Nevada, Ouachita, Phillips, Randolph, Saline, St. Francis, Union, Washington, White, Woodruff)"
"Acer rubrum var. rubrum","red maple","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)"
"Acer saccharinum","silver maple","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lawrence, Lee, Lincoln, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Newton, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)"
"Acer saccharum","sugar maple","AR(Benton, Carroll, Crawford, Franklin, Hempstead, Izard, Logan, Madison, Montgomery, Newton, Pike, Polk, Pope, Randolph, Scott, Searcy, Sebastian, Sharp, Stone, Van Buren, Washington)"
"Acer saccharum var. saccharum","sugar maple","AR(Benton, Carroll, Crawford, Franklin, Hempstead, Izard, Logan, Madison, Montgomery, Newton, Pike, Polk, Pope, Randolph, Scott, Searcy, Sebastian, Stone, Van Buren, Washington)"
"Achillea","yarrow","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clark, Clay, Cleburne, Conway, Craighead, Crawford, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Montgomery, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)"
"Achillea millefolium","common yarrow","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clark, Clay, Cleburne, Conway, Craighead, Crawford, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Montgomery, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)"
"Achillea millefolium var. occidentalis","western yarrow","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clark, Clay, Cleburne, Conway, Craighead, Crawford, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Montgomery, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)"
"Acmella","spotflower","AR(Arkansas, Ashley, Bradley, Chicot, Clay, Craighead, Crittenden, Desha, Drew, Greene, Howard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Miller, Mississippi, Monroe, Phillips, Pike, Pulaski, Randolph, St. Francis, Woodruff)"
"Acmella oppositifolia","oppositeleaf spotflower","AR(Arkansas, Ashley, Bradley, Chicot, Clay, Craighead, Crittenden, Desha, Drew, Greene, Howard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Miller, Mississippi, Monroe, Phillips, Pike, Pulaski, Randolph, St. Francis, Woodruff)"
"Acmella oppositifolia var. repens","oppositeleaf spotflower","AR(Arkansas, Ashley, Bradley, Chicot, Clay, Craighead, Crittenden, Desha, Drew, Greene, Howard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Miller, Mississippi, Monroe, Phillips, Pike, Pulaski, Randolph, St. Francis, Woodruff)"
