"","",""
"Abies","fir","CA(Alpine, Amador, Butte, Calaveras, Colusa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Inyo, Kern, Lake, Lassen, Los Angeles, Madera, Mariposa, Mendocino, Modoc, Mono, Monterey, Nevada, Placer, Plumas, Riverside, San Bernardino, San Diego, San Luis Obispo, Santa Barbara, Shasta, Sierra, Siskiyou, Sonoma, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yuba)"
"Abies amabilis","Pacific silver fir","CA(Siskiyou)"
"Abies bracteata","bristlecone fir","CA(Monterey, San Luis Obispo)"
"Abies grandis","grand fir","CA(Del Norte, Humboldt, Mendocino, Siskiyou, Sonoma)"
"Abies lasiocarpa","subalpine fir","CA(Siskiyou)"
"Abies lasiocarpa var. lasiocarpa","subalpine fir","CA(Siskiyou)"
"Abies lowiana","Sierra white fir","CA(Alpine, Amador, Butte, Calaveras, Colusa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Inyo, Kern, Lake, Lassen, Los Angeles, Madera, Mariposa, Mendocino, Modoc, Mono, Nevada, Placer, Plumas, Riverside, San Bernardino, San Diego, San Luis Obispo, Santa Barbara, Shasta, Sierra, Siskiyou, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yuba)"
"Abies magnifica","California red fir","CA(Alpine, Amador, Butte, Calaveras, Colusa, El Dorado, Fresno, Glenn, Humboldt, Inyo, Kern, Lake, Lassen, Madera, Mariposa, Mendocino, Mono, Nevada, Placer, Plumas, Shasta, Sierra, Siskiyou, Tehama, Trinity, Tulare, Tuolumne)"
"Abies magnifica var. magnifica","California red fir","CA(Colusa, El Dorado, Fresno, Glenn, Humboldt, Inyo, Lake, Mendocino, Shasta, Siskiyou, Trinity, Tulare)"
"Abies magnifica var. shastensis","Shasta red fir","CA(Colusa, El Dorado, Fresno, Glenn, Humboldt, Inyo, Lake, Mendocino, Shasta, Siskiyou, Trinity, Tulare)"
"Abies procera","noble fir","CA(Del Norte, Humboldt, Siskiyou)"
"Abronia","sand verbena","CA(Alameda, Del Norte, Fresno, Humboldt, Imperial, Inyo, Kern, Kings, Los Angeles, Marin, Mendocino, Merced, Mono, Monterey, Orange, Plumas, Riverside, San Benito, San Bernardino, San Diego, San Francisco, San Luis Obispo, San Mateo, Santa Barbara, Santa Cruz, Sonoma, Tulare, Ventura)"
"Abronia alpina","Ramshaw Meadows sand verbena","CA(Tulare)"
"Abronia latifolia","coastal sand verbena","CA(Alameda, Del Norte, Humboldt, Marin, Mendocino, Monterey, San Francisco, San Luis Obispo, Santa Barbara, Santa Cruz, Sonoma)"
"Abronia maritima","red sand verbena","CA(Los Angeles, Orange, San Diego, San Luis Obispo, Santa Barbara, Ventura)"
"Abronia minor","little sand verbena","CA(San Luis Obispo)"
"Abronia nana","dwarf sand verbena","CA(Inyo, Mono, San Bernardino)"
"Abronia nana var. covillei","Coville's dwarf sand verbena","CA(Inyo, Mono, San Bernardino)"
"Abronia pogonantha","Mojave sand verbena","CA(Fresno, Inyo, Kern, Kings, Los Angeles, Merced, San Benito, San Bernardino, San Diego, San Luis Obispo, Santa Barbara)"
"Abronia turbinata","transmontane sand verbena","CA(Inyo, Kern, Mono, Plumas, San Bernardino, Ventura)"
"Abronia umbellata","pink sand verbena","CA(Alameda, Del Norte, Humboldt, Imperial, Los Angeles, Marin, Mendocino, Monterey, Orange, San Diego, San Francisco, San Luis Obispo, San Mateo, Santa Barbara, Santa Cruz, Sonoma, Ventura)"
"Abronia umbellata ssp. breviflora","pink sand verbena","CA(Del Norte, Humboldt, Marin, Mendocino, Monterey, Sonoma)"
"Abronia umbellata ssp. umbellata","pink sand verbena","CA(Imperial, Los Angeles, Marin, Mendocino, Monterey, Orange, San Diego, San Francisco, San Luis Obispo, San Mateo, Santa Barbara, Santa Cruz, Sonoma, Ventura)"
"Abronia villosa","desert sand verbena","CA(Imperial, Inyo, Kern, Los Angeles, Mono, Orange, Riverside, San Bernardino, San Diego, San Francisco)"
"Abronia villosa var. aurita","desert sand verbena","CA(Orange, Riverside, San Bernardino, San Diego)"
"Abronia villosa var. villosa","desert sand verbena","CA(Imperial, Inyo, Kern, Mono, Riverside, San Bernardino, San Diego)"
