"","",""
"Abelmoschus","okra","CT(Fairfield)"
"Abelmoschus esculentus","okra","CT(Fairfield)"
"Abies","fir","CT(Hartford, Litchfield, New Haven, New London, Tolland)"
"Abies balsamea","balsam fir","CT(Hartford, Litchfield, New Haven, New London, Tolland)"
"Abies balsamea var. balsamea","balsam fir","CT(Hartford, Litchfield, New Haven, New London, Tolland)"
"Abutilon","Indian mallow","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland)"
"Abutilon theophrasti","velvetleaf","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland)"
"Acalypha","copperleaf","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Acalypha gracilens","slender threeseed mercury","CT(Fairfield, New Haven, New London, Tolland, Windham)"
"Acalypha rhomboidea","common threeseed mercury","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Acalypha virginica","Virginia threeseed mercury","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Acer","maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Acer ginnala","Amur maple","CT(Fairfield)"
"Acer negundo","boxelder","CT(Fairfield, Hartford, Litchfield, New Haven, New London, Tolland, Windham)"
"Acer nigrum","black maple","CT(Fairfield)"
"Acer palmatum","Japanese maple","CT(Fairfield)"
"Acer pensylvanicum","striped maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, Tolland, Windham)"
"Acer platanoides","Norway maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, Tolland)"
"Acer pseudoplatanus","sycamore maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New London)"
"Acer rubrum","red maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Acer rubrum var. rubrum","red maple","CT(Fairfield)"
"Acer rubrum var. trilobum","red maple","CT(Fairfield)"
"Acer saccharinum","silver maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, Tolland)"
"Acer saccharum","sugar maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Acer saccharum var. saccharum","sugar maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Acer spicatum","mountain maple","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, Tolland)"
"Achillea","yarrow","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Achillea ageratum","sweet-Nancy","CT(Fairfield)"
"Achillea millefolium","common yarrow","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Achillea millefolium var. occidentalis","western yarrow","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Achillea ptarmica","sneezeweed","CT(Fairfield, New Haven)"
"Acinos","acinos","CT(Fairfield)"
"Acinos arvensis","basil thyme","CT(Fairfield)"
"Aconitum","monkshood","CT(Litchfield)"
"Aconitum napellus","Venus' chariot","CT(Litchfield)"
"Acorus","sweetflag","CT(Fairfield)"
"Acorus americanus","sweetflag","CT(Fairfield)"
"Acorus calamus","calamus","CT(Fairfield)"
"Actaea","baneberry","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Actaea pachypoda","white baneberry","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Actaea racemosa","black baneberry","CT(Fairfield, Hartford, Litchfield, New Haven)"
"Actaea racemosa var. racemosa","black bugbane","CT(Fairfield, Hartford, Litchfield, New Haven)"
"Actaea rubra","red baneberry","CT(Fairfield, Hartford, Litchfield, New Haven, New London, Tolland, Windham)"
"Actaea rubra ssp. rubra","red baneberry","CT(Fairfield, Hartford, Litchfield, New Haven, New London, Tolland, Windham)"
"Adiantum","maidenhair fern","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Adiantum pedatum","northern maidenhair","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Adlumia","adlumia","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, Windham)"
"Adlumia fungosa","allegheny vine","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, Windham)"
"Aegopodium","goutweed","CT(Fairfield, Hartford, Litchfield, New Haven)"
"Aegopodium podagraria","bishop's goutweed","CT(Fairfield, Hartford, Litchfield, New Haven)"
"Aesculus","buckeye","CT(Fairfield)"
"Aesculus hippocastanum","horse chestnut","CT(Fairfield)"
"Aethusa","aethusa","CT(Fairfield, Litchfield, New London)"
"Aethusa cynapium","fool's parsley","CT(Fairfield, Litchfield, New London)"
"Agalinis","false foxglove","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agalinis acuta","sandplain false foxglove","CT(Hartford)"
"Agalinis maritima","saltmarsh false foxglove","CT(Fairfield, Middlesex, New Haven, New London)"
"Agalinis maritima var. maritima","saltmarsh false foxglove","CT(Fairfield, Middlesex, New Haven, New London)"
"Agalinis purpurea","purple false foxglove","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agalinis tenuifolia","slenderleaf false foxglove","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agastache","giant hyssop","CT(Fairfield, Hartford, Litchfield, New Haven)"
"Agastache foeniculum","blue giant hyssop","CT(Hartford)"
"Agastache nepetoides","yellow giant hyssop","CT(Fairfield, Hartford, New Haven)"
"Agastache scrophulariifolia","purple giant hyssop","CT(Fairfield, Hartford, Litchfield, New Haven)"
"Ageratina","snakeroot","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Ageratina altissima","white snakeroot","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Ageratina altissima var. altissima","white snakeroot","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Ageratina aromatica","lesser snakeroot","CT(Fairfield, Middlesex)"
"Ageratina aromatica var. aromatica","lesser snakeroot","CT(Fairfield, Middlesex)"
"Ageratum","whiteweed","CT(Fairfield)"
"Ageratum conyzoides","tropical whiteweed","CT(Fairfield)"
"Ageratum houstonianum","bluemink","CT(Fairfield)"
"Agrimonia","agrimony","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agrimonia eupatoria","churchsteeples","CT(Fairfield)"
"Agrimonia gryposepala","tall hairy agrimony","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agrimonia parviflora","harvestlice","CT(Fairfield, Litchfield, New Haven)"
"Agrimonia pubescens","soft agrimony","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London)"
"Agrimonia rostellata","beaked agrimony","CT(Fairfield, Hartford, New Haven, New London)"
"Agrimonia striata","roadside agrimony","CT(Fairfield, Hartford, Litchfield, New Haven, New London, Tolland, Windham)"
"Agropyron","wheatgrass","CT(Fairfield)"
"Agropyron cristatum","crested wheatgrass","CT(Fairfield)"
"Agrostemma","corncockle","CT(Fairfield, Hartford, Litchfield)"
"Agrostemma githago","common corncockle","CT(Fairfield, Hartford, Litchfield)"
"Agrostis","bentgrass","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agrostis canina","velvet bentgrass","CT(Fairfield, Litchfield, Middlesex, New Haven, New London)"
"Agrostis capillaris","colonial bentgrass","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland)"
"Agrostis gigantea","redtop","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agrostis hyemalis","winter bentgrass","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Windham)"
"Agrostis perennans","upland bentgrass","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agrostis scabra","rough bentgrass","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
"Agrostis stolonifera","creeping bentgrass","CT(Fairfield, Middlesex)"
"Ailanthus","ailanthus","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London)"
"Ailanthus altissima","tree of heaven","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London)"
"Aira","hairgrass","CT(New London)"
"Aira caryophyllea","silver hairgrass","CT(New London)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","CT(New London)"
"Ajuga","bugle","CT(Fairfield, Hartford, Litchfield, New Haven, New London)"
"Ajuga genevensis","blue bugle","CT(Hartford, Litchfield, New Haven)"
"Ajuga reptans","common bugle","CT(Fairfield, Hartford, New Haven, New London)"
"Akebia","chocolate vine","CT(Fairfield, Litchfield)"
"Akebia quinata","chocolate vine","CT(Fairfield, Litchfield)"
"Albizia","albizia","CT(Fairfield, New London)"
"Albizia julibrissin","silktree","CT(Fairfield, New London)"
"Alcea","hollyhock","CT(Fairfield)"
"Alcea rosea","hollyhock","CT(Fairfield)"
"Aletris","colicroot","CT(Fairfield, Hartford, New Haven, New London, Tolland, Windham)"
"Aletris farinosa","white colicroot","CT(Fairfield, Hartford, New Haven, New London, Tolland, Windham)"
"Alisma","water plantain","CT(Fairfield, Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham)"
