"","",""
"Abutilon","Indian mallow","DE(New Castle)"
"Abutilon theophrasti","velvetleaf","DE(New Castle)"
"Acalypha","copperleaf","DE(Kent, New Castle)"
"Acalypha gracilens","slender threeseed mercury","DE(Kent)"
"Acalypha rhomboidea","common threeseed mercury","DE(Kent, New Castle)"
"Acalypha virginica","Virginia threeseed mercury","DE(New Castle)"
"Acer","maple","DE(Kent, New Castle)"
"Acer negundo","boxelder","DE(Kent, New Castle)"
"Acer negundo var. negundo","boxelder","DE(Kent, New Castle)"
"Acer platanoides","Norway maple","DE(Kent)"
"Acer rubrum","red maple","DE(New Castle)"
"Acer rubrum var. trilobum","red maple","DE(New Castle)"
"Acer saccharinum","silver maple","DE(New Castle)"
"Acer saccharum","sugar maple","DE(New Castle)"
"Acer saccharum var. saccharum","sugar maple","DE(New Castle)"
"Achillea","yarrow","DE(New Castle)"
"Achillea millefolium","common yarrow","DE(New Castle)"
"Achillea millefolium var. occidentalis","western yarrow","DE(New Castle)"
"Acorus","sweetflag","DE(Kent, New Castle)"
"Acorus americanus","sweetflag","DE(Kent, New Castle)"
"Acorus calamus","calamus","DE(New Castle)"
"Actaea","baneberry","DE(New Castle, Sussex)"
"Actaea pachypoda","white baneberry","DE(New Castle)"
"Actaea racemosa","black baneberry","DE(New Castle, Sussex)"
"Actaea racemosa var. racemosa","black bugbane","DE(New Castle, Sussex)"
"Adiantum","maidenhair fern","DE(New Castle)"
"Adiantum pedatum","northern maidenhair","DE(New Castle)"
"Adlumia","adlumia","DE(New Castle)"
"Adlumia fungosa","allegheny vine","DE(New Castle)"
"Aeschynomene","jointvetch","DE(New Castle)"
"Aeschynomene virginica","Virginia jointvetch","DE(New Castle)"
"Aethusa","aethusa","DE(New Castle)"
"Aethusa cynapium","fool's parsley","DE(New Castle)"
"Agalinis","false foxglove","DE(Kent, New Castle, Sussex)"
"Agalinis fasciculata","beach false foxglove","DE(Kent)"
"Agalinis linifolia","flaxleaf false foxglove","DE(Sussex)"
"Agalinis maritima","saltmarsh false foxglove","DE(Sussex)"
"Agalinis maritima var. maritima","saltmarsh false foxglove","DE(Sussex)"
"Agalinis obtusifolia","tenlobe false foxglove","DE(Sussex)"
"Agalinis purpurea","purple false foxglove","DE(New Castle, Sussex)"
"Agalinis setacea","threadleaf false foxglove","DE(Sussex)"
"Agalinis tenuifolia","slenderleaf false foxglove","DE(New Castle)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","DE(New Castle)"
"Agastache","giant hyssop","DE(New Castle, Sussex)"
"Agastache nepetoides","yellow giant hyssop","DE(New Castle, Sussex)"
"Agastache scrophulariifolia","purple giant hyssop","DE(New Castle)"
"Ageratina","snakeroot","DE(Kent, New Castle, Sussex)"
"Ageratina altissima","white snakeroot","DE(Kent)"
"Ageratina altissima var. altissima","white snakeroot","DE(Kent)"
"Ageratina aromatica","lesser snakeroot","DE(Kent, New Castle, Sussex)"
"Ageratina aromatica var. aromatica","lesser snakeroot","DE(Kent, New Castle, Sussex)"
"Agrimonia","agrimony","DE(Kent, New Castle, Sussex)"
"Agrimonia gryposepala","tall hairy agrimony","DE(Kent)"
"Agrimonia parviflora","harvestlice","DE(Kent, New Castle)"
"Agrimonia pubescens","soft agrimony","DE(Sussex)"
"Agrimonia rostellata","beaked agrimony","DE(Sussex)"
"Agrimonia striata","roadside agrimony","DE(New Castle)"
"Agrostemma","corncockle","DE(New Castle)"
"Agrostemma githago","common corncockle","DE(New Castle)"
"Agrostis","bentgrass","DE(Kent, New Castle, Sussex)"
"Agrostis gigantea","redtop","DE(New Castle)"
"Agrostis hyemalis","winter bentgrass","DE(Kent, Sussex)"
"Agrostis perennans","upland bentgrass","DE(Kent, New Castle, Sussex)"
"Agrostis scabra","rough bentgrass","DE(New Castle)"
"Ailanthus","ailanthus","DE(New Castle)"
"Ailanthus altissima","tree of heaven","DE(New Castle)"
"Aira","hairgrass","DE(Sussex)"
"Aira caryophyllea","silver hairgrass","DE(Sussex)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","DE(Sussex)"
"Aira praecox","yellow hairgrass","DE(Sussex)"
"Aletris","colicroot","DE(Kent, New Castle)"
"Aletris farinosa","white colicroot","DE(Kent, New Castle)"
"Alisma","water plantain","DE(Kent, New Castle)"
"Alisma subcordatum","American water plantain","DE(Kent, New Castle)"
"Alliaria","alliaria","DE(New Castle)"
