"","",""
"Abelia","abelia","FL(Franklin)"
"Abelia ×grandiflora","glossy abelia","FL(Franklin)"
"Abelmoschus","okra","FL(Monroe)"
"Abelmoschus esculentus","okra","FL(Monroe)"
"Abildgaardia","sedge","FL(Broward, Citrus, Hernando, Miami-Dade, Monroe, Sarasota)"
"Abildgaardia ovata","flatspike sedge","FL(Broward, Citrus, Hernando, Miami-Dade, Monroe, Sarasota)"
"Abrus","abrus","FL(Brevard, Broward, Charlotte, Collier, DeSoto, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, St. Lucie, Volusia)"
"Abrus precatorius","rosarypea","FL(Brevard, Broward, Charlotte, Collier, DeSoto, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, St. Lucie, Volusia)"
"Abutilon","Indian mallow","FL(Alachua, Broward, Collier, Hardee, Lake, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Palm Beach, Pasco, Pinellas, Volusia, Walton)"
"Abutilon hirtum","Florida Keys Indian mallow","FL(Alachua, Lake, Miami-Dade, Monroe)"
"Abutilon hulseanum","mauve","FL(Alachua, Lake, Levy, Manatee, Pasco, Pinellas, Volusia)"
"Abutilon permolle","coastal Indian mallow","FL(Broward, Collier, Manatee, Miami-Dade, Monroe)"
"Abutilon theophrasti","velvetleaf","FL(Hardee, Leon, Marion, Martin, Miami-Dade, Okaloosa, Palm Beach, Walton)"
"Acacia","acacia","FL(Broward, Collier, Glades, Lee, Martin, Miami-Dade, Monroe, Palm Beach)"
"Acacia auriculiformis","earleaf acacia","FL(Broward, Collier, Lee, Martin, Miami-Dade, Monroe, Palm Beach)"
"Acacia retinodes","water wattle","FL(Glades, Monroe)"
"Acaciella","","FL(Alachua, Citrus, Dixie, Jefferson, Levy)"
"Acaciella angustissima","prairie acacia","FL(Alachua, Citrus, Dixie, Jefferson, Levy)"
"Acaciella angustissima var. hirta","prairie acacia","FL(Alachua, Citrus, Dixie, Jefferson, Levy)"
"Acalypha","copperleaf","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Acalypha alopecuroidea","foxtail copperleaf","FL(Broward, Miami-Dade, Orange, Pasco, Seminole)"
"Acalypha arvensis","field copperleaf","FL(Broward, Leon)"
"Acalypha chamaedryfolia","bastard copperleaf","FL(Miami-Dade, Monroe)"
"Acalypha gracilens","slender threeseed mercury","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Acalypha ostryifolia","pineland threeseed mercury","FL(Alachua, Brevard, Collier, Jackson, Lake, Lee, Leon, Manatee, Miami-Dade, Monroe, Pinellas, Polk, Putnam, St. Lucie, Volusia)"
"Acalypha rhomboidea","common threeseed mercury","FL(Alachua, Escambia, Franklin, Gadsden, Jackson, Liberty, Santa Rosa, Washington)"
"Acalypha setosa","Cuban copperleaf","FL(Alachua, Escambia, Jackson, Leon, Manatee)"
"Acalypha wilkesiana","Wilkes' acalypha","FL(Brevard, Lee, Manatee, Monroe, Polk)"
"Acanthocereus","triangle cactus","FL(Collier, Lee, Martin, Miami-Dade, Monroe, Palm Beach, St. Lucie)"
"Acanthocereus tetragonus","triangle cactus","FL(Collier, Lee, Martin, Miami-Dade, Monroe, Palm Beach, St. Lucie)"
"Acanthospermum","starbur","FL(Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Hamilton, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Orange, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sumter, Suwannee, Volusia, Wakulla, Walton, Washington)"
"Acanthospermum australe","Paraguayan starbur","FL(Alachua, Baker, Bay, Bradford, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Hamilton, Hernando, Jackson, Lake, Leon, Levy, Liberty, Madison, Marion, Nassau, Okaloosa, Orange, Pinellas, Polk, Putnam, Santa Rosa, Sumter, Suwannee, Volusia, Walton, Washington)"
"Acanthospermum hispidum","hispid starbur","FL(Alachua, Bay, Calhoun, Citrus, DeSoto, Dixie, Escambia, Franklin, Gadsden, Highlands, Hillsborough, Jackson, Jefferson, Lafayette, Leon, Manatee, Marion, Martin, Okaloosa, Pasco, Santa Rosa, Wakulla, Walton, Washington)"
"Acanthospermum humile","low starbur","FL(Escambia)"
