"","",""
"Abies","fir","GA(Fannin)"
"Abies fraseri","Fraser fir","GA(Fannin)"
"Abutilon","Indian mallow","GA(McIntosh, Rabun)"
"Abutilon theophrasti","velvetleaf","GA(McIntosh, Rabun)"
"Acalypha","copperleaf","GA(Baker, Bartow, Ben Hill, Brooks, Bryan, Bulloch, Chatham, Cherokee, Clarke, Columbia, Cook, Dade, Dawson, Dougherty, Echols, Elbert, Floyd, Forsyth, Fulton, Hall, Harris, Jones, Lowndes, Madison, McIntosh, Meriwether, Morgan, Murray, Newton, Oconee, Screven, Spalding, Twiggs, Walker, White, Wilkes)"
"Acalypha gracilens","slender threeseed mercury","GA(Baker, Brooks, Bryan, Bulloch, Chatham, Clarke, Columbia, Cook, Echols, Elbert, Jones, Lowndes, Madison, McIntosh, Meriwether, Morgan, Newton, Oconee, Spalding, Twiggs, Walker, Wilkes)"
"Acalypha ostryifolia","pineland threeseed mercury","GA(Clarke, Dade, Fulton, Harris, Lowndes, McIntosh)"
"Acalypha rhomboidea","common threeseed mercury","GA(Bartow, Ben Hill, Cherokee, Clarke, Dawson, Elbert, Floyd, Forsyth, Hall, Harris, Morgan, Murray, Screven, Spalding, Wilkes)"
"Acalypha setosa","Cuban copperleaf","GA(Dougherty)"
"Acalypha virginica","Virginia threeseed mercury","GA(Clarke, Hall, Morgan, Walker, White)"
"Acanthospermum","starbur","GA(Baker, Berrien, Brooks, Camden, Charlton, Chatham, Clarke, Colquitt, Cook, DeKalb, Decatur, Dodge, Early, Grady, Irwin, Jefferson, Jenkins, Johnson, Lanier, Long, Lowndes, McIntosh, Mitchell, Peach, Screven, Stewart, Tattnall, Tift, Wheeler, Worth)"
"Acanthospermum australe","Paraguayan starbur","GA(Berrien, Camden, Charlton, Chatham, Clarke, Colquitt, DeKalb, Dodge, Early, Irwin, Jefferson, Jenkins, Johnson, Lowndes, McIntosh, Peach, Screven, Stewart, Tift, Worth)"
"Acanthospermum hispidum","hispid starbur","GA(Baker, Brooks, Cook, Decatur, Grady, Lanier, Long, Lowndes, Mitchell, Tattnall, Wheeler)"
"Acer","maple","GA(Appling, Atkinson, Baker, Banks, Bartow, Ben Hill, Bibb, Brantley, Bulloch, Burke, Camden, Carroll, Catoosa, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clay, Clayton, Cobb, Coffee, Columbia, Cook, Crisp, Dade, DeKalb, Decatur, Dooly, Dougherty, Early, Echols, Effingham, Elbert, Emanuel, Fannin, Floyd, Forsyth, Franklin, Fulton, Glascock, Gordon, Grady, Greene, Gwinnett, Habersham, Hall, Hancock, Harris, Hart, Houston, Irwin, Jackson, Jasper, Jefferson, Johnson, Lanier, Laurens, Lee, Lincoln, Lowndes, Lumpkin, Macon, Madison, McIntosh, Meriwether, Miller, Mitchell, Monroe, Morgan, Murray, Newton, Oglethorpe, Paulding, Pickens, Pierce, Polk, Pulaski, Putnam, Quitman, Rabun, Randolph, Screven, Seminole, Spalding, Stephens, Sumter, Talbot, Taliaferro, Tattnall, Taylor, Telfair, Thomas, Tift, Toombs, Towns, Treutlen, Troup, Turner, Union, Walker, Walton, Ware, Washington, Wayne, Wheeler, White, Whitfield, Wilcox, Wilkes, Worth)"
"Acer floridanum","southern sugar maple","GA(Baker, Burke, Cherokee, Clarke, Clay, Columbia, Decatur, Dooly, Dougherty, Early, Effingham, Elbert, Floyd, Glascock, Grady, Greene, Hancock, Harris, Houston, Jackson, Jasper, Jefferson, Johnson, Laurens, Lee, Lincoln, Macon, Madison, Meriwether, Miller, Monroe, Oglethorpe, Pulaski, Putnam, Randolph, Seminole, Talbot, Walker, Washington, Wilkes, Worth)"
"Acer leucoderme","chalk maple","GA(Banks, Bartow, Carroll, Catoosa, Chattooga, Cherokee, Cobb, Columbia, Elbert, Floyd, Forsyth, Franklin, Gordon, Gwinnett, Habersham, Hall, Harris, Hart, Jasper, Laurens, Madison, Morgan, Oglethorpe, Paulding, Pickens, Polk, Putnam, Randolph, Screven, Spalding, Stephens, Talbot, Taliaferro, Walker, Washington, Wheeler, Whitfield, Wilkes)"
"Acer negundo","boxelder","GA(Bartow, Bibb, Bulloch, Carroll, Clarke, Clayton, Dade, DeKalb, Elbert, Floyd, Forsyth, Hall, Harris, Jackson, Lincoln, Lumpkin, Morgan, Oglethorpe, Taylor, Thomas, Walker)"
"Acer negundo var. negundo","boxelder","GA(Bartow, Bibb, Bulloch, Carroll, Clarke, Clayton, Dade, DeKalb, Elbert, Floyd, Forsyth, Hall, Harris, Jackson, Lincoln, Lumpkin, Morgan, Oglethorpe, Taylor, Thomas, Walker)"
"Acer nigrum","black maple","GA(Dade)"
"Acer pensylvanicum","striped maple","GA(Fannin, Rabun, Towns, Union)"
"Acer rubrum","red maple","GA(Appling, Atkinson, Baker, Bartow, Ben Hill, Bibb, Brantley, Burke, Camden, Carroll, Charlton, Chatham, Cherokee, Clarke, Cobb, Coffee, Columbia, Cook, Crisp, Dade, DeKalb, Dougherty, Echols, Elbert, Emanuel, Fannin, Floyd, Forsyth, Habersham, Hall, Harris, Irwin, Jackson, Lanier, Lowndes, Lumpkin, Macon, Madison, McIntosh, Mitchell, Monroe, Morgan, Murray, Oglethorpe, Paulding, Pierce, Quitman, Rabun, Screven, Seminole, Spalding, Sumter, Tattnall, Telfair, Tift, Toombs, Treutlen, Troup, Turner, Walker, Walton, Ware, Wayne, Wheeler, White, Wilcox, Wilkes)"
"Acer saccharinum","silver maple","GA(Ben Hill, Carroll, Catoosa, Dade, Floyd, Fulton, Hall, Seminole, Spalding, Tattnall)"
"Acer saccharum","sugar maple","GA(Bartow, Bibb, Catoosa, Clarke, Dade, Elbert, Fannin, Floyd, Fulton, Murray, Newton, Towns, Whitfield)"
"Acer spicatum","mountain maple","GA(Towns, Union)"
"Achillea","yarrow","GA(Bartow, Chatham, Clarke, Cobb, Dade, DeKalb, Dougherty, Fulton, Hall, Harris, Morgan, Newton, Spalding, Union, Walker)"
"Achillea millefolium","common yarrow","GA(Bartow, Chatham, Clarke, Cobb, Dade, DeKalb, Dougherty, Fulton, Hall, Harris, Morgan, Newton, Spalding, Union, Walker)"
"Achillea millefolium var. occidentalis","western yarrow","GA(Bartow, Chatham, Clarke, Cobb, Dade, DeKalb, Dougherty, Fulton, Hall, Harris, Morgan, Newton, Spalding, Union, Walker)"
"Acmella","spotflower","GA(Bibb, Brooks, Chatham, Decatur, Dougherty, Randolph, Thomas, Tift)"
"Acmella oppositifolia","oppositeleaf spotflower","GA(Bibb, Brooks, Chatham, Decatur, Dougherty, Randolph, Thomas)"
