"","",""
"Abelmoschus","okra","HI(Kauai)"
"Abelmoschus moschatus","musk okra","HI(Kauai)"
"Abrus","abrus","HI(Hawaii, Honolulu, Kauai, Maui)"
"Abrus precatorius","rosarypea","HI(Hawaii, Honolulu, Kauai, Maui)"
"Abutilon","Indian mallow","HI(Hawaii, Honolulu, Kauai, Maui)"
"Abutilon auritum","Asian Indian mallow","HI(Maui)"
"Abutilon eremitopetalum","hiddenpetal Indian mallow","HI(Maui)"
"Abutilon grandifolium","hairy Indian mallow","HI(Hawaii, Honolulu, Kauai, Maui)"
"Abutilon incanum","pelotazo","HI(Honolulu, Kauai, Maui)"
"Abutilon indicum","monkeybush","HI(Honolulu)"
"Abutilon menziesii","ko'oloa 'ula","HI(Hawaii, Honolulu, Maui)"
"Abutilon sandwicense","greenflower Indian mallow","HI(Honolulu)"
"Acacia","acacia","HI(Hawaii, Honolulu, Kauai, Maui)"
"Acacia confusa","small Philippine acacia","HI(Hawaii, Honolulu, Kauai, Maui)"
"Acacia koa","koa","HI(Hawaii, Honolulu, Kauai, Maui)"
"Acacia mearnsii","black wattle","HI(Hawaii, Honolulu, Kauai, Maui)"
"Acacia melanoxylon","blackwood","HI(Kauai, Maui)"
"Acacia parramattensis","South Wales wattle","HI(Honolulu)"
"Acaena","acaena","HI(Kauai, Maui)"
"Acaena exigua","liliwai","HI(Kauai, Maui)"
"Acanthospermum","starbur","HI(Hawaii, Honolulu, Kauai, Maui)"
"Acanthospermum australe","Paraguayan starbur","HI(Hawaii, Honolulu, Kauai, Maui)"
"Acanthospermum hispidum","hispid starbur","HI(Honolulu)"
"Achillea","yarrow","HI(Hawaii)"
"Achillea millefolium","common yarrow","HI(Hawaii)"
"Achillea millefolium var. millefolium","common yarrow","HI(Hawaii)"
"Achyranthes","chaff flower","HI(Hawaii, Honolulu, Kauai, Maui)"
"Achyranthes aspera","devil's horsewhip","HI(Hawaii, Honolulu, Kauai, Maui)"
"Achyranthes aspera var. aspera","devil's horsewhip","HI(Hawaii, Honolulu, Kauai)"
"Achyranthes aspera var. pubescens","devil's horsewhip","HI(Maui)"
"Achyranthes mutica","blunt chaff flower","HI(Hawaii, Kauai)"
"Achyranthes splendens","Maui chaff flower","HI(Honolulu, Kauai, Maui)"
"Achyranthes splendens var. atollensis","","HI(Kauai)"
"Achyranthes splendens var. rotundata","Maui chaff flower","HI(Honolulu, Maui)"
"Achyranthes splendens var. splendens","Maui chaff flower","HI(Maui)"
"Adenostemma","medicineplant","HI(Hawaii, Honolulu, Kauai, Maui)"
"Adenostemma lavenia","common medicineplant","HI(Hawaii, Honolulu, Kauai, Maui)"
"Agave","agave","HI(Hawaii, Honolulu, Kauai, Maui)"
"Agave sisalana","sisal hemp","HI(Hawaii, Honolulu, Kauai, Maui)"
"Ageratina","snakeroot","HI(Hawaii, Honolulu, Maui)"
"Ageratina adenophora","sticky snakeroot","HI(Honolulu, Maui)"
"Ageratina riparia","spreading snakeroot","HI(Hawaii, Honolulu, Maui)"
"Ageratum","whiteweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Ageratum conyzoides","tropical whiteweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Ageratum houstonianum","bluemink","HI(Hawaii, Honolulu, Kauai)"
"Agrostis","bentgrass","HI(Hawaii, Honolulu, Kauai, Maui)"
"Agrostis avenacea","Pacific bentgrass","HI(Hawaii, Honolulu, Kauai, Maui)"
"Agrostis sandwicensis","Hawai'i bentgrass","HI(Hawaii, Honolulu, Maui)"
"Agrostis stolonifera","creeping bentgrass","HI(Hawaii, Honolulu, Kauai, Maui)"
"Aira","hairgrass","HI(Hawaii, Honolulu, Maui)"
"Aira caryophyllea","silver hairgrass","HI(Hawaii, Honolulu, Maui)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","HI(Hawaii, Honolulu, Maui)"
"Albizia","albizia","HI(Hawaii, Honolulu, Kauai)"
"Albizia chinensis","Chinese albizia","HI(Honolulu)"
"Albizia lebbeck","woman's tongue","HI(Hawaii, Honolulu, Kauai)"
"Alectryon","alectryon","HI(Honolulu, Kauai, Maui)"
"Alectryon macrococcus","Hawai'i alectryon","HI(Honolulu, Kauai, Maui)"
"Alectryon macrococcus var. auwahiensis","Hawai'i alectryon","HI(Maui)"
"Alectryon macrococcus var. macrococcus","Hawai'i alectryon","HI(Honolulu, Kauai, Maui)"
"Aleurites","aleurites","HI(Hawaii, Honolulu, Kauai, Maui)"
"Aleurites moluccanus","Indian walnut","HI(Hawaii, Honolulu, Kauai, Maui)"
"Aleurites moluccanus var. katoi","Indian walnut","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alocasia","taro","HI(Honolulu, Kauai, Maui)"
"Alocasia macrorrhizos","giant taro","HI(Honolulu, Kauai, Maui)"
"Alphitonia","alphitonia","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alphitonia ponderosa","Hawai'i kauilatree","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alpinia","alpinia","HI(Honolulu, Kauai)"
"Alpinia mutica","small shell ginger","HI(Honolulu)"
"Alpinia purpurata","red ginger","HI(Honolulu, Kauai)"
"Alsinidendron","alsinidendron","HI(Honolulu, Kauai)"
"Alsinidendron lychnoides","kuawawaenohu","HI(Kauai)"
"Alsinidendron obovatum","Waianae Range alsinidendron","HI(Honolulu)"
"Alsinidendron trinerve","mountain alsinidendron","HI(Honolulu)"
"Alsinidendron viscosum","climbing alsinidendron","HI(Kauai)"
"Alternanthera","joyweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alternanthera brasiliana","Brazilian joyweed","HI(Honolulu)"
"Alternanthera caracasana","washerwoman","HI(Honolulu, Kauai, Maui)"
"Alternanthera ficoidea","sanguinaria","HI(Honolulu)"
"Alternanthera pungens","khakiweed","HI(Hawaii, Honolulu)"
"Alternanthera sessilis","sessile joyweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alysicarpus","moneywort","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alysicarpus vaginalis","white moneywort","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alyxia","alyxia","HI(Hawaii, Honolulu, Kauai, Maui)"
"Alyxia stellata","Maile","HI(Hawaii, Honolulu, Kauai, Maui)"
"Amaranthus","pigweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Amaranthus blitum","purple amaranth","HI(Hawaii, Honolulu, Kauai)"
"Amaranthus blitum var. emarginatus","purple amaranth","HI(Hawaii, Honolulu, Kauai)"
"Amaranthus brownii","Brown's amaranth","HI(Kauai)"
"Amaranthus dubius","spleen amaranth","HI(Hawaii, Honolulu, Kauai, Maui)"
"Amaranthus hybridus","slim amaranth","HI(Honolulu, Maui)"
"Amaranthus spinosus","spiny amaranth","HI(Hawaii, Honolulu, Kauai, Maui)"
"Amaranthus viridis","slender amaranth","HI(Hawaii, Honolulu, Kauai, Maui)"
"Ambrosia","ragweed","HI(Hawaii, Honolulu, Maui)"
"Ambrosia artemisiifolia","annual ragweed","HI(Hawaii, Honolulu, Maui)"
"Ambrosia artemisiifolia var. elatior","annual ragweed","HI(Hawaii, Honolulu, Maui)"
"Ammannia","redstem","HI(Kauai)"
"Ammannia coccinea","valley redstem","HI(Kauai)"
"Amsinckia","fiddleneck","HI(Hawaii)"
"Amsinckia menziesii","Menzies' fiddleneck","HI(Hawaii)"
"Amsinckia menziesii var. intermedia","common fiddleneck","HI(Hawaii)"
"Anagallis","pimpernel","HI(Hawaii, Honolulu, Kauai, Maui)"
"Anagallis arvensis","scarlet pimpernel","HI(Hawaii, Honolulu, Kauai, Maui)"
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","HI(Hawaii, Honolulu, Kauai, Maui)"
"Andropogon","bluestem","HI(Hawaii, Honolulu)"
"Andropogon virginicus","broomsedge bluestem","HI(Hawaii, Honolulu)"
"Andropogon virginicus var. virginicus","broomsedge bluestem","HI(Hawaii, Honolulu)"
"Anemone","anemone","HI(Hawaii)"
"Anemone hupehensis","Japanese thimbleweed","HI(Hawaii)"
"Anemone hupehensis var. japonica","Japanese thimbleweed","HI(Hawaii)"
"Anethum","dill","HI(Honolulu, Maui)"
"Anethum graveolens","dill","HI(Honolulu, Maui)"
"Anoectochilus","anoectochilus","HI(Hawaii, Honolulu, Kauai, Maui)"
"Anoectochilus sandvicensis","Hawai'i jeweled orchid","HI(Hawaii, Honolulu, Kauai, Maui)"
"Anredera","madieravine","HI(Hawaii, Honolulu, Kauai, Maui)"
"Anredera cordifolia","heartleaf madeiravine","HI(Hawaii, Honolulu, Kauai, Maui)"
"Anthemis","chamomile","HI(Hawaii, Kauai, Maui)"
"Anthemis cotula","stinking chamomile","HI(Hawaii, Kauai, Maui)"
"Anthoxanthum","hornwort","HI(Hawaii, Honolulu, Maui)"
"Anthoxanthum odoratum","sweet vernalgrass","HI(Hawaii, Honolulu, Maui)"
"Anthoxanthum odoratum ssp. odoratum","sweet vernalgrass","HI(Hawaii, Honolulu, Maui)"
"Antidesma","chinalaurel","HI(Hawaii, Honolulu, Kauai, Maui)"
"Antidesma platyphyllum","ha'a","HI(Hawaii, Honolulu, Kauai, Maui)"
"Antidesma platyphyllum var. hillebrandii","Hillebrand's ha'a","HI(Kauai)"
"Antidesma platyphyllum var. platyphyllum","ha'a","HI(Hawaii, Honolulu, Kauai, Maui)"
"Antidesma pulvinatum","hame","HI(Hawaii, Honolulu, Maui)"
"Antigonon","antigonon","HI(Hawaii, Honolulu, Kauai, Maui)"
"Antigonon leptopus","coral vine","HI(Hawaii, Honolulu, Kauai, Maui)"
"Archontophoenix","archontophoenix","HI(Hawaii)"
"Archontophoenix alexandrae","Alexandra palm","HI(Hawaii)"
"Arctium","burdock","HI(Hawaii, Honolulu, Maui)"
"Arctium lappa","greater burdock","HI(Hawaii, Honolulu, Maui)"
"Ardisia","marlberry","HI(Hawaii, Honolulu, Kauai, Maui)"
"Ardisia crenata","hen's eyes","HI(Hawaii, Honolulu)"
"Ardisia elliptica","shoebutton","HI(Hawaii, Honolulu, Kauai, Maui)"
"Arenaria","sandwort","HI(Hawaii, Maui)"
"Arenaria serpyllifolia","thymeleaf sandwort","HI(Hawaii, Maui)"
"Argemone","pricklypoppy","HI(Hawaii, Honolulu, Kauai, Maui)"
"Argemone glauca","smooth pricklypoppy","HI(Hawaii, Honolulu, Kauai, Maui)"
"Argemone glauca var. decipiens","smooth pricklypoppy","HI(Hawaii)"
"Argemone glauca var. glauca","smooth pricklypoppy","HI(Hawaii, Honolulu, Kauai, Maui)"
"Argemone mexicana","Mexican pricklypoppy","HI(Honolulu, Kauai, Maui)"
"Argyroxiphium","silversword","HI(Hawaii, Maui)"
"Argyroxiphium caliginis","eke silversword","HI(Maui)"
"Argyroxiphium grayanum","Hana Forest silversword","HI(Maui)"
"Argyroxiphium kauense","kau silversword","HI(Hawaii)"
"Argyroxiphium sandwicense","Hawai'i silversword","HI(Hawaii, Maui)"
"Argyroxiphium sandwicense ssp. macrocephalum","Hawai'i silversword","HI(Maui)"
"Argyroxiphium sandwicense ssp. sandwicense","Hawai'i silversword","HI(Hawaii)"
"Argyroxiphium virescens","greensword","HI(Maui)"
"Aristea","aristea","HI(Hawaii)"
"Aristea gerrardii","Gerrard's aristea","HI(Hawaii)"
"Aristolochia","dutchman's pipe","HI(Honolulu)"
"Aristolochia elegans","elegant dutchman's pipe","HI(Honolulu)"
"Artemisia","sagebrush","HI(Hawaii, Honolulu, Kauai, Maui)"
"Artemisia australis","Oahu wormwood","HI(Hawaii, Honolulu, Kauai, Maui)"
"Artemisia kauaiensis","Kauai wormwood","HI(Kauai)"
"Artemisia mauiensis","Maui wormwood","HI(Maui)"
"Artemisia vulgaris","common wormwood","HI(Hawaii, Honolulu, Kauai)"
"Arthrostemma","arthrostemma","HI(Hawaii, Honolulu)"
"Arthrostemma ciliatum","pinkfringe","HI(Hawaii, Honolulu)"
"Arundina","bamboo orchid","HI(Hawaii, Honolulu, Kauai, Maui)"
"Arundina graminifolia","bamboo orchid","HI(Hawaii, Honolulu, Kauai, Maui)"
"Arundo","giant reed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Arundo donax","giant reed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Asclepias","milkweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Asclepias curassavica","bloodflower","HI(Hawaii, Honolulu, Kauai, Maui)"
"Asclepias physocarpa","balloonplant","HI(Hawaii, Honolulu, Kauai, Maui)"
"Asplenium","spleenwort","HI(Hawaii, Honolulu, Kalawao, Kauai, Maui)"
"Asplenium excisum","pamoho","HI(Hawaii, Honolulu, Kalawao, Kauai, Maui)"
"Astelia","pineapplegrass","HI(Hawaii, Honolulu, Kauai, Maui)"
"Astelia argyrocoma","silverhair pineapplegrass","HI(Kauai)"
"Astelia menziesiana","pua'akuhinia","HI(Hawaii, Honolulu, Kauai, Maui)"
"Astelia waialealae","Kauai pa'iniu","HI(Kauai)"
"Asystasia","asystasia","HI(Honolulu, Kauai, Maui)"
"Asystasia gangetica","Chinese violet","HI(Honolulu, Kauai, Maui)"
"Atriplex","saltbush","HI(Hawaii, Honolulu, Kauai, Maui)"
"Atriplex eardleyae","small saltbush","HI(Hawaii)"
"Atriplex lentiformis","big saltbush","HI(Honolulu)"
"Atriplex lentiformis ssp. lentiformis","big saltbush","HI(Honolulu)"
"Atriplex semibaccata","Australian saltbush","HI(Hawaii, Honolulu, Kauai, Maui)"
"Atriplex suberecta","peregrine saltbush","HI(Hawaii, Honolulu, Kauai, Maui)"
"Avena","oat","HI(Hawaii, Honolulu, Kauai, Maui)"
"Avena fatua","wild oat","HI(Hawaii, Honolulu, Kauai, Maui)"
"Avena sativa","common oat","HI(Hawaii, Honolulu, Maui)"
"Axonopus","carpetgrass","HI(Hawaii, Honolulu, Kauai, Maui)"
"Axonopus fissifolius","common carpetgrass","HI(Hawaii, Honolulu, Kauai, Maui)"
"Bacopa","waterhyssop","HI(Hawaii, Honolulu, Kauai, Maui)"
"Bacopa monnieri","herb of grace","HI(Hawaii, Honolulu, Kauai, Maui)"
"Baltimora","baltimora","HI(Honolulu)"
"Baltimora recta","beautyhead","HI(Honolulu)"
"Barleria","Philippine violet","HI(Hawaii, Honolulu, Kauai)"
"Barleria cristata","crested Philippine violet","HI(Hawaii, Honolulu, Kauai)"
"Bassia","smotherweed","HI(Honolulu, Maui)"
"Bassia hyssopifolia","fivehorn smotherweed","HI(Honolulu, Maui)"
"Batis","turtleweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Batis maritima","turtleweed","HI(Hawaii, Honolulu, Kauai, Maui)"
"Begonia","begonia","HI(Hawaii, Honolulu, Maui)"
"Begonia foliosa","fuchsia begonia","HI(Hawaii)"
"Begonia foliosa var. miniata","fuchsia begonia","HI(Hawaii)"
"Begonia hirtella","Brazilian begonia","HI(Hawaii, Honolulu, Maui)"
"Begonia reniformis","grapeleaf begonia","HI(Hawaii)"
"Bellis","bellis","HI(Hawaii, Kauai)"
"Bellis perennis","lawndaisy","HI(Hawaii, Kauai)"
"Bidens","beggarticks","HI(Hawaii, Honolulu, Kauai, Maui)"
"Bidens alba","romerillo","HI(Hawaii, Honolulu, Kauai, Maui)"
"Bidens alba var. radiata","romerillo","HI(Hawaii, Honolulu, Kauai, Maui)"
"Bidens amplectens","kokolau","HI(Honolulu)"
"Bidens asymmetrica","Koolau Range beggarticks","HI(Honolulu)"
"Bidens campylotheca","viper beggarticks","HI(Hawaii, Honolulu, Maui)"
"Bidens campylotheca ssp. campylotheca","viper beggarticks","HI(Hawaii, Honolulu, Maui)"
"Bidens campylotheca ssp. pentamera","viper beggarticks","HI(Maui)"
"Bidens campylotheca ssp. waihoiensis","Waihoi beggarticks","HI(Maui)"
"Bidens cervicata","Kauai beggarticks","HI(Honolulu, Kauai)"
"Bidens conjuncta","bog beggarticks","HI(Maui)"
"Bidens cosmoides","cosmosflower beggarticks","HI(Kauai)"
"Bidens cynapiifolia","West Indian beggarticks","HI(Hawaii, Honolulu, Maui)"
"Bidens forbesii","coastal bluff beggarticks","HI(Kauai)"
"Bidens forbesii ssp. forbesii","coastal bluff beggarticks","HI(Kauai)"
"Bidens forbesii ssp. kahiliensis","Kahili beggarticks","HI(Kauai)"
"Bidens gardneri","ridge beggartick","HI(Honolulu)"
"Bidens hawaiensis","Hawai'i beggarticks","HI(Hawaii)"
"Bidens hillebrandiana","seacliff beggarticks","HI(Hawaii, Honolulu, Maui)"
"Bidens hillebrandiana ssp. hillebrandiana","seacliff beggarticks","HI(Hawaii)"
"Bidens hillebrandiana ssp. polycephala","seacliff beggarticks","HI(Honolulu, Maui)"
"Bidens macrocarpa","largefruit beggarticks","HI(Honolulu)"
