"","",""
"Abies","fir","ID(Adams, Bannock, Bear Lake, Benewah, Blaine, Boise, Bonner, Bonneville, Boundary, Caribou, Cassia, Clearwater, Custer, Elmore, Franklin, Fremont, Idaho, Kootenai, Latah, Lemhi, Owyhee, Shoshone, Teton, Twin Falls, Valley, Washington)"
"Abies concolor","white fir","ID(Cassia, Idaho, Latah, Valley, Washington)"
"Abies grandis","grand fir","ID(Adams, Benewah, Boise, Bonner, Boundary, Clearwater, Elmore, Fremont, Idaho, Kootenai, Latah, Shoshone, Teton, Valley, Washington)"
"Abies lasiocarpa","subalpine fir","ID(Adams, Bannock, Bear Lake, Blaine, Boise, Bonner, Bonneville, Caribou, Cassia, Clearwater, Custer, Elmore, Franklin, Fremont, Idaho, Latah, Lemhi, Owyhee, Shoshone, Teton, Twin Falls, Valley)"
"Abies lasiocarpa var. lasiocarpa","subalpine fir","ID(Adams, Bannock, Bear Lake, Blaine, Boise, Bonner, Bonneville, Caribou, Cassia, Clearwater, Custer, Elmore, Franklin, Fremont, Idaho, Latah, Lemhi, Owyhee, Shoshone, Teton, Twin Falls, Valley)"
"Abronia","sand verbena","ID(Ada, Bingham, Blaine, Boise, Bonneville, Butte, Canyon, Elmore, Franklin, Fremont, Gem, Idaho, Jefferson, Madison, Minidoka, Owyhee, Payette, Power, Twin Falls, Washington)"
"Abronia mellifera","white sand verbena","ID(Ada, Bingham, Blaine, Bonneville, Butte, Canyon, Elmore, Fremont, Gem, Jefferson, Madison, Minidoka, Owyhee, Power, Twin Falls, Washington)"
"Abutilon","Indian mallow","ID(Canyon, Gem, Gooding, Idaho, Lewis, Lincoln, Minidoka, Payette, Twin Falls)"
"Abutilon theophrasti","velvetleaf","ID(Canyon, Gem, Gooding, Idaho, Lewis, Lincoln, Minidoka, Payette, Twin Falls)"
"Acarospora","cracked lichen","ID(Owyhee)"
"Acarospora schleicheri","Schleicher's cracked lichen","ID(Owyhee)"
"Acer","maple","ID(Ada, Adams, Bannock, Bear Lake, Benewah, Boise, Bonner, Bonneville, Boundary, Butte, Canyon, Caribou, Cassia, Clark, Clearwater, Custer, Elmore, Franklin, Fremont, Gem, Gooding, Idaho, Jefferson, Kootenai, Latah, Lemhi, Madison, Nez Perce, Oneida, Owyhee, Power, Shoshone, Teton, Twin Falls, Valley, Washington)"
"Acer glabrum","Rocky Mountain maple","ID(Ada, Adams, Bannock, Bear Lake, Benewah, Boise, Bonner, Bonneville, Boundary, Butte, Cassia, Clark, Clearwater, Custer, Elmore, Franklin, Fremont, Gem, Idaho, Jefferson, Kootenai, Latah, Lemhi, Madison, Nez Perce, Oneida, Owyhee, Shoshone, Teton, Valley, Washington)"
"Acer glabrum var. douglasii","Douglas maple","ID(Ada, Boise, Bonner, Boundary, Cassia, Clearwater, Custer, Elmore, Fremont, Gem, Idaho, Kootenai, Lemhi, Nez Perce, Owyhee, Shoshone, Valley, Washington)"
"Acer glabrum var. glabrum","Rocky Mountain maple","ID(Adams, Bear Lake, Butte, Cassia, Clark, Fremont, Idaho, Jefferson, Owyhee, Valley)"
"Acer grandidentatum","bigtooth maple","ID(Bannock, Bear Lake, Bonneville, Caribou, Cassia, Franklin, Fremont, Oneida, Power, Teton)"
"Acer grandidentatum var. grandidentatum","bigtooth maple","ID(Bannock, Bear Lake, Bonneville, Caribou, Cassia, Franklin, Fremont, Oneida, Power, Teton)"
"Acer negundo","boxelder","ID(Ada, Bannock, Bear Lake, Boise, Boundary, Canyon, Cassia, Elmore, Franklin, Fremont, Gem, Gooding, Idaho, Jefferson, Kootenai, Latah, Lemhi, Madison, Oneida, Power, Shoshone, Twin Falls, Washington)"
"Acer negundo var. interius","boxelder","ID(Bannock, Bear Lake, Cassia, Franklin, Fremont, Jefferson, Lemhi, Madison, Oneida, Power)"
"Acer negundo var. violaceum","boxelder","ID(Ada, Bannock, Boise, Boundary, Elmore, Idaho, Latah, Shoshone, Twin Falls)"
"Acer platanoides","Norway maple","ID(Ada, Bannock, Benewah, Boundary, Kootenai, Latah, Twin Falls)"
"Achillea","yarrow","ID(Ada, Adams, Bannock, Bear Lake, Benewah, Blaine, Boise, Bonner, Bonneville, Boundary, Butte, Camas, Canyon, Caribou, Cassia, Clark, Clearwater, Custer, Elmore, Franklin, Fremont, Gem, Idaho, Kootenai, Latah, Lemhi, Lincoln, Minidoka, Nez Perce, Oneida, Owyhee, Payette, Power, Shoshone, Twin Falls, Valley, Washington)"
"Achillea millefolium","common yarrow","ID(Ada, Adams, Bannock, Bear Lake, Benewah, Blaine, Boise, Bonner, Bonneville, Boundary, Butte, Camas, Canyon, Caribou, Cassia, Clark, Clearwater, Custer, Elmore, Franklin, Fremont, Gem, Idaho, Kootenai, Latah, Lemhi, Lincoln, Minidoka, Nez Perce, Oneida, Owyhee, Payette, Power, Shoshone, Twin Falls, Valley, Washington)"
"Achillea millefolium var. alpicola","common yarrow","ID(Blaine, Bonner, Cassia, Clark, Custer, Fremont, Idaho, Lemhi)"
"Achillea millefolium var. californica","California yarrow","ID(Clearwater)"
