"","",""
"Abelmoschus","okra","IL(Champaign)"
"Abelmoschus esculentus","okra","IL(Champaign)"
"Abutilon","Indian mallow","IL(Adams, Alexander, Bond, Boone, Calhoun, Cass, Champaign, Christian, Clark, Clinton, Coles, Cook, Crawford, Cumberland, De Witt, DeKalb, Douglas, DuPage, Edgar, Effingham, Fayette, Ford, Fulton, Gallatin, Greene, Grundy, Hamilton, Hancock, Hardin, Henderson, Henry, Iroquois, Jackson, Jefferson, Jersey, Jo Daviess, Johnson, Kane, Kankakee, Kendall, Knox, LaSalle, Lake, Lawrence, Livingston, Logan, Macon, Macoupin, Marion, Marshall, Mason, Massac, McDonough, McHenry, McLean, Menard, Mercer, Monroe, Montgomery, Morgan, Moultrie, Ogle, Peoria, Perry, Piatt, Pike, Pope, Pulaski, Putnam, Randolph, Richland, Saline, Sangamon, Scott, Shelby, St. Clair, Stephenson, Tazewell, Union, Vermilion, Washington, Wayne, Whiteside, Will, Williamson, Winnebago, Woodford)"
"Abutilon theophrasti","velvetleaf","IL(Adams, Alexander, Bond, Boone, Calhoun, Cass, Champaign, Christian, Clark, Clinton, Coles, Cook, Crawford, Cumberland, De Witt, DeKalb, Douglas, DuPage, Edgar, Effingham, Fayette, Ford, Fulton, Gallatin, Greene, Grundy, Hamilton, Hancock, Hardin, Henderson, Henry, Iroquois, Jackson, Jefferson, Jersey, Jo Daviess, Johnson, Kane, Kankakee, Kendall, Knox, LaSalle, Lake, Lawrence, Livingston, Logan, Macon, Macoupin, Marion, Marshall, Mason, Massac, McDonough, McHenry, McLean, Menard, Mercer, Monroe, Montgomery, Morgan, Moultrie, Ogle, Peoria, Perry, Piatt, Pike, Pope, Pulaski, Putnam, Randolph, Richland, Saline, Sangamon, Scott, Shelby, St. Clair, Stephenson, Tazewell, Union, Vermilion, Washington, Wayne, Whiteside, Will, Williamson, Winnebago, Woodford)"
"Acalypha","copperleaf","IL(Adams, Alexander, Bond, Boone, Brown, Bureau, Calhoun, Carroll, Cass, Champaign, Christian, Clark, Clay, Clinton, Coles, Cook, Crawford, Cumberland, De Witt, DeKalb, Douglas, DuPage, Edgar, Edwards, Effingham, Fayette, Ford, Franklin, Fulton, Gallatin, Greene, Grundy, Hamilton, Hancock, Hardin, Henderson, Henry, Iroquois, Jackson, Jasper, Jefferson, Jersey, Jo Daviess, Johnson, Kane, Kankakee, Kendall, Knox, LaSalle, Lake, Lawrence, Lee, Livingston, Logan, Macon, Macoupin, Madison, Marion, Marshall, Mason, Massac, McDonough, McHenry, McLean, Menard, Mercer, Monroe, Montgomery, Morgan, Moultrie, Ogle, Peoria, Perry, Piatt, Pike, Pope, Pulaski, Putnam, Randolph, Richland, Rock Island, Saline, Sangamon, Schuyler, Scott, Shelby, St. Clair, Stark, Stephenson, Tazewell, Union, Vermilion, Wabash, Warren, Washington, Wayne, White, Whiteside, Will, Williamson, Winnebago, Woodford)"
"Acalypha deamii","Deam's threeseed mercury","IL(Clark, Coles, Massac, Montgomery, Vermilion)"
"Acalypha gracilens","slender threeseed mercury","IL(Alexander, Bond, Calhoun, Cass, Christian, Clark, Coles, Crawford, Cumberland, De Witt, Douglas, Edgar, Edwards, Effingham, Fayette, Fulton, Gallatin, Greene, Grundy, Hamilton, Hancock, Hardin, Henderson, Henry, Iroquois, Jackson, Jefferson, Johnson, Kankakee, LaSalle, Lawrence, Livingston, Logan, Macon, Madison, Marion, Mason, Massac, McDonough, McLean, Menard, Monroe, Montgomery, Morgan, Perry, Piatt, Pike, Pope, Pulaski, Putnam, Randolph, Richland, Saline, Sangamon, Shelby, St. Clair, Tazewell, Union, Vermilion, Wabash, Wayne, Whiteside, Will, Williamson)"
"Acalypha monococca","slender threeseed mercury","IL(Clark, Jackson, Sangamon, Tazewell, Union, Williamson)"
"Acalypha ostryifolia","pineland threeseed mercury","IL(Alexander, Champaign, Christian, Clark, Coles, Crawford, Cumberland, Edgar, Edwards, Fayette, Greene, Hardin, Jackson, Jersey, Johnson, Lawrence, Logan, Macon, Massac, Monroe, Morgan, Piatt, Pike, Pope, Pulaski, Randolph, Schuyler, Scott, Shelby, St. Clair, Union, Wabash, White)"
"Acalypha rhomboidea","common threeseed mercury","IL(Adams, Alexander, Bond, Boone, Brown, Bureau, Calhoun, Carroll, Cass, Champaign, Christian, Clark, Clay, Clinton, Coles, Cook, Crawford, Cumberland, De Witt, DeKalb, Douglas, DuPage, Edgar, Edwards, Effingham, Fayette, Ford, Franklin, Fulton, Gallatin, Greene, Grundy, Hamilton, Hancock, Hardin, Henderson, Henry, Iroquois, Jackson, Jasper, Jefferson, Jersey, Jo Daviess, Johnson, Kane, Kankakee, Kendall, Knox, LaSalle, Lake, Lawrence, Lee, Livingston, Logan, Macon, Macoupin, Madison, Marion, Marshall, Mason, Massac, McDonough, McHenry, McLean, Menard, Mercer, Monroe, Montgomery, Morgan, Moultrie, Ogle, Peoria, Perry, Piatt, Pike, Pope, Pulaski, Putnam, Randolph, Richland, Rock Island, Saline, Sangamon, Schuyler, Scott, Shelby, St. Clair, Stark, Stephenson, Tazewell, Union, Vermilion, Wabash, Warren, Washington, Wayne, White, Whiteside, Will, Williamson, Winnebago, Woodford)"
