"","",""
"Abutilon","Indian mallow","IN(Adams, Allen, Blackford, Carroll, Clinton, Delaware, Fayette, Fountain, Gibson, Greene, Hancock, Harrison, Hendricks, Henry, Howard, Huntington, Jasper, Jefferson, Johnson, Kosciusko, LaPorte, Lake, Lawrence, Madison, Marion, Miami, Monroe, Montgomery, Morgan, Newton, Noble, Parke, Perry, Putnam, Rush, Shelby, Spencer, St. Joseph, Sullivan, Switzerland, Tippecanoe, Tipton, Vanderburgh, Vigo, Warren, Wayne, Wells, White)"
"Abutilon theophrasti","velvetleaf","IN(Adams, Allen, Blackford, Carroll, Clinton, Delaware, Fayette, Fountain, Gibson, Greene, Hancock, Harrison, Hendricks, Henry, Howard, Huntington, Jasper, Jefferson, Johnson, Kosciusko, LaPorte, Lake, Lawrence, Madison, Marion, Miami, Monroe, Montgomery, Morgan, Newton, Noble, Parke, Perry, Putnam, Rush, Shelby, Spencer, St. Joseph, Sullivan, Switzerland, Tippecanoe, Tipton, Vanderburgh, Vigo, Warren, Wayne, Wells, White)"
"Acalypha","copperleaf","IN(Adams, Allen, Bartholomew, Benton, Blackford, Boone, Brown, Carroll, Cass, Clark, Clay, Clinton, Crawford, Daviess, Dearborn, Decatur, Delaware, Dubois, Elkhart, Fayette, Floyd, Fountain, Franklin, Fulton, Gibson, Grant, Greene, Hamilton, Hancock, Harrison, Hendricks, Henry, Howard, Huntington, Jackson, Jasper, Jay, Jefferson, Jennings, Knox, Kosciusko, LaPorte, Lagrange, Lake, Lawrence, Madison, Marion, Marshall, Martin, Miami, Monroe, Montgomery, Morgan, Newton, Noble, Orange, Owen, Parke, Perry, Pike, Porter, Posey, Pulaski, Putnam, Randolph, Ripley, Rush, Scott, Shelby, Spencer, St. Joseph, Starke, Steuben, Sullivan, Switzerland, Tippecanoe, Tipton, Union, Vanderburgh, Vermillion, Vigo, Wabash, Warren, Warrick, Washington, Wayne, Wells, White, Whitley)"
"Acalypha deamii","Deam's threeseed mercury","IN(Clark, Crawford, Dearborn, Floyd, Franklin, Gibson, Harrison, Jackson, Monroe, Parke, Perry, Posey, Spencer, Vanderburgh)"
"Acalypha gracilens","slender threeseed mercury","IN(Cass, Clark, Daviess, Fulton, Harrison, Jasper, Jefferson, Knox, Lawrence, Newton, Orange, Perry, Spencer, Starke, Washington, White)"
"Acalypha ostryifolia","pineland threeseed mercury","IN(Clark, Crawford, Dearborn, Floyd, Gibson, Harrison, Jefferson, Knox, Lawrence, Monroe, Owen, Perry, Posey, Spencer, Tipton, Vanderburgh, Warrick)"
"Acalypha rhomboidea","common threeseed mercury","IN(Adams, Allen, Bartholomew, Blackford, Boone, Brown, Carroll, Cass, Clark, Clay, Clinton, Crawford, Daviess, Dearborn, Decatur, Delaware, Dubois, Elkhart, Fayette, Floyd, Fountain, Franklin, Fulton, Gibson, Grant, Greene, Hamilton, Hancock, Harrison, Hendricks, Henry, Howard, Huntington, Jackson, Jasper, Jay, Jefferson, Jennings, Knox, Kosciusko, LaPorte, Lagrange, Lake, Lawrence, Madison, Marion, Marshall, Martin, Miami, Monroe, Montgomery, Morgan, Newton, Noble, Orange, Parke, Perry, Pike, Porter, Pulaski, Putnam, Randolph, Ripley, Rush, Scott, Shelby, Spencer, St. Joseph, Starke, Steuben, Sullivan, Switzerland, Tippecanoe, Tipton, Union, Vanderburgh, Vermillion, Vigo, Wabash, Warren, Warrick, Washington, Wayne, Wells, White, Whitley)"
"Acalypha virginica","Virginia threeseed mercury","IN(Benton, Brown, Clark, Crawford, Daviess, Dearborn, Dubois, Floyd, Fountain, Franklin, Fulton, Gibson, Greene, Harrison, Howard, Huntington, Jackson, Jefferson, Jennings, Lagrange, Lawrence, Madison, Martin, Monroe, Morgan, Orange, Owen, Perry, Pike, Posey, Putnam, Spencer, Sullivan, Tippecanoe, Vanderburgh, Vigo, Warren, Warrick, Washington, Wells)"
"Acer","maple","IN(Adams, Allen, Bartholomew, Blackford, Boone, Brown, Carroll, Cass, Clark, Clay, Clinton, Crawford, Daviess, DeKalb, Dearborn, Decatur, Delaware, Dubois, Elkhart, Fayette, Floyd, Fountain, Franklin, Fulton, Gibson, Grant, Greene, Hamilton, Hancock, Harrison, Hendricks, Henry, Howard, Huntington, Jackson, Jasper, Jay, Jefferson, Jennings, Johnson, Knox, Kosciusko, LaPorte, Lagrange, Lake, Lawrence, Madison, Marion, Marshall, Martin, Miami, Monroe, Montgomery, Morgan, Newton, Noble, Orange, Owen, Parke, Perry, Pike, Porter, Posey, Pulaski, Putnam, Randolph, Ripley, Rush, Scott, Shelby, Spencer, St. Joseph, Starke, Steuben, Sullivan, Switzerland, Tippecanoe, Union, Vanderburgh, Vermillion, Vigo, Wabash, Warren, Warrick, Washington, Wayne, Wells, White, Whitley)"
"Acer negundo","boxelder","IN(Allen, Bartholomew, Blackford, Boone, Brown, Carroll, Cass, Clark, Clay, Clinton, Crawford, Daviess, DeKalb, Decatur, Delaware, Elkhart, Floyd, Fountain, Franklin, Fulton, Gibson, Hamilton, Hancock, Harrison, Hendricks, Henry, Howard, Huntington, Jackson, Jasper, Jefferson, Jennings, Johnson, Knox, Kosciusko, LaPorte, Lagrange, Lawrence, Madison, Marion, Martin, Miami, Monroe, Montgomery, Morgan, Newton, Noble, Orange, Owen, Parke, Perry, Porter, Posey, Putnam, Randolph, Rush, Spencer, St. Joseph, Steuben, Sullivan, Switzerland, Tippecanoe, Union, Vanderburgh, Vermillion, Vigo, Wabash, Warren, Warrick, Wayne, Wells)"
"Acer negundo var. violaceum","boxelder","IN(Brown, Carroll, Cass, Elkhart, Franklin, Fulton, Hendricks, Henry, Jackson, Jennings, Lagrange, Martin, Noble, Porter, Posey, Putnam, St. Joseph, Tippecanoe, Vermillion, Wayne)"
"Acer nigrum","black maple","IN(Adams, Allen, Bartholomew, Brown, Carroll, Cass, Clark, Clinton, Crawford, DeKalb, Dearborn, Decatur, Delaware, Fayette, Floyd, Fountain, Gibson, Grant, Hamilton, Harrison, Hendricks, Henry, Howard, Huntington, Jefferson, Jennings, Johnson, Kosciusko, LaPorte, Lake, Lawrence, Marion, Marshall, Miami, Monroe, Montgomery, Morgan, Noble, Parke, Porter, Putnam, Randolph, Rush, Shelby, St. Joseph, Steuben, Switzerland, Tippecanoe, Union, Vermillion, Wabash, Warren, Wayne, Wells, Whitley)"
"Acer rubrum","red maple","IN(Allen, Bartholomew, Blackford, Brown, Clark, Clay, Clinton, Crawford, Daviess, DeKalb, Delaware, Dubois, Elkhart, Fayette, Floyd, Franklin, Fulton, Gibson, Grant, Greene, Hamilton, Hancock, Harrison, Henry, Howard, Huntington, Jackson, Jasper, Jefferson, Jennings, Knox, Kosciusko, LaPorte, Lagrange, Lake, Lawrence, Madison, Marion, Marshall, Martin, Miami, Monroe, Montgomery, Morgan, Noble, Orange, Owen, Porter, Posey, Pulaski, Putnam, Ripley, Scott, Spencer, St. Joseph, Steuben, Sullivan, Switzerland, Tippecanoe, Vanderburgh, Vigo, Warren, Warrick, Washington, Wayne, Wells, White, Whitley)"
