"","",""
"Abutilon","Indian mallow","IA(Guthrie, Harrison, Mills, Taylor, Winneshiek, Woodbury)"
"Abutilon theophrasti","velvetleaf","IA(Guthrie, Harrison, Mills, Taylor, Winneshiek, Woodbury)"
"Acalypha","copperleaf","IA(Adair, Audubon, Carroll, Cherokee, Fremont, Greene, Guthrie, Harrison, Lyon, Montgomery, Osceola, Page, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Taylor, Washington)"
"Acalypha ostryifolia","pineland threeseed mercury","IA(Fremont, Pottawattamie)"
"Acalypha rhomboidea","common threeseed mercury","IA(Carroll, Cherokee, Greene, Guthrie, Harrison, Lyon, Plymouth, Pottawattamie, Sioux, Taylor, Washington)"
"Acalypha virginica","Virginia threeseed mercury","IA(Adair, Audubon, Fremont, Guthrie, Harrison, Montgomery, Osceola, Page, Pottawattamie, Ringgold, Shelby)"
"Acer","maple","IA(Adair, Cass, Cerro Gordo, Cherokee, Clayton, Fremont, Guthrie, Harrison, Ida, Lee, Lyon, Madison, Mills, Monona, O'Brien, Osceola, Page, Plymouth, Pottawattamie, Shelby, Sioux, Union, Webster, Winneshiek, Woodbury)"
"Acer negundo","boxelder","IA(Adair, Cherokee, Clayton, Harrison, Ida, Lee, Lyon, Madison, Mills, O'Brien, Osceola, Plymouth, Pottawattamie, Shelby, Sioux, Union, Webster, Winneshiek, Woodbury)"
"Acer saccharinum","silver maple","IA(Cass, Cerro Gordo, Cherokee, Fremont, Guthrie, Harrison, Ida, Lyon, Monona, O'Brien, Osceola, Page, Plymouth, Pottawattamie, Sioux, Union, Webster, Winneshiek)"
"Acer saccharum","sugar maple","IA(Cherokee)"
"Acer saccharum var. saccharum","sugar maple","IA(Cherokee)"
"Achillea","yarrow","IA(Adair, Adams, Audubon, Cass, Crawford, Fremont, Guthrie, Ida, Lyon, Madison, Mills, Monona, O'Brien, Osceola, Page, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Taylor, Union, Washington, Woodbury)"
"Achillea millefolium","common yarrow","IA(Adair, Adams, Audubon, Cass, Crawford, Fremont, Guthrie, Ida, Lyon, Madison, Mills, Monona, O'Brien, Osceola, Page, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Taylor, Union, Washington, Woodbury)"
"Achillea millefolium var. occidentalis","western yarrow","IA(Adair, Adams, Audubon, Cass, Crawford, Fremont, Guthrie, Ida, Lyon, Madison, Mills, Monona, O'Brien, Osceola, Page, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Taylor, Union, Washington, Woodbury)"
"Acorus","sweetflag","IA(Emmet, Lyon, Madison, Winneshiek)"
"Acorus calamus","calamus","IA(Emmet, Lyon, Madison, Winneshiek)"
