"","",""
"Abelmoschus","okra","KY(Lyon)"
"Abelmoschus esculentus","okra","KY(Lyon)"
"Abutilon","Indian mallow","KY(Bourbon, Bullitt, Calloway, Campbell, Carlisle, Carter, Clark, Daviess, Estill, Fayette, Franklin, Gallatin, Greenup, Henry, Hickman, Jefferson, Jessamine, Kenton, Logan, Madison, Marshall, Mason, McLean, Meade, Nelson, Owen, Trigg, Warren)"
"Abutilon theophrasti","velvetleaf","KY(Bourbon, Bullitt, Calloway, Campbell, Carlisle, Carter, Clark, Daviess, Estill, Fayette, Franklin, Gallatin, Greenup, Henry, Hickman, Jefferson, Jessamine, Kenton, Logan, Madison, Marshall, Mason, McLean, Meade, Nelson, Owen, Trigg, Warren)"
"Acalypha","copperleaf","KY(Allen, Anderson, Ballard, Bath, Bell, Boone, Bourbon, Boyle, Bracken, Breathitt, Bullitt, Caldwell, Calloway, Campbell, Carlisle, Carroll, Carter, Clark, Crittenden, Edmonson, Estill, Fayette, Fleming, Floyd, Franklin, Fulton, Gallatin, Garrard, Grant, Graves, Grayson, Green, Hardin, Harlan, Harrison, Hart, Henderson, Henry, Hickman, Hopkins, Jackson, Jefferson, Jessamine, Johnson, Kenton, Laurel, Letcher, Lewis, Lincoln, Livingston, Logan, Madison, Marshall, Martin, Mason, McCracken, McCreary, McLean, Meade, Menifee, Mercer, Montgomery, Muhlenberg, Nelson, Ohio, Oldham, Owen, Pendleton, Pike, Powell, Pulaski, Robertson, Rockcastle, Rowan, Spencer, Todd, Union, Warren, Woodford)"
"Acalypha deamii","Deam's threeseed mercury","KY(Bell, Boone, Bullitt, Edmonson, Garrard, Grant, Green, Hardin, Hart, Henderson, Jefferson, Madison, McCracken, Warren)"
"Acalypha gracilens","slender threeseed mercury","KY(Ballard, Bullitt, Carter, Clark, Graves, Hardin, Jefferson, Livingston, Logan, McCreary, Meade, Powell)"
"Acalypha ostryifolia","pineland threeseed mercury","KY(Anderson, Boone, Bourbon, Bracken, Carroll, Fayette, Franklin, Fulton, Gallatin, Grayson, Hardin, Henry, Hickman, Hopkins, Jefferson, Kenton, Livingston, Madison, Mason, Mercer, Nelson, Oldham, Todd, Union, Woodford)"
"Acalypha rhomboidea","common threeseed mercury","KY(Allen, Anderson, Bath, Bell, Boone, Bourbon, Breathitt, Bullitt, Calloway, Campbell, Carlisle, Carroll, Carter, Crittenden, Edmonson, Estill, Fayette, Floyd, Franklin, Fulton, Gallatin, Garrard, Grant, Graves, Hardin, Harrison, Henderson, Henry, Hickman, Jackson, Jefferson, Jessamine, Kenton, Laurel, Lewis, Lincoln, Madison, Marshall, Martin, McCreary, McLean, Meade, Montgomery, Nelson, Ohio, Oldham, Owen, Pendleton, Powell, Pulaski, Robertson, Rockcastle, Rowan, Spencer, Union, Woodford)"
"Acalypha virginica","Virginia threeseed mercury","KY(Allen, Anderson, Ballard, Bath, Bell, Boone, Bourbon, Boyle, Bracken, Breathitt, Bullitt, Caldwell, Calloway, Campbell, Carlisle, Carroll, Carter, Clark, Crittenden, Edmonson, Estill, Fayette, Fleming, Floyd, Franklin, Fulton, Gallatin, Garrard, Graves, Hardin, Harlan, Harrison, Henderson, Henry, Hickman, Jackson, Jefferson, Jessamine, Johnson, Kenton, Laurel, Letcher, Lewis, Lincoln, Madison, Marshall, Martin, Mason, McCracken, McCreary, McLean, Meade, Menifee, Montgomery, Muhlenberg, Nelson, Ohio, Oldham, Owen, Pendleton, Pike, Powell, Pulaski, Robertson, Rockcastle, Rowan, Spencer, Union, Warren, Woodford)"
