"","",""
"Abelmoschus","okra","LA(Acadia, Bienville, Caddo, Concordia, De Soto, East Baton Rouge, East Carroll, Iberia, Lafayette, Lincoln, Madison, Ouachita, Red River, Tensas, Union, Webster, Winn)"
"Abelmoschus esculentus","okra","LA(Acadia, Bienville, Caddo, Concordia, De Soto, East Baton Rouge, East Carroll, Iberia, Lafayette, Lincoln, Madison, Ouachita, Red River, Tensas, Union, Webster, Winn)"
"Abutilon","Indian mallow","LA(Allen, Caddo, Caldwell, Claiborne, Concordia, De Soto, East Carroll, Franklin, Lafayette, Lincoln, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Red River, Richland, Sabine, St. Charles, St. John the Baptist, St. Mary, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Washington, West Baton Rouge, West Feliciana)"
"Abutilon hulseanum","mauve","LA(St. Mary)"
"Abutilon theophrasti","velvetleaf","LA(Allen, Caddo, Caldwell, Claiborne, Concordia, De Soto, East Carroll, Franklin, Lafayette, Lincoln, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Red River, Richland, Sabine, St. Charles, St. John the Baptist, St. Mary, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Washington, West Baton Rouge, West Feliciana)"
"Acaciella","","LA(Bossier, Caddo, Caldwell, De Soto, LaSalle, Natchitoches, Sabine, Vernon, Winn)"
"Acaciella angustissima","prairie acacia","LA(Bossier, Caddo, Caldwell, De Soto, LaSalle, Natchitoches, Sabine, Vernon, Winn)"
"Acaciella angustissima var. hirta","prairie acacia","LA(Bossier, Caddo, Caldwell, De Soto, LaSalle, Natchitoches, Sabine, Vernon, Winn)"
"Acalypha","copperleaf","LA(Acadia, Allen, Ascension, Assumption, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Cameron, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Grant, Iberia, Iberville, Jackson, Jefferson, Jefferson Davis, LaSalle, Lafayette, Lafourche, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, Red River, Richland, Sabine, St. Bernard, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Martin, St. Mary, St. Tammany, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Vernon, Washington, Webster, West Baton Rouge, West Carroll, West Feliciana, Winn)"
"Acalypha alopecuroidea","foxtail copperleaf","LA(Lafourche, St. James)"
"Acalypha gracilens","slender threeseed mercury","LA(Allen, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Cameron, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Feliciana, Evangeline, Franklin, Grant, Iberia, Jackson, Jefferson, Jefferson Davis, LaSalle, Lafayette, Lincoln, Livingston, Morehouse, Natchitoches, Orleans, Ouachita, Rapides, Red River, Richland, Sabine, St. Charles, St. Helena, St. John the Baptist, St. Landry, St. Martin, St. Tammany, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Vernon, Washington, Webster, West Baton Rouge, West Carroll, West Feliciana, Winn)"
"Acalypha monococca","slender threeseed mercury","LA(Acadia, Bienville, Caddo)"
"Acalypha ostryifolia","pineland threeseed mercury","LA(Ascension, Assumption, Avoyelles, Bienville, Caddo, Calcasieu, Caldwell, Cameron, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Grant, Iberia, Iberville, Jefferson, LaSalle, Lafayette, Lafourche, Lincoln, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Rapides, Red River, Richland, St. Bernard, St. Charles, St. Helena, St. James, St. John the Baptist, St. Martin, Tangipahoa, Tensas, Terrebonne, Vermilion, Washington, Webster, West Baton Rouge, West Carroll, West Feliciana, Winn)"
"Acalypha rhomboidea","common threeseed mercury","LA(Acadia, Ascension, Assumption, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Catahoula, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Grant, Iberia, Jackson, Jefferson, Jefferson Davis, LaSalle, Lafayette, Lafourche, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, Red River, Richland, Sabine, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Mary, St. Tammany, Tangipahoa, Tensas, Union, Vermilion, Washington, Webster, West Baton Rouge, West Feliciana, Winn)"
"Acalypha setosa","Cuban copperleaf","LA(Caddo, East Feliciana, Franklin, Lafayette, Lafourche, Madison, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, St. Charles, St. John the Baptist, Tangipahoa, Vermilion, West Feliciana)"
"Acalypha virginica","Virginia threeseed mercury","LA(Allen, Avoyelles, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, Evangeline, Franklin, Grant, Iberville, Jackson, LaSalle, Lincoln, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Rapides, Red River, Richland, Sabine, St. Charles, Tangipahoa, Tensas, Union, Vermilion, Webster, West Carroll, West Feliciana)"
"Acanthospermum","starbur","LA(St. Tammany, Vernon)"
"Acanthospermum australe","Paraguayan starbur","LA(St. Tammany, Vernon)"
"Acer","maple","LA(Acadia, Allen, Ascension, Assumption, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Cameron, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Grant, Iberia, Iberville, Jackson, Jefferson, Jefferson Davis, LaSalle, Lafayette, Lafourche, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, Red River, Richland, Sabine, St. Bernard, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Martin, St. Mary, St. Tammany, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Vernon, Washington, Webster, West Baton Rouge, West Carroll, West Feliciana, Winn)"
"Acer floridanum","southern sugar maple","LA(Bienville, Bossier, Caddo, Caldwell, Claiborne, De Soto, East Baton Rouge, East Feliciana, Lincoln, Morehouse, Natchitoches, Rapides, Red River, Sabine, St. Helena, Union, Vernon, Webster, West Feliciana, Winn)"
"Acer leucoderme","chalk maple","LA(De Soto, Natchitoches, Rapides, Sabine, Vernon, West Feliciana, Winn)"
"Acer negundo","boxelder","LA(Allen, Ascension, Assumption, Avoyelles, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Grant, Iberia, Iberville, Jackson, Jefferson, LaSalle, Lafayette, Lafourche, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, Red River, Richland, Sabine, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Martin, St. Mary, Tangipahoa, Tensas, Terrebonne, Union, Vernon, Webster, West Baton Rouge, West Carroll, West Feliciana, Winn)"
"Acer rubrum","red maple","LA(Acadia, Allen, Ascension, Assumption, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Cameron, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Grant, Iberia, Iberville, Jackson, Jefferson, Jefferson Davis, LaSalle, Lafayette, Lafourche, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, Red River, Richland, Sabine, St. Bernard, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Martin, St. Mary, St. Tammany, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Vernon, Washington, Webster, West Baton Rouge, West Carroll, West Feliciana, Winn)"
"Acer rubrum var. drummondii","Drummond's maple","LA(Acadia, Allen, Ascension, Assumption, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Cameron, Catahoula, Claiborne, Concordia, De Soto, East Baton Rouge, East Carroll, East Feliciana, Evangeline, Franklin, Iberia, Iberville, Jackson, Jefferson, Jefferson Davis, LaSalle, Lafayette, Lafourche, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Orleans, Ouachita, Plaquemines, Pointe Coupee, Rapides, Richland, Sabine, St. Bernard, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Martin, St. Mary, St. Tammany, Tangipahoa, Tensas, Terrebonne, Union, Vermilion, Vernon, Washington, Webster, West Baton Rouge, West Carroll, Winn)"
"Acer rubrum var. rubrum","red maple","LA(Assumption, Avoyelles, Beauregard, Bienville, Bossier, Caddo, Calcasieu, Caldwell, Catahoula, Claiborne, De Soto, East Baton Rouge, East Feliciana, Evangeline, Franklin, Grant, Iberville, Jackson, Jefferson Davis, LaSalle, Lafourche, Lincoln, Livingston, Madison, Morehouse, Natchitoches, Ouachita, Plaquemines, Rapides, Red River, Richland, Sabine, St. Bernard, St. Charles, St. Helena, St. James, St. John the Baptist, St. Landry, St. Martin, St. Tammany, Tangipahoa, Tensas, Union, Vernon, Washington, Webster, West Carroll, West Feliciana, Winn)"
"Acer rubrum var. trilobum","red maple","LA(Allen, De Soto, Evangeline, Jackson, Lincoln, Orleans, Sabine, Union, Vernon, Washington)"
