"","",""
"Abies","fir","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Abies balsamea","balsam fir","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Abutilon","Indian mallow","ME(Cumberland, Penobscot, Waldo, York)"
"Abutilon theophrasti","velvetleaf","ME(Cumberland, Penobscot, Waldo, York)"
"Acalypha","copperleaf","ME(Androscoggin, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Waldo, York)"
"Acalypha rhomboidea","common threeseed mercury","ME(Androscoggin, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Waldo, York)"
"Acalypha virginica","Virginia threeseed mercury","ME(Androscoggin, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Waldo, York)"
"Acer","maple","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Acer ginnala","Amur maple","ME(Hancock, Oxford, Somerset)"
"Acer negundo","boxelder","ME(Androscoggin, Aroostook, Hancock, Kennebec, Knox, Penobscot, Somerset, Waldo, York)"
"Acer pensylvanicum","striped maple","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Acer platanoides","Norway maple","ME(Knox, Penobscot, Waldo)"
"Acer rubrum","red maple","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Acer saccharinum","silver maple","ME(Androscoggin, Aroostook, Cumberland, Franklin, Kennebec, Knox, Oxford, Penobscot, Sagadahoc, Somerset, Waldo, York)"
"Acer saccharum","sugar maple","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
"Acer saccharum var. saccharum","sugar maple","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
"Acer spicatum","mountain maple","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
"Achillea","yarrow","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Achillea millefolium","common yarrow","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Achillea ptarmica","sneezeweed","ME(Aroostook, Cumberland, Franklin, Hancock, Knox, Lincoln, Penobscot, Sagadahoc, Somerset, Waldo, Washington, York)"
"Acinos","acinos","ME(Cumberland, Oxford)"
"Acinos arvensis","basil thyme","ME(Cumberland, Oxford)"
"Aconitum","monkshood","ME(Oxford, Washington)"
"Aconitum napellus","Venus' chariot","ME(Oxford, Washington)"
"Acorus","sweetflag","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Acorus calamus","calamus","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Actaea","baneberry","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
"Actaea pachypoda","white baneberry","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
"Actaea racemosa","black baneberry","ME(York)"
"Actaea racemosa var. racemosa","black bugbane","ME(York)"
"Actaea rubra","red baneberry","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington)"
"Actaea rubra ssp. rubra","red baneberry","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington)"
"Adiantum","maidenhair fern","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Piscataquis, Somerset, Waldo, York)"
"Adiantum pedatum","northern maidenhair","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Piscataquis, Somerset, Waldo, York)"
"Adlumia","adlumia","ME(Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Waldo)"
"Adlumia fungosa","allegheny vine","ME(Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Waldo)"
"Aegopodium","goutweed","ME(Knox, Penobscot, Somerset, Waldo, York)"
"Aegopodium podagraria","bishop's goutweed","ME(Knox, Penobscot, Somerset, Waldo, York)"
"Aesculus","buckeye","ME(Waldo)"
"Aesculus hippocastanum","horse chestnut","ME(Waldo)"
"Aethusa","aethusa","ME(Cumberland)"
"Aethusa cynapium","fool's parsley","ME(Cumberland)"
"Agalinis","false foxglove","ME(Androscoggin, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Sagadahoc, Somerset, Waldo, Washington, York)"
"Agalinis maritima","saltmarsh false foxglove","ME(Cumberland, Lincoln, York)"
"Agalinis maritima var. maritima","saltmarsh false foxglove","ME(Cumberland, Lincoln, York)"
"Agalinis paupercula","smallflower false foxglove","ME(Cumberland, Hancock, Kennebec, Lincoln, Penobscot, Sagadahoc, Waldo, Washington, York)"
"Agalinis paupercula var. borealis","smallflower false foxglove","ME(Cumberland, Hancock, Kennebec, Lincoln, Penobscot, Sagadahoc, Waldo, Washington, York)"
"Agalinis tenuifolia","slenderleaf false foxglove","ME(Androscoggin, Cumberland, Franklin, Kennebec, Knox, Lincoln, Oxford, Sagadahoc, Somerset, York)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","ME(Androscoggin, Cumberland, Franklin, Kennebec, Knox, Lincoln, Oxford, Sagadahoc, Somerset, York)"
"Ageratina","snakeroot","ME(Aroostook, Franklin, Kennebec, Knox, Oxford, Penobscot, Piscataquis, Somerset, Waldo)"
"Ageratina altissima","white snakeroot","ME(Aroostook, Franklin, Kennebec, Knox, Oxford, Penobscot, Piscataquis, Somerset, Waldo)"
"Agrimonia","agrimony","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Agrimonia gryposepala","tall hairy agrimony","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, York)"
"Agrimonia striata","roadside agrimony","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
"Agrostemma","corncockle","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Oxford, Penobscot, Somerset, York)"
"Agrostemma githago","common corncockle","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Oxford, Penobscot, Somerset, York)"
"Agrostis","bentgrass","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Agrostis canina","velvet bentgrass","ME(Hancock, Lincoln, Penobscot)"
"Agrostis capillaris","colonial bentgrass","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Agrostis gigantea","redtop","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Agrostis hyemalis","winter bentgrass","ME(Aroostook, Franklin, Hancock, Kennebec, Oxford, Piscataquis, Somerset)"
"Agrostis mertensii","northern bentgrass","ME(Franklin, Penobscot, Piscataquis, Somerset)"
"Agrostis perennans","upland bentgrass","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Washington, York)"
"Agrostis scabra","rough bentgrass","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Agrostis stolonifera","creeping bentgrass","ME(Sagadahoc, York)"
"Ajuga","bugle","ME(Waldo, York)"
"Ajuga genevensis","blue bugle","ME(Waldo)"
"Ajuga reptans","common bugle","ME(Waldo, York)"
"Alchemilla","lady's mantle","ME(Cumberland)"
"Alchemilla monticola","hairy lady's mantle","ME(Cumberland)"
"Aletris","colicroot","ME(Cumberland, York)"
"Aletris farinosa","white colicroot","ME(Cumberland, York)"
"Alisma","water plantain","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Alisma subcordatum","American water plantain","ME(Androscoggin, Aroostook, Cumberland, Kennebec, Oxford, Penobscot, Somerset, Waldo, Washington, York)"
"Alisma triviale","northern water plantain","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Alliaria","alliaria","ME(Penobscot)"
"Alliaria petiolata","garlic mustard","ME(Penobscot)"
"Allium","onion","ME(Aroostook, Cumberland, Franklin, Kennebec, Knox, Lincoln, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
"Allium canadense","meadow garlic","ME(Cumberland, Kennebec, York)"
"Allium canadense var. canadense","meadow garlic","ME(Cumberland, Kennebec, York)"
"Allium schoenoprasum","wild chives","ME(Aroostook, Kennebec, Knox, Lincoln, Penobscot, Piscataquis, Somerset, Washington)"
"Allium tricoccum","ramp","ME(Aroostook, Cumberland, Franklin, Waldo, York)"
"Allium vineale","wild garlic","ME(York)"
"Allium vineale ssp. vineale","wild garlic","ME(York)"
"Alnus","alder","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Alnus incana","gray alder","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Alnus incana ssp. rugosa","speckled alder","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York)"
"Alnus serrulata","hazel alder","ME(Androscoggin, Cumberland, Hancock, Kennebec, Knox, Lincoln, Oxford, Waldo, York)"
"Alnus viridis","green alder","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington)"
"Alnus viridis ssp. crispa","mountain alder","ME(Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington)"
"Alopecurus","foxtail","ME(Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Somerset, Waldo, Washington, York)"
