"","",""
"Abies","fir","MA(Barnstable, Berkshire, Bristol, Franklin, Hampden, Hampshire, Middlesex, Plymouth, Worcester)"
"Abies balsamea","balsam fir","MA(Barnstable, Berkshire, Bristol, Franklin, Hampshire, Middlesex, Plymouth, Worcester)"
"Abies balsamea var. balsamea","balsam fir","MA(Barnstable, Berkshire, Franklin, Hampshire, Middlesex, Worcester)"
"Abies concolor","white fir","MA(Hampden)"
"Abutilon","Indian mallow","MA(Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Abutilon theophrasti","velvetleaf","MA(Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acalypha","copperleaf","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Acalypha gracilens","slender threeseed mercury","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Suffolk, Worcester)"
"Acalypha rhomboidea","common threeseed mercury","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Acalypha virginica","Virginia threeseed mercury","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Acanthospermum","starbur","MA(Essex, Suffolk, Worcester)"
"Acanthospermum australe","Paraguayan starbur","MA(Essex, Suffolk, Worcester)"
"Acer","maple","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer campestre","hedge maple","MA(Barnstable, Middlesex)"
"Acer ginnala","Amur maple","MA(Berkshire, Essex, Hampden, Middlesex, Plymouth, Worcester)"
"Acer negundo","boxelder","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer negundo var. negundo","boxelder","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer nigrum","black maple","MA(Berkshire, Franklin, Hampden, Hampshire)"
"Acer pensylvanicum","striped maple","MA(Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer platanoides","Norway maple","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer pseudoplatanus","sycamore maple","MA(Barnstable, Bristol, Dukes, Essex, Hampden, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer rubrum","red maple","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer saccharinum","silver maple","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer saccharum","sugar maple","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer saccharum var. saccharum","sugar maple","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Acer spicatum","mountain maple","MA(Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Worcester)"
"Acer tataricum","tatarian maple","MA(Middlesex)"
"Achillea","yarrow","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Achillea millefolium","common yarrow","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Achillea millefolium var. millefolium","common yarrow","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Achillea millefolium var. occidentalis","western yarrow","MA(Barnstable, Bristol, Dukes, Essex, Franklin, Middlesex, Nantucket, Norfolk, Suffolk)"
"Achillea ptarmica","sneezeweed","MA(Barnstable, Berkshire, Bristol, Essex, Middlesex, Plymouth, Suffolk)"
