"","",""
"Abelmoschus","okra","MI(Berrien)"
"Abelmoschus esculentus","okra","MI(Berrien)"
"Abies","fir","MI(Alcona, Alger, Alpena, Arenac, Baraga, Benzie, Charlevoix, Cheboygan, Chippewa, Clare, Crawford, Delta, Dickinson, Emmet, Gladwin, Gogebic, Grand Traverse, Houghton, Huron, Ingham, Iosco, Iron, Isabella, Keweenaw, Leelanau, Luce, Mackinac, Marquette, Mason, Menominee, Montmorency, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Roscommon, Schoolcraft)"
"Abies balsamea","balsam fir","MI(Alcona, Alger, Alpena, Arenac, Baraga, Benzie, Charlevoix, Cheboygan, Chippewa, Clare, Crawford, Delta, Dickinson, Emmet, Gladwin, Gogebic, Grand Traverse, Houghton, Huron, Ingham, Iosco, Iron, Isabella, Keweenaw, Leelanau, Luce, Mackinac, Marquette, Mason, Menominee, Montmorency, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Roscommon, Schoolcraft)"
"Abies balsamea var. balsamea","balsam fir","MI(Alcona, Alger, Alpena, Arenac, Baraga, Benzie, Charlevoix, Cheboygan, Chippewa, Clare, Crawford, Delta, Dickinson, Emmet, Gladwin, Gogebic, Grand Traverse, Houghton, Huron, Ingham, Iosco, Iron, Isabella, Keweenaw, Leelanau, Luce, Mackinac, Marquette, Mason, Menominee, Montmorency, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Roscommon, Schoolcraft)"
"Abutilon","Indian mallow","MI(Allegan, Alpena, Bay, Berrien, Cass, Cheboygan, Clinton, Eaton, Hillsdale, Ingham, Jackson, Kalamazoo, Kent, Lenawee, Monroe, Oakland, Schoolcraft, St. Clair, Van Buren, Washtenaw, Wayne)"
"Abutilon theophrasti","velvetleaf","MI(Allegan, Alpena, Bay, Berrien, Cass, Cheboygan, Clinton, Eaton, Hillsdale, Ingham, Jackson, Kalamazoo, Kent, Lenawee, Monroe, Oakland, Schoolcraft, St. Clair, Van Buren, Washtenaw, Wayne)"
"Acalypha","copperleaf","MI(Baraga, Barry, Berrien, Branch, Cass, Clinton, Genesee, Gratiot, Ingham, Kalamazoo, Kent, Lapeer, Lenawee, Livingston, Macomb, Menominee, Monroe, Oakland, Ottawa, St. Clair, St. Joseph, Van Buren, Washtenaw, Wayne)"
"Acalypha rhomboidea","common threeseed mercury","MI(Baraga, Barry, Berrien, Branch, Cass, Clinton, Genesee, Gratiot, Ingham, Kalamazoo, Kent, Lapeer, Lenawee, Livingston, Macomb, Menominee, Monroe, Oakland, Ottawa, St. Clair, St. Joseph, Van Buren, Washtenaw, Wayne)"
"Acalypha virginica","Virginia threeseed mercury","MI(Macomb, Washtenaw)"
"Acer","maple","MI(Alcona, Alger, Allegan, Alpena, Antrim, Arenac, Baraga, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Chippewa, Clare, Clinton, Crawford, Delta, Dickinson, Eaton, Emmet, Genesee, Gladwin, Gogebic, Grand Traverse, Gratiot, Hillsdale, Houghton, Huron, Ingham, Ionia, Iosco, Iron, Isabella, Jackson, Kalamazoo, Kalkaska, Kent, Keweenaw, Lapeer, Leelanau, Lenawee, Livingston, Luce, Mackinac, Macomb, Manistee, Marquette, Mason, Mecosta, Menominee, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, Sanilac, Schoolcraft, Shiawassee, St. Clair, St. Joseph, Tuscola, Van Buren, Washtenaw, Wayne, Wexford)"
"Acer negundo","boxelder","MI(Alcona, Alpena, Antrim, Arenac, Baraga, Benzie, Berrien, Calhoun, Cheboygan, Clinton, Dickinson, Eaton, Emmet, Genesee, Grand Traverse, Gratiot, Hillsdale, Houghton, Huron, Ingham, Ionia, Isabella, Jackson, Kalamazoo, Kent, Keweenaw, Lapeer, Leelanau, Lenawee, Livingston, Mackinac, Marquette, Mecosta, Menominee, Monroe, Montcalm, Oakland, Ogemaw, Ottawa, Roscommon, Saginaw, Schoolcraft, Shiawassee, St. Clair, St. Joseph, Tuscola, Washtenaw, Wayne)"
"Acer pensylvanicum","striped maple","MI(Alcona, Alger, Alpena, Antrim, Baraga, Benzie, Charlevoix, Cheboygan, Chippewa, Delta, Emmet, Keweenaw, Leelanau, Luce, Mackinac, Marquette, Montmorency, Muskegon, Presque Isle)"
"Acer platanoides","Norway maple","MI(Baraga, Benzie, Berrien, Houghton, Ingham, Jackson, Kalamazoo, Marquette, Shiawassee, St. Joseph, Washtenaw, Wayne)"
"Acer pseudoplatanus","sycamore maple","MI(Marquette)"
"Acer rubrum","red maple","MI(Alcona, Alger, Alpena, Antrim, Arenac, Baraga, Barry, Benzie, Berrien, Calhoun, Cass, Charlevoix, Cheboygan, Chippewa, Clare, Clinton, Crawford, Delta, Dickinson, Eaton, Emmet, Genesee, Gladwin, Gogebic, Grand Traverse, Gratiot, Hillsdale, Houghton, Huron, Ingham, Iosco, Iron, Isabella, Jackson, Kalamazoo, Kent, Keweenaw, Lapeer, Leelanau, Lenawee, Livingston, Luce, Mackinac, Manistee, Marquette, Mason, Mecosta, Menominee, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, Schoolcraft, Shiawassee, St. Clair, St. Joseph, Tuscola, Van Buren, Washtenaw, Wayne)"
"Acer rubrum var. rubrum","red maple","MI(Alcona, Alger, Alpena, Antrim, Arenac, Baraga, Barry, Benzie, Berrien, Calhoun, Cass, Charlevoix, Cheboygan, Chippewa, Clare, Clinton, Crawford, Delta, Dickinson, Eaton, Emmet, Genesee, Gladwin, Gogebic, Grand Traverse, Gratiot, Hillsdale, Houghton, Huron, Ingham, Iosco, Iron, Isabella, Jackson, Kalamazoo, Kent, Keweenaw, Lapeer, Leelanau, Lenawee, Livingston, Luce, Mackinac, Manistee, Marquette, Mason, Mecosta, Menominee, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Ontonagon, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, Schoolcraft, Shiawassee, St. Clair, St. Joseph, Tuscola, Van Buren, Washtenaw, Wayne)"
"Acer saccharinum","silver maple","MI(Allegan, Alpena, Arenac, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Cheboygan, Clare, Clinton, Delta, Eaton, Genesee, Gladwin, Gratiot, Hillsdale, Houghton, Huron, Ingham, Iron, Jackson, Kalamazoo, Kent, Lapeer, Leelanau, Lenawee, Livingston, Mason, Missaukee, Monroe, Montcalm, Muskegon, Newaygo, Oakland, Oceana, Ottawa, Saginaw, Sanilac, Schoolcraft, Shiawassee, St. Joseph, Tuscola, Washtenaw, Wayne)"
"Acer saccharum","sugar maple","MI(Alcona, Alger, Allegan, Alpena, Antrim, Baraga, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Chippewa, Clare, Clinton, Crawford, Delta, Eaton, Emmet, Genesee, Gladwin, Gogebic, Grand Traverse, Gratiot, Hillsdale, Houghton, Huron, Ingham, Ionia, Iosco, Iron, Isabella, Jackson, Kalamazoo, Kent, Keweenaw, Lapeer, Leelanau, Lenawee, Livingston, Luce, Mackinac, Macomb, Manistee, Marquette, Mason, Mecosta, Midland, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Ontonagon, Oscoda, Otsego, Ottawa, Presque Isle, Saginaw, Sanilac, Schoolcraft, Shiawassee, St. Clair, St. Joseph, Tuscola, Van Buren, Washtenaw, Wayne, Wexford)"
