"","",""
"Abies","fir","MN(Aitkin, Anoka, Becker, Beltrami, Carlton, Cass, Clearwater, Cook, Crow Wing, Douglas, Fillmore, Hubbard, Isanti, Itasca, Kanabec, Koochiching, Lake, Lake of the Woods, Mahnomen, Otter Tail, Pine, Roseau, St. Louis, Washington, Winona)"
"Abies balsamea","balsam fir","MN(Aitkin, Anoka, Becker, Beltrami, Carlton, Cass, Clearwater, Cook, Crow Wing, Douglas, Fillmore, Hubbard, Isanti, Itasca, Kanabec, Koochiching, Lake, Lake of the Woods, Mahnomen, Otter Tail, Pine, Roseau, St. Louis, Washington, Winona)"
"Abies balsamea var. balsamea","balsam fir","MN(Aitkin, Anoka, Becker, Beltrami, Carlton, Cass, Clearwater, Cook, Crow Wing, Douglas, Fillmore, Hubbard, Isanti, Itasca, Kanabec, Koochiching, Lake, Lake of the Woods, Mahnomen, Otter Tail, Pine, Roseau, St. Louis, Washington, Winona)"
"Abutilon","Indian mallow","MN(Blue Earth, Carver, Dakota, Dodge, Fillmore, Freeborn, Goodhue, Hennepin, Houston, Le Sueur, Martin, Mower, Norman, Olmsted, Ramsey, Stearns, Wabasha, Waseca, Washington, Winona, Wright)"
"Abutilon theophrasti","velvetleaf","MN(Blue Earth, Carver, Dakota, Dodge, Fillmore, Freeborn, Goodhue, Hennepin, Houston, Le Sueur, Martin, Mower, Norman, Olmsted, Ramsey, Stearns, Wabasha, Waseca, Washington, Winona, Wright)"
"Acalypha","copperleaf","MN(Anoka, Blue Earth, Dakota, Dodge, Faribault, Fillmore, Goodhue, Hennepin, Houston, Jackson, Kandiyohi, Le Sueur, Mower, Ramsey, Redwood, Rice, Scott, Sherburne, Steele, Wabasha, Waseca, Washington, Winona, Wright, Yellow Medicine)"
"Acalypha rhomboidea","common threeseed mercury","MN(Anoka, Blue Earth, Dakota, Dodge, Faribault, Fillmore, Goodhue, Hennepin, Houston, Jackson, Kandiyohi, Le Sueur, Mower, Ramsey, Redwood, Rice, Scott, Sherburne, Steele, Wabasha, Waseca, Washington, Winona, Wright, Yellow Medicine)"
"Acer","maple","MN(Aitkin, Anoka, Becker, Beltrami, Benton, Big Stone, Blue Earth, Brown, Carlton, Carver, Cass, Chippewa, Chisago, Clay, Clearwater, Cook, Crow Wing, Dakota, Dodge, Douglas, Fillmore, Freeborn, Goodhue, Hennepin, Houston, Hubbard, Isanti, Itasca, Jackson, Kanabec, Kandiyohi, Kittson, Koochiching, Lac qui Parle, Lake, Lake of the Woods, Le Sueur, Lincoln, Lyon, Mahnomen, Marshall, Martin, McLeod, Meeker, Mille Lacs, Morrison, Mower, Murray, Nicollet, Nobles, Norman, Olmsted, Otter Tail, Pennington, Pine, Pipestone, Polk, Pope, Ramsey, Red Lake, Rice, Roseau, Scott, Sherburne, Sibley, St. Louis, Stearns, Steele, Stevens, Swift, Todd, Traverse, Wabasha, Waseca, Washington, Watonwan, Wilkin, Winona, Wright)"
"Acer ginnala","Amur maple","MN(Chisago, Dakota, Washington)"
"Acer negundo","boxelder","MN(Aitkin, Anoka, Becker, Beltrami, Benton, Big Stone, Blue Earth, Brown, Carlton, Cass, Chippewa, Chisago, Clay, Clearwater, Crow Wing, Dakota, Dodge, Douglas, Fillmore, Freeborn, Goodhue, Hennepin, Houston, Isanti, Itasca, Jackson, Kanabec, Kandiyohi, Kittson, Koochiching, Lac qui Parle, Lake of the Woods, Le Sueur, Lincoln, Lyon, Marshall, Martin, McLeod, Meeker, Morrison, Mower, Murray, Nobles, Norman, Olmsted, Otter Tail, Pennington, Pine, Pipestone, Polk, Pope, Ramsey, Red Lake, Rice, Roseau, Scott, Sherburne, St. Louis, Stearns, Steele, Stevens, Swift, Todd, Traverse, Wabasha, Waseca, Washington, Watonwan, Wilkin, Winona, Wright)"
"Acer nigrum","black maple","MN(Blue Earth, Brown, Fillmore, Freeborn, Goodhue, Houston, Lyon, Olmsted, St. Louis, Stearns, Wabasha, Washington, Winona)"
"Acer rubrum","red maple","MN(Aitkin, Anoka, Becker, Beltrami, Benton, Carlton, Cass, Chisago, Clearwater, Cook, Crow Wing, Dakota, Goodhue, Hennepin, Houston, Hubbard, Isanti, Itasca, Kanabec, Koochiching, Lake, Mille Lacs, Morrison, Otter Tail, Pine, Ramsey, Rice, Roseau, St. Louis, Stearns, Todd, Washington, Wright)"
"Acer rubrum var. rubrum","red maple","MN(Aitkin, Anoka, Becker, Beltrami, Benton, Carlton, Cass, Chisago, Clearwater, Cook, Crow Wing, Dakota, Goodhue, Hennepin, Houston, Hubbard, Isanti, Itasca, Kanabec, Koochiching, Lake, Mille Lacs, Morrison, Otter Tail, Pine, Ramsey, Rice, Roseau, St. Louis, Stearns, Todd, Washington, Wright)"
"Acer saccharinum","silver maple","MN(Anoka, Beltrami, Benton, Blue Earth, Brown, Cass, Chisago, Dodge, Douglas, Fillmore, Freeborn, Goodhue, Hennepin, Houston, Isanti, Itasca, Jackson, Kanabec, Kandiyohi, Kittson, Lac qui Parle, Lake, Lake of the Woods, Le Sueur, Lincoln, Lyon, Martin, McLeod, Meeker, Mille Lacs, Morrison, Mower, Olmsted, Pine, Pipestone, Ramsey, Roseau, Sherburne, Sibley, St. Louis, Steele, Wabasha, Washington, Watonwan, Winona, Wright)"
"Acer saccharum","sugar maple","MN(Aitkin, Anoka, Becker, Beltrami, Benton, Blue Earth, Brown, Carlton, Carver, Cass, Chisago, Clay, Clearwater, Cook, Crow Wing, Dakota, Douglas, Fillmore, Goodhue, Hennepin, Houston, Isanti, Itasca, Kanabec, Koochiching, Lake, Lyon, Mille Lacs, Morrison, Mower, Nicollet, Olmsted, Otter Tail, Pine, Polk, Pope, Ramsey, Rice, Scott, Sherburne, St. Louis, Stearns, Steele, Wabasha, Waseca, Washington, Winona, Wright)"
"Acer saccharum var. saccharum","sugar maple","MN(Aitkin, Anoka, Becker, Beltrami, Benton, Blue Earth, Brown, Carlton, Carver, Cass, Chisago, Clay, Clearwater, Cook, Crow Wing, Dakota, Douglas, Fillmore, Goodhue, Hennepin, Houston, Isanti, Itasca, Kanabec, Koochiching, Lake, Lyon, Mille Lacs, Morrison, Mower, Nicollet, Olmsted, Otter Tail, Pine, Polk, Pope, Ramsey, Rice, Scott, Sherburne, St. Louis, Stearns, Steele, Wabasha, Waseca, Washington, Winona, Wright)"
"Acer spicatum","mountain maple","MN(Aitkin, Becker, Beltrami, Carlton, Cass, Chisago, Clearwater, Cook, Crow Wing, Fillmore, Houston, Hubbard, Itasca, Kanabec, Koochiching, Lake, Lake of the Woods, Mahnomen, Mille Lacs, Morrison, Pine, Roseau, St. Louis, Wabasha, Winona)"
"Achillea","yarrow","MN(Aitkin, Anoka, Becker, Beltrami, Benton, Big Stone, Blue Earth, Carlton, Carver, Cass, Chippewa, Chisago, Clay, Clearwater, Cook, Cottonwood, Crow Wing, Dakota, Dodge, Douglas, Faribault, Fillmore, Freeborn, Goodhue, Hennepin, Houston, Hubbard, Isanti, Itasca, Jackson, Kanabec, Kandiyohi, Kittson, Koochiching, Lac qui Parle, Lake, Lake of the Woods, Le Sueur, Lincoln, Lyon, Mahnomen, Marshall, Martin, McLeod, Meeker, Mille Lacs, Morrison, Mower, Murray, Nicollet, Nobles, Norman, Olmsted, Otter Tail, Pennington, Pine, Pipestone, Polk, Pope, Ramsey, Red Lake, Renville, Rice, Rock, Roseau, Scott, Sherburne, Sibley, St. Louis, Stearns, Steele, Todd, Traverse, Wabasha, Wadena, Washington, Wilkin, Winona, Wright, Yellow Medicine)"
