"","",""
"Abelmoschus","okra","MS(Holmes, Washington)"
"Abelmoschus esculentus","okra","MS(Holmes, Washington)"
"Abutilon","Indian mallow","MS(DeSoto, Grenada, Lafayette, Washington)"
"Abutilon theophrasti","velvetleaf","MS(DeSoto, Grenada, Lafayette, Washington)"
"Acacia","acacia","MS(Harrison)"
"Acalypha","copperleaf","MS(Alcorn, Attala, Benton, Bolivar, Calhoun, Carroll, Clarke, Clay, Coahoma, Copiah, Covington, DeSoto, Forrest, Franklin, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Humphreys, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lauderdale, Lawrence, Leake, Lee, Leflore, Lowndes, Madison, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Smith, Stone, Sunflower, Tallahatchie, Tippah, Tishomingo, Union, Warren, Washington, Wayne, Wilkinson, Yalobusha, Yazoo)"
"Acalypha gracilens","slender threeseed mercury","MS(Attala, Clarke, Clay, Covington, DeSoto, Forrest, Franklin, Hancock, Harrison, Jackson, Jasper, Jefferson Davis, Jones, Lafayette, Lauderdale, Lowndes, Madison, Marshall, Montgomery, Newton, Pearl River, Pike, Prentiss, Rankin, Scott, Sharkey, Smith, Stone, Tishomingo, Washington, Yazoo)"
"Acalypha ostryifolia","pineland threeseed mercury","MS(Bolivar, Coahoma, DeSoto, Forrest, Panola, Scott, Washington)"
"Acalypha rhomboidea","common threeseed mercury","MS(Alcorn, Attala, Bolivar, Carroll, Coahoma, Copiah, DeSoto, Forrest, Greene, Grenada, Hinds, Holmes, Humphreys, Itawamba, Jefferson, Lafayette, Lauderdale, Lawrence, Leake, Lee, Leflore, Madison, Marshall, Monroe, Montgomery, Noxubee, Perry, Quitman, Sharkey, Smith, Sunflower, Tallahatchie, Tishomingo, Union, Washington, Wayne, Wilkinson, Yazoo)"
"Acalypha setosa","Cuban copperleaf","MS(Wilkinson)"
"Acalypha virginica","Virginia threeseed mercury","MS(Benton, Calhoun, DeSoto, Hinds, Kemper, Lafayette, Lee, Madison, Marshall, Monroe, Neshoba, Noxubee, Panola, Perry, Pontotoc, Prentiss, Rankin, Scott, Smith, Tippah, Tishomingo, Union, Warren, Yalobusha)"
"Acanthospermum","starbur","MS(Forrest, Harrison, Stone)"
"Acanthospermum australe","Paraguayan starbur","MS(Forrest, Harrison, Stone)"
"Acer","maple","MS(Adams, Alcorn, Amite, Attala, Benton, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Coahoma, Copiah, Covington, DeSoto, Forrest, Franklin, George, Greene, Grenada, Hancock, Harrison, Hinds, Holmes, Issaquena, Itawamba, Jackson, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lafayette, Lamar, Lauderdale, Lawrence, Leake, Lee, Leflore, Lincoln, Lowndes, Madison, Marion, Marshall, Monroe, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Panola, Pearl River, Perry, Pike, Pontotoc, Prentiss, Quitman, Rankin, Scott, Sharkey, Simpson, Smith, Stone, Sunflower, Tallahatchie, Tate, Tippah, Tishomingo, Tunica, Union, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha, Yazoo)"
"Acer floridanum","southern sugar maple","MS(Claiborne, Franklin, Hinds, Holmes, Kemper, Lafayette, Lauderdale, Monroe, Noxubee, Panola, Pontotoc, Scott, Smith, Tishomingo, Union, Walthall, Warren, Wayne, Wilkinson, Winston)"
"Acer leucoderme","chalk maple","MS(Clarke, Jackson, Wayne)"
