"","",""
"Abutilon","Indian mallow","MO(Adair, Andrew, Atchison, Audrain, Barton, Bates, Benton, Bollinger, Boone, Buchanan, Butler, Caldwell, Callaway, Camden, Cape Girardeau, Carroll, Carter, Cass, Cedar, Chariton, Christian, Clark, Clay, Clinton, Cole, Cooper, Crawford, Dade, Dallas, Daviess, DeKalb, Dent, Dunklin, Franklin, Gasconade, Gentry, Greene, Grundy, Harrison, Henry, Hickory, Holt, Howard, Howell, Jackson, Jasper, Jefferson, Johnson, Knox, Laclede, Lafayette, Lawrence, Lewis, Lincoln, Linn, Livingston, Macon, Madison, Maries, Marion, Mercer, Miller, Moniteau, Monroe, Montgomery, Morgan, Newton, Nodaway, Osage, Pemiscot, Pettis, Phelps, Pike, Platte, Polk, Pulaski, Putnam, Ralls, Randolph, Ray, Reynolds, Saline, Schuyler, Scotland, Scott, Shelby, St. Charles, St. Clair, St. Francois, St. Louis, Ste. Genevieve, Sullivan, Taney, Vernon, Warren, Washington, Worth)"
"Abutilon theophrasti","velvetleaf","MO(Adair, Andrew, Atchison, Audrain, Barton, Bates, Benton, Bollinger, Boone, Buchanan, Butler, Caldwell, Callaway, Camden, Cape Girardeau, Carroll, Carter, Cass, Cedar, Chariton, Christian, Clark, Clay, Clinton, Cole, Cooper, Crawford, Dade, Dallas, Daviess, DeKalb, Dent, Dunklin, Franklin, Gasconade, Gentry, Greene, Grundy, Harrison, Henry, Hickory, Holt, Howard, Howell, Jackson, Jasper, Jefferson, Johnson, Knox, Laclede, Lafayette, Lawrence, Lewis, Lincoln, Linn, Livingston, Macon, Madison, Maries, Marion, Mercer, Miller, Moniteau, Monroe, Montgomery, Morgan, Newton, Nodaway, Osage, Pemiscot, Pettis, Phelps, Pike, Platte, Polk, Pulaski, Putnam, Ralls, Randolph, Ray, Reynolds, Saline, Schuyler, Scotland, Scott, Shelby, St. Charles, St. Clair, St. Francois, St. Louis, Ste. Genevieve, Sullivan, Taney, Vernon, Warren, Washington, Worth)"
"Acaciella","","MO(Barry, Jasper, McDonald, Newton, Oregon, Ozark, Stone, Taney)"
"Acaciella angustissima","prairie acacia","MO(Barry, Jasper, McDonald, Newton, Oregon, Ozark, Stone, Taney)"
"Acaciella angustissima var. hirta","prairie acacia","MO(Barry, Jasper, McDonald, Newton, Oregon, Ozark, Stone, Taney)"
"Acalypha","copperleaf","MO(Adair, Andrew, Atchison, Barry, Barton, Bates, Benton, Bollinger, Boone, Buchanan, Butler, Caldwell, Callaway, Camden, Cape Girardeau, Carroll, Carter, Cass, Cedar, Chariton, Christian, Clark, Clay, Clinton, Cole, Cooper, Crawford, Dade, Dallas, Daviess, DeKalb, Dent, Douglas, Dunklin, Franklin, Gasconade, Greene, Grundy, Harrison, Henry, Hickory, Holt, Howard, Howell, Iron, Jackson, Jasper, Jefferson, Johnson, Knox, Laclede, Lafayette, Lewis, Lincoln, Linn, Livingston, Macon, Madison, Maries, Marion, McDonald, Mercer, Miller, Mississippi, Moniteau, Monroe, Montgomery, Morgan, New Madrid, Newton, Nodaway, Oregon, Osage, Ozark, Pemiscot, Perry, Pettis, Phelps, Pike, Platte, Polk, Pulaski, Putnam, Ralls, Randolph, Ray, Reynolds, Ripley, Saline, Scotland, Scott, Shannon, Shelby, St. Charles, St. Clair, St. Francois, St. Louis, Ste. Genevieve, Stoddard, Stone, Taney, Texas, Vernon, Warren, Washington, Wayne, Webster, Worth, Wright)"
"Acalypha gracilens","slender threeseed mercury","MO(Adair, Butler, Callaway, Carter, Clay, Holt, Linn, Livingston, Macon, Marion, Monroe, Nodaway, Randolph, Ray, Stoddard, Washington)"
"Acalypha monococca","slender threeseed mercury","MO(Barry, Bates, Benton, Bollinger, Boone, Callaway, Camden, Cape Girardeau, Carroll, Cass, Cedar, Chariton, Christian, Cole, Cooper, Crawford, Dade, Dallas, Dent, Douglas, Dunklin, Franklin, Gasconade, Greene, Henry, Hickory, Holt, Howard, Iron, Jackson, Jasper, Jefferson, Johnson, Laclede, Lafayette, Lewis, Lincoln, Linn, Livingston, Macon, Madison, Maries, Marion, McDonald, Miller, Mississippi, Moniteau, Monroe, Montgomery, Morgan, Newton, Nodaway, Oregon, Osage, Ozark, Perry, Pettis, Phelps, Pike, Polk, Pulaski, Putnam, Ralls, Ray, Reynolds, Ripley, Saline, Scotland, Shannon, St. Charles, St. Clair, St. Francois, St. Louis, Ste. Genevieve, Stoddard, Stone, Taney, Texas, Vernon, Warren, Washington, Wayne, Webster, Wright)"
"Acalypha ostryifolia","pineland threeseed mercury","MO(Barry, Barton, Boone, Callaway, Cape Girardeau, Carter, Cass, Chariton, Christian, Cole, Dade, Franklin, Gasconade, Hickory, Holt, Howard, Howell, Jackson, Jasper, Jefferson, Lafayette, Marion, McDonald, Miller, Mississippi, Ozark, Pemiscot, Perry, Reynolds, Scott, St. Charles, St. Louis, Ste. Genevieve, Stone, Taney, Wright)"
"Acalypha rhomboidea","common threeseed mercury","MO(Adair, Andrew, Atchison, Barry, Bates, Benton, Bollinger, Boone, Caldwell, Callaway, Camden, Cape Girardeau, Cass, Cedar, Christian, Clark, Clay, Clinton, Cole, Cooper, Crawford, Dallas, DeKalb, Douglas, Dunklin, Franklin, Gasconade, Greene, Grundy, Harrison, Henry, Holt, Howell, Jackson, Jasper, Jefferson, Johnson, Knox, Laclede, Lafayette, Lewis, Lincoln, Linn, Livingston, Macon, Madison, Marion, Mercer, Miller, Mississippi, Moniteau, Morgan, New Madrid, Newton, Nodaway, Ozark, Pemiscot, Pettis, Phelps, Pike, Platte, Polk, Pulaski, Putnam, Ralls, Ray, Reynolds, Saline, Scotland, Scott, Shannon, Shelby, St. Charles, St. Louis, Ste. Genevieve, Stoddard, Stone, Taney, Texas, Vernon, Washington, Webster, Worth)"
