"","",""
"Abies","fir","MT(Flathead, Gallatin, Lincoln, Madison, Missoula, Sanders, Stillwater)"
"Abies grandis","grand fir","MT(Flathead, Missoula, Sanders)"
"Abies lasiocarpa","subalpine fir","MT(Flathead, Gallatin, Lincoln, Madison, Stillwater)"
"Abies lasiocarpa var. lasiocarpa","subalpine fir","MT(Flathead, Gallatin, Lincoln, Madison, Stillwater)"
"Abronia","sand verbena","MT(Beaverhead, Carbon, Prairie, Sheridan)"
"Abronia fragrans","snowball sand verbena","MT(Beaverhead, Carbon, Prairie, Sheridan)"
"Abutilon","Indian mallow","MT(Beaverhead, Big Horn, Broadwater, Carbon, Custer, Dawson, Fallon, Fergus, Judith Basin, Liberty, McCone, Mineral, Missoula, Musselshell, Phillips, Pondera, Prairie, Roosevelt, Sanders, Stillwater, Teton, Toole, Wibaux, Yellowstone)"
"Abutilon theophrasti","velvetleaf","MT(Beaverhead, Big Horn, Broadwater, Carbon, Custer, Dawson, Fallon, Fergus, Judith Basin, Liberty, McCone, Mineral, Missoula, Musselshell, Phillips, Pondera, Prairie, Roosevelt, Sanders, Stillwater, Teton, Toole, Wibaux, Yellowstone)"
"Acer","maple","MT(Beaverhead, Big Horn, Blaine, Broadwater, Carbon, Carter, Cascade, Chouteau, Custer, Dawson, Deer Lodge, Fallon, Fergus, Flathead, Gallatin, Glacier, Granite, Hill, Judith Basin, Lake, Lewis and Clark, Lincoln, Madison, Meagher, Missoula, Musselshell, Park, Petroleum, Phillips, Powder River, Prairie, Ravalli, Richland, Roosevelt, Rosebud, Sanders, Stillwater, Treasure, Valley, Wibaux, Yellowstone)"
"Acer glabrum","Rocky Mountain maple","MT(Beaverhead, Big Horn, Broadwater, Carbon, Cascade, Deer Lodge, Fergus, Flathead, Gallatin, Glacier, Granite, Judith Basin, Lake, Lewis and Clark, Lincoln, Madison, Meagher, Missoula, Park, Petroleum, Ravalli, Sanders, Stillwater, Yellowstone)"
"Acer grandidentatum","bigtooth maple","MT(Gallatin)"
"Acer negundo","boxelder","MT(Big Horn, Blaine, Carter, Cascade, Chouteau, Custer, Dawson, Fallon, Fergus, Gallatin, Hill, Lewis and Clark, Musselshell, Phillips, Powder River, Prairie, Richland, Roosevelt, Rosebud, Sanders, Treasure, Valley, Wibaux, Yellowstone)"
"Acer negundo var. interius","boxelder","MT(Phillips, Valley)"
"Acer negundo var. violaceum","boxelder","MT(Phillips)"
"Acer platanoides","Norway maple","MT(Flathead, Gallatin, Lake, Lewis and Clark, Madison, Missoula, Yellowstone)"
"Achillea","yarrow","MT(Beaverhead, Big Horn, Blaine, Broadwater, Carbon, Carter, Cascade, Chouteau, Custer, Daniels, Dawson, Deer Lodge, Fallon, Fergus, Flathead, Gallatin, Garfield, Glacier, Golden Valley, Granite, Hill, Jefferson, Judith Basin, Lake, Lewis and Clark, Liberty, Lincoln, Madison, McCone, Meagher, Mineral, Missoula, Musselshell, Park, Petroleum, Phillips, Pondera, Powder River, Powell, Ravalli, Richland, Roosevelt, Rosebud, Sanders, Sheridan, Silver Bow, Stillwater, Sweet Grass, Teton, Toole, Treasure, Valley, Wheatland, Wibaux, Yellowstone)"
"Achillea millefolium","common yarrow","MT(Beaverhead, Big Horn, Blaine, Broadwater, Carbon, Carter, Cascade, Chouteau, Custer, Daniels, Dawson, Deer Lodge, Fallon, Fergus, Flathead, Gallatin, Garfield, Glacier, Golden Valley, Granite, Hill, Jefferson, Judith Basin, Lake, Lewis and Clark, Liberty, Lincoln, Madison, McCone, Meagher, Mineral, Missoula, Musselshell, Park, Petroleum, Phillips, Pondera, Powder River, Powell, Ravalli, Richland, Roosevelt, Rosebud, Sanders, Sheridan, Silver Bow, Stillwater, Sweet Grass, Teton, Toole, Treasure, Valley, Wheatland, Wibaux, Yellowstone)"
"Achillea millefolium var. occidentalis","western yarrow","MT(Big Horn, Blaine, Carter, Custer, Daniels, Dawson, Fallon, Fergus, Garfield, McCone, Petroleum, Phillips, Powder River, Richland, Roosevelt, Sheridan, Treasure, Valley, Wibaux)"
"Achillea nobilis","noble yarrow","MT(Flathead, Lake, Phillips)"
"Achillea ptarmica","sneezeweed","MT(Flathead, Powell, Ravalli, Teton)"
"Achillea sibirica","Siberian yarrow","MT(Gallatin)"
