"","","",""
"Abies","fir","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Abies balsamea","balsam fir","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Abutilon","Indian mallow","NH(Grafton, Hillsborough, Strafford)",""
"Abutilon theophrasti","velvetleaf","NH(Grafton, Hillsborough, Strafford)",""
"Acalypha","copperleaf","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford)",""
"Acalypha gracilens","slender threeseed mercury","NH(Cheshire, Hillsborough, Rockingham, Strafford)",""
"Acalypha rhomboidea","common threeseed mercury","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford)",""
"Acalypha virginica","Virginia threeseed mercury","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford)",""
"Acer","maple","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Acer ginnala","Amur maple","NH(Hillsborough, Strafford, Sullivan)",""
"Acer negundo","boxelder","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Strafford, Sullivan)",""
"Acer negundo var. negundo","boxelder","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Strafford, Sullivan)",""
"Acer pensylvanicum","striped maple","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Acer platanoides","Norway maple","NH(Belknap, Cheshire, Strafford)",""
"Acer rubrum","red maple","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Acer saccharinum","silver maple","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Acer saccharum","sugar maple","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Acer saccharum var. saccharum","sugar maple","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Acer spicatum","mountain maple","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Achillea","yarrow","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Achillea millefolium","common yarrow","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Achillea ptarmica","sneezeweed","NH(Coos, Rockingham)",""
"Aconitum","monkshood","NH(Coos)",""
"Aconitum napellus","Venus' chariot","NH(Coos)",""
"Aconitum uncinatum","southern blue monkshood","NH(Coos)",""
"Aconitum uncinatum ssp. uncinatum","southern blue monkshood","NH(Coos)",""
"Actaea","baneberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Actaea pachypoda","white baneberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Actaea rubra","red baneberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Actaea rubra ssp. rubra","red baneberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Adiantum","maidenhair fern","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Adiantum pedatum","northern maidenhair","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Adlumia","adlumia","NH(Belknap, Carroll, Coos, Grafton, Merrimack, Rockingham, Strafford)",""
"Adlumia fungosa","allegheny vine","NH(Belknap, Carroll, Coos, Grafton, Merrimack, Rockingham, Strafford)",""
"Aegopodium","goutweed","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Aegopodium podagraria","bishop's goutweed","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Aesculus","buckeye","NH(Strafford)",""
"Aesculus glabra","Ohio buckeye","NH(Strafford)",""
"Aesculus glabra var. glabra","Ohio buckeye","NH(Strafford)",""
"Agalinis","false foxglove","NH(Carroll, Cheshire, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Agalinis maritima","saltmarsh false foxglove","NH(Rockingham, Strafford)",""
"Agalinis maritima var. maritima","saltmarsh false foxglove","NH(Rockingham, Strafford)",""
"Agalinis paupercula","smallflower false foxglove","NH(Carroll, Cheshire, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Agalinis paupercula var. borealis","smallflower false foxglove","NH(Carroll, Cheshire, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Agalinis tenuifolia","slenderleaf false foxglove","NH(Cheshire, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","NH(Cheshire, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Ageratina","snakeroot","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Ageratina altissima","white snakeroot","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Ageratina altissima var. altissima","white snakeroot","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Agrimonia","agrimony","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Agrimonia gryposepala","tall hairy agrimony","NH(Carroll, Cheshire, Coos, Grafton, Merrimack, Rockingham, Strafford)",""
"Agrimonia striata","roadside agrimony","NH(Cheshire, Coos, Grafton, Hillsborough, Merrimack, Sullivan)",""
"Agropyron","wheatgrass","NH(Carroll)",""
"Agropyron cristatum","crested wheatgrass","NH(Carroll)",""
"Agropyron cristatum ssp. pectinatum","crested wheatgrass","NH(Carroll)",""
"Agrostemma","corncockle","NH(Cheshire, Coos, Grafton, Hillsborough, Strafford, Sullivan)",""
"Agrostemma githago","common corncockle","NH(Cheshire, Coos, Grafton, Hillsborough, Strafford, Sullivan)",""
"Agrostis","bentgrass","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Agrostis canina","velvet bentgrass","NH(Coos, Rockingham)",""
"Agrostis capillaris","colonial bentgrass","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Agrostis gigantea","redtop","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Agrostis hyemalis","winter bentgrass","NH(Cheshire, Coos, Hillsborough, Merrimack, Sullivan)",""
"Agrostis mertensii","northern bentgrass","NH(Carroll, Coos, Grafton)",""
"Agrostis perennans","upland bentgrass","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Agrostis scabra","rough bentgrass","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Alisma","water plantain","NH(Cheshire, Coos, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Alisma subcordatum","American water plantain","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Alisma triviale","northern water plantain","NH(Cheshire, Coos)",""
"Allium","onion","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Allium canadense","meadow garlic","NH(Hillsborough)",""
"Allium canadense var. canadense","meadow garlic","NH(Hillsborough)",""
"Allium cepa","garden onion","NH(Cheshire)",""
"Allium schoenoprasum","wild chives","NH(Carroll, Cheshire, Grafton, Rockingham, Strafford, Sullivan)",""
"Allium schoenoprasum var. sibiricum","wild chives","NH(Carroll, Cheshire, Grafton, Rockingham, Strafford, Sullivan)",""
"Allium tricoccum","ramp","NH(Carroll, Cheshire, Coos, Grafton, Rockingham, Sullivan)",""
"Alnus","alder","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Alnus incana","gray alder","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Alnus incana ssp. rugosa","speckled alder","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Alnus serrulata","hazel alder","NH(Belknap, Carroll, Cheshire, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Alnus viridis","green alder","NH(Carroll, Cheshire, Coos, Grafton, Merrimack, Rockingham, Strafford, Sullivan)",""
"Alnus viridis ssp. crispa","mountain alder","NH(Carroll, Cheshire, Coos, Grafton, Merrimack, Rockingham, Strafford, Sullivan)",""
"Alopecurus","foxtail","NH(Carroll, Cheshire, Coos, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Alopecurus aequalis","shortawn foxtail","NH(Coos, Hillsborough, Merrimack, Strafford)",""
"Alopecurus aequalis var. aequalis","shortawn foxtail","NH(Coos, Hillsborough, Merrimack, Strafford)",""
"Alopecurus geniculatus","water foxtail","NH(Rockingham, Strafford)",""
"Alopecurus geniculatus var. geniculatus","water foxtail","NH(Rockingham, Strafford)",""
"Alopecurus pratensis","meadow foxtail","NH(Carroll, Cheshire, Coos, Rockingham, Strafford)",""
"Amaranthus","pigweed","NH(Belknap, Carroll, Cheshire, Coos, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amaranthus albus","prostrate pigweed","NH(Carroll, Coos, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Amaranthus blitoides","mat amaranth","NH(Hillsborough, Rockingham)",""
"Amaranthus cannabinus","tidalmarsh amaranth","NH(Rockingham, Strafford)",""
"Amaranthus cruentus","red amaranth","NH(Carroll)",""
"Amaranthus hybridus","slim amaranth","NH(Hillsborough)",""
"Amaranthus powellii","Powell's amaranth","NH(Belknap, Hillsborough, Strafford)",""
"Amaranthus powellii ssp. powellii","Powell's amaranth","NH(Belknap, Hillsborough, Strafford)",""
"Amaranthus retroflexus","redroot amaranth","NH(Belknap, Carroll, Cheshire, Coos, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amaranthus tuberculatus","roughfruit amaranth","NH(Coos)",""
"Ambrosia","ragweed","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Ambrosia artemisiifolia","annual ragweed","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Ambrosia psilostachya","Cuman ragweed","NH(Coos)",""
"Ambrosia trifida","great ragweed","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Strafford)",""
"Ambrosia trifida var. trifida","great ragweed","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Strafford)",""
"Amelanchier","serviceberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amelanchier arborea","common serviceberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amelanchier arborea var. arborea","common serviceberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amelanchier bartramiana","oblongfruit serviceberry","NH(Carroll, Cheshire, Coos, Grafton, Strafford, Sullivan)",""
"Amelanchier canadensis","Canadian serviceberry","NH(Cheshire, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Amelanchier sanguinea","roundleaf serviceberry","NH(Carroll, Cheshire, Coos, Grafton, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amelanchier sanguinea var. sanguinea","roundleaf serviceberry","NH(Carroll, Cheshire, Coos, Grafton, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amelanchier stolonifera","running serviceberry","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Ammophila","beachgrass","NH(Rockingham)",""
"Ammophila breviligulata","American beachgrass","NH(Rockingham)",""
"Amorpha","false indigo","NH(Coos, Merrimack, Strafford)",""
"Amorpha fruticosa","false indigo bush","NH(Coos, Merrimack, Strafford)",""
"Ampelopsis","peppervine","NH(Rockingham)",""
"Ampelopsis brevipedunculata","Amur peppervine","NH(Rockingham)",""
"Amphicarpaea","hogpeanut","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amphicarpaea bracteata","American hogpeanut","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Amsinckia","fiddleneck","NH(Coos, Hillsborough)",""
"Amsinckia lycopsoides","tarweed fiddleneck","NH(Coos)",""
"Amsinckia menziesii","Menzies' fiddleneck","NH(Hillsborough)",""
"Amsinckia menziesii var. intermedia","common fiddleneck","NH(Hillsborough)",""
"Anagallis","pimpernel","NH(Hillsborough, Rockingham)",""
"Anagallis arvensis","scarlet pimpernel","NH(Hillsborough, Rockingham)",""
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","NH(Hillsborough, Rockingham)",""
"Anaphalis","pearly everlasting","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anaphalis margaritacea","western pearly everlasting","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anchusa","bugloss","NH(Cheshire, Merrimack)",""
"Anchusa azurea","Italian bugloss","NH(Merrimack)",""
"Anchusa officinalis","common bugloss","NH(Cheshire)",""
"Andromeda","bog rosemary","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Andromeda polifolia","bog rosemary","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Andromeda polifolia var. glaucophylla","bog rosemary","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Andropogon","bluestem","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Andropogon gerardii","big bluestem","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anemone","anemone","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anemone canadensis","Canadian anemone","NH(Carroll, Cheshire, Hillsborough, Strafford)",""
"Anemone cylindrica","candle anemone","NH(Carroll, Cheshire, Grafton, Hillsborough, Rockingham)",""
"Anemone quinquefolia","wood anemone","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Anemone quinquefolia var. quinquefolia","nightcaps","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Anemone virginiana","tall thimbleweed","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anemone virginiana var. alba","tall thimbleweed","NH(Grafton, Rockingham, Strafford, Sullivan)",""
"Angelica","angelica","NH(Cheshire, Coos, Grafton, Hillsborough, Rockingham, Strafford, Sullivan)",""
"Angelica atropurpurea","purplestem angelica","NH(Cheshire, Coos, Grafton, Hillsborough, Rockingham, Sullivan)",""
"Angelica lucida","seacoast angelica","NH(Rockingham, Strafford)",""
"Antennaria","pussytoes","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Antennaria howellii","Howell's pussytoes","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Antennaria howellii ssp. canadensis","Canadian pussytoes","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Antennaria howellii ssp. neodioica","Howell's pussytoes","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Antennaria neglecta","field pussytoes","NH(Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Antennaria parlinii","Parlin's pussytoes","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Antennaria parlinii ssp. fallax","Parlin's pussytoes","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Antennaria parlinii ssp. parlinii","Parlin's pussytoes","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Antennaria plantaginifolia","woman's tobacco","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anthemis","chamomile","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anthemis arvensis","corn chamomile","NH(Carroll, Coos, Grafton)",""
"Anthemis cotula","stinking chamomile","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan)",""
"Anthemis tinctoria","golden chamomile","NH(Coos, Grafton, Strafford)",""
"Anthoxanthum","hornwort","NH(Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford)",""
"Anthoxanthum aristatum","annual vernalgrass","NH(Coos)",""
"Anthoxanthum monticola","alpine sweetgrass","NH(Coos, Grafton)",""
"Anthoxanthum monticola ssp. monticola","alpine sweetgrass","NH(Coos, Grafton)",""
