"","",""
"Abies","fir","NJ(Passaic, Sussex)"
"Abies balsamea","balsam fir","NJ(Passaic, Sussex)"
"Abietinella","abietenella moss","NJ(Sussex)"
"Abietinella abietina","abietinella moss","NJ(Sussex)"
"Abutilon","Indian mallow","NJ(Bergen, Cape May, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Warren)"
"Abutilon theophrasti","velvetleaf","NJ(Bergen, Cape May, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Warren)"
"Acalypha","copperleaf","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Union, Warren)"
"Acalypha australis","Asian copperleaf","NJ(Bergen)"
"Acalypha gracilens","slender threeseed mercury","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Essex, Gloucester, Hunterdon, Mercer, Monmouth, Morris, Ocean, Passaic, Salem, Somerset)"
"Acalypha ostryifolia","pineland threeseed mercury","NJ(Bergen, Camden, Mercer)"
"Acalypha rhomboidea","common threeseed mercury","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Hudson, Hunterdon, Mercer, Middlesex, Morris, Passaic, Somerset, Sussex, Union, Warren)"
"Acalypha virginica","Virginia threeseed mercury","NJ(Bergen, Burlington, Camden, Cape May, Cumberland, Gloucester, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Warren)"
"Acer","maple","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Union, Warren)"
"Acer campestre","hedge maple","NJ(Mercer, Somerset)"
"Acer ginnala","Amur maple","NJ(Bergen, Somerset, Sussex, Union)"
"Acer japonicum","Amur maple","NJ(Bergen)"
"Acer negundo","boxelder","NJ(Bergen, Burlington, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Somerset, Sussex, Union, Warren)"
"Acer negundo var. negundo","boxelder","NJ(Monmouth)"
"Acer nigrum","black maple","NJ(Bergen, Essex, Hunterdon, Mercer, Monmouth, Morris, Passaic, Somerset, Sussex, Warren)"
"Acer palmatum","Japanese maple","NJ(Bergen, Essex, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Union, Warren)"
"Acer pensylvanicum","striped maple","NJ(Bergen, Hunterdon, Passaic, Somerset, Sussex, Warren)"
"Acer platanoides","Norway maple","NJ(Bergen, Burlington, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Union, Warren)"
"Acer pseudoplatanus","sycamore maple","NJ(Bergen, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Union)"
"Acer rubrum","red maple","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Union, Warren)"
"Acer rubrum var. trilobum","red maple","NJ(Middlesex, Monmouth, Ocean)"
"Acer saccharinum","silver maple","NJ(Bergen, Camden, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Union, Warren)"
"Acer saccharum","sugar maple","NJ(Bergen, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Union, Warren)"
"Acer saccharum var. saccharum","sugar maple","NJ(Bergen, Essex, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Union, Warren)"
"Acer spicatum","mountain maple","NJ(Essex, Hunterdon, Morris, Passaic, Somerset, Sussex, Union, Warren)"
"Achillea","yarrow","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Somerset, Sussex, Union, Warren)"
"Achillea millefolium","common yarrow","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Somerset, Sussex, Union, Warren)"
"Achillea millefolium var. occidentalis","western yarrow","NJ(Hudson, Monmouth, Sussex, Warren)"
"Acinos","acinos","NJ(Hunterdon)"
"Acinos arvensis","basil thyme","NJ(Hunterdon)"
"Acorus","sweetflag","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Union, Warren)"
"Acorus americanus","sweetflag","NJ(Bergen, Essex, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Passaic, Somerset, Sussex, Warren)"
"Acorus calamus","calamus","NJ(Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Union, Warren)"
