"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Abronia fragrans","snowball sand verbena","ND(McKenzie)"
"Abutilon","Indian mallow","ND(Barnes, Cass, Grand Forks, McKenzie, Ransom, Richland, Traill)"
"Abutilon theophrasti","velvetleaf","ND(Barnes, Cass, Grand Forks, McKenzie, Ransom, Richland, Traill)"
"Acalypha","copperleaf","ND(Stutsman)"
"Acalypha rhomboidea","common threeseed mercury","ND(Stutsman)"
"Acer","maple","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Eddy, Emmons, Golden Valley, Grand Forks, Grant, LaMoure, McKenzie, McLean, Mercer, Morton, Oliver, Pembina, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Acer negundo","boxelder","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Eddy, Emmons, Golden Valley, Grand Forks, Grant, LaMoure, McKenzie, McLean, Mercer, Morton, Oliver, Pembina, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Achillea","yarrow","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Achillea millefolium","common yarrow","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Achillea millefolium var. occidentalis","western yarrow","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Achillea sibirica","Siberian yarrow","ND(Bottineau, Cavalier, Pembina, Rolette)"
"Achnatherum","needlegrass","ND(Billings, Bowman, Burleigh, Dunn, Emmons, Golden Valley, Grant, McHenry, McKenzie, Mercer, Morton, Mountrail, Sioux, Slope, Stark, Williams)"
"Achnatherum hymenoides","Indian ricegrass","ND(Billings, Bowman, Burleigh, Dunn, Emmons, Golden Valley, Grant, McHenry, McKenzie, Mercer, Morton, Mountrail, Sioux, Slope, Stark, Williams)"
"Acorus","sweetflag","ND(Bottineau)"
"Acorus americanus","sweetflag","ND(Bottineau)"
