"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Abronia fragrans","snowball sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Abutilon","Indian mallow","OK(Bryan, Cleveland, Kay, Marshall, Muskogee, Nowata, Osage, Payne, Tulsa)"
"Abutilon theophrasti","velvetleaf","OK(Bryan, Cleveland, Kay, Marshall, Muskogee, Nowata, Osage, Payne, Tulsa)"
"Acaciella","","OK(Beckham, Bryan, Carter, Choctaw, Cleveland, Comanche, Custer, Garfield, Garvin, Grady, Jackson, Jefferson, Kingfisher, Kiowa, Lincoln, Logan, Love, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Roger Mills, Sequoyah, Washita)"
"Acaciella angustissima","prairie acacia","OK(Beckham, Bryan, Carter, Choctaw, Cleveland, Comanche, Custer, Garfield, Garvin, Grady, Jackson, Jefferson, Kingfisher, Kiowa, Lincoln, Logan, Love, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Roger Mills, Sequoyah, Washita)"
"Acaciella angustissima var. hirta","prairie acacia","OK(Beckham, Bryan, Carter, Choctaw, Cleveland, Comanche, Custer, Garfield, Garvin, Grady, Jackson, Jefferson, Kingfisher, Kiowa, Lincoln, Logan, Love, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Roger Mills, Sequoyah, Washita)"
"Acalypha","copperleaf","OK(Adair, Atoka, Blaine, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Grady, Harmon, Haskell, Hughes, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Tulsa, Washita, Woods)"
"Acalypha monococca","slender threeseed mercury","OK(Adair, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Creek, Grady, Hughes, Johnston, Latimer, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Osage, Pawnee, Pittsburg, Pontotoc, Seminole, Sequoyah)"
"Acalypha ostryifolia","pineland threeseed mercury","OK(Blaine, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Custer, Grady, Harmon, Jefferson, Kay, Kiowa, Logan, Marshall, Muskogee, Oklahoma, Payne, Sequoyah, Tulsa, Washita, Woods)"
"Acalypha rhomboidea","common threeseed mercury","OK(Atoka, Blaine, Bryan, Cherokee, Latimer, Muskogee, Osage)"
