"","",""
"Abies","fir","OR(Baker, Benton, Clackamas, Clatsop, Columbia, Coos, Crook, Curry, Deschutes, Douglas, Grant, Harney, Hood River, Jackson, Jefferson, Josephine, Klamath, Lake, Lane, Lincoln, Linn, Marion, Morrow, Multnomah, Polk, Tillamook, Umatilla, Union, Wallowa, Wasco, Washington, Wheeler, Yamhill)"
"Abies amabilis","Pacific silver fir","OR(Benton, Clackamas, Clatsop, Columbia, Deschutes, Douglas, Hood River, Jackson, Jefferson, Josephine, Lane, Lincoln, Linn, Marion, Multnomah, Polk, Wasco, Washington)"
"Abies grandis","grand fir","OR(Baker, Benton, Clackamas, Clatsop, Columbia, Coos, Crook, Curry, Deschutes, Douglas, Grant, Harney, Hood River, Jackson, Jefferson, Josephine, Klamath, Lake, Lane, Linn, Marion, Morrow, Multnomah, Polk, Umatilla, Union, Wallowa, Wasco, Washington, Wheeler, Yamhill)"
"Abies lasiocarpa","subalpine fir","OR(Baker, Clackamas, Deschutes, Douglas, Grant, Hood River, Jackson, Jefferson, Josephine, Klamath, Lake, Lane, Linn, Marion, Umatilla, Union, Wallowa)"
"Abies lasiocarpa var. lasiocarpa","subalpine fir","OR(Baker, Clackamas, Deschutes, Douglas, Grant, Hood River, Jackson, Jefferson, Josephine, Klamath, Lake, Lane, Linn, Marion, Umatilla, Union, Wallowa)"
"Abies magnifica","California red fir","OR(Curry, Douglas, Jackson, Josephine, Klamath, Lane)"
"Abies magnifica var. magnifica","California red fir","OR(Curry, Douglas, Jackson, Josephine, Klamath, Lane)"
"Abies magnifica var. shastensis","Shasta red fir","OR(Curry, Douglas, Jackson, Josephine, Klamath, Lane)"
"Abies procera","noble fir","OR(Benton, Clackamas, Clatsop, Curry, Deschutes, Douglas, Hood River, Jackson, Jefferson, Josephine, Klamath, Lane, Lincoln, Linn, Marion, Multnomah, Polk, Tillamook, Wasco, Washington)"
"Abronia","sand verbena","OR(Clatsop, Coos, Curry, Douglas, Gilliam, Harney, Lane, Lincoln, Malheur, Morrow, Sherman, Tillamook, Umatilla, Wasco)"
"Abronia latifolia","coastal sand verbena","OR(Clatsop, Coos, Curry, Douglas, Lane, Lincoln, Tillamook)"
"Abronia mellifera","white sand verbena","OR(Gilliam, Harney, Malheur, Morrow, Sherman, Umatilla, Wasco)"
"Abronia turbinata","transmontane sand verbena","OR(Harney, Malheur)"
"Abronia umbellata","pink sand verbena","OR(Clatsop, Coos, Curry, Douglas, Lane, Lincoln, Tillamook)"
"Abronia umbellata ssp. breviflora","pink sand verbena","OR(Clatsop, Coos, Curry, Douglas, Lane, Lincoln, Tillamook)"
"Abutilon","Indian mallow","OR(Benton, Douglas, Hood River, Jefferson, Lane, Lincoln, Marion, Multnomah, Washington, Yamhill)"
"Abutilon theophrasti","velvetleaf","OR(Benton, Douglas, Hood River, Jefferson, Lane, Lincoln, Marion, Multnomah, Washington, Yamhill)"
"Acacia","acacia","OR(Coos)"
"Acacia dealbata","silver wattle","OR(Coos)"
"Acaena","acaena","OR(Coos, Curry)"
"Acaena novae-zelandiae","biddy-biddy","OR(Coos, Curry)"
"Acanthospermum","starbur","OR(Grant, Multnomah)"
"Acanthospermum australe","Paraguayan starbur","OR(Grant, Multnomah)"
"Acanthospermum hispidum","hispid starbur","OR(Multnomah)"
"Acer","maple","OR(Baker, Benton, Clackamas, Clatsop, Columbia, Coos, Curry, Deschutes, Douglas, Grant, Harney, Hood River, Jackson, Jefferson, Josephine, Klamath, Lane, Lincoln, Linn, Malheur, Marion, Multnomah, Polk, Sherman, Tillamook, Umatilla, Union, Wallowa, Wasco, Washington, Yamhill)"
