"","",""
"Abies","fir","PA(Centre, Clinton, Huntingdon, Lackawanna, Lycoming, Monroe, Pike, Potter, Schuylkill, Sullivan, Susquehanna, Tioga, Warren, Wayne, Wyoming)"
"Abies balsamea","balsam fir","PA(Centre, Clinton, Huntingdon, Lackawanna, Lycoming, Monroe, Pike, Potter, Schuylkill, Sullivan, Susquehanna, Tioga, Warren, Wayne, Wyoming)"
"Abies balsamea var. balsamea","balsam fir","PA(Centre, Clinton, Huntingdon, Lackawanna, Lycoming, Monroe, Pike, Potter, Schuylkill, Sullivan, Susquehanna, Tioga, Warren, Wayne, Wyoming)"
"Abutilon","Indian mallow","PA(Adams, Allegheny, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Carbon, Centre, Chester, Columbia, Cumberland, Dauphin, Delaware, Erie, Fayette, Franklin, Greene, Huntingdon, Indiana, Juniata, Lackawanna, Lancaster, Lebanon, Lehigh, Luzerne, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Tioga, Union, Warren, Washington, Westmoreland, York)"
"Abutilon theophrasti","velvetleaf","PA(Adams, Allegheny, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Carbon, Centre, Chester, Columbia, Cumberland, Dauphin, Delaware, Erie, Fayette, Franklin, Greene, Huntingdon, Indiana, Juniata, Lackawanna, Lancaster, Lebanon, Lehigh, Luzerne, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Tioga, Union, Warren, Washington, Westmoreland, York)"
"Acalypha","copperleaf","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Chester, Clarion, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Franklin, Fulton, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, Mercer, Mifflin, Monroe, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acalypha deamii","Deam's threeseed mercury","PA(Allegheny)"
"Acalypha gracilens","slender threeseed mercury","PA(Bedford, Berks, Bucks, Chester, Dauphin, Delaware, Franklin, Lancaster, Lebanon, Lehigh, Luzerne, Montgomery, Philadelphia, Schuylkill, Wyoming, York)"
"Acalypha rhomboidea","common threeseed mercury","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Chester, Clarion, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Franklin, Fulton, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, Mercer, Mifflin, Monroe, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acalypha virginica","Virginia threeseed mercury","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bucks, Butler, Carbon, Chester, Cumberland, Dauphin, Delaware, Erie, Fayette, Franklin, Fulton, Huntingdon, Lancaster, Lebanon, Lehigh, Monroe, Montgomery, Montour, Northampton, Perry, Philadelphia, Schuylkill, Union, Warren, Washington, York)"
"Acanthospermum","starbur","PA(Montgomery, Philadelphia)"
"Acanthospermum australe","Paraguayan starbur","PA(Montgomery, Philadelphia)"
"Acer","maple","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Chester, Clarion, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Forest, Franklin, Fulton, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, McKean, Mercer, Mifflin, Monroe, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acer campestre","hedge maple","PA(Allegheny, Berks, Blair, Bucks, Chester, Delaware, Lehigh, Monroe, Montgomery, Philadelphia, Schuylkill)"
"Acer ginnala","Amur maple","PA(Allegheny, Berks, Centre, Chester, Lehigh, Montgomery, Northampton, Philadelphia)"
"Acer negundo","boxelder","PA(Adams, Allegheny, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Carbon, Centre, Chester, Clearfield, Clinton, Columbia, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Franklin, Fulton, Greene, Huntingdon, Juniata, Lackawanna, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, McKean, Mifflin, Monroe, Montgomery, Northampton, Northumberland, Perry, Philadelphia, Pike, Schuylkill, Snyder, Somerset, Susquehanna, Tioga, Union, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acer negundo var. negundo","boxelder","PA(Adams, Allegheny, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Carbon, Centre, Chester, Clearfield, Clinton, Columbia, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Franklin, Fulton, Greene, Huntingdon, Juniata, Lackawanna, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, McKean, Mifflin, Monroe, Montgomery, Northampton, Northumberland, Perry, Philadelphia, Pike, Schuylkill, Snyder, Somerset, Susquehanna, Tioga, Union, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acer nigrum","black maple","PA(Allegheny, Armstrong, Beaver, Bedford, Blair, Bradford, Butler, Cambria, Centre, Clearfield, Crawford, Elk, Erie, Fayette, Greene, Huntingdon, Indiana, Jefferson, Lancaster, Lawrence, Luzerne, Lycoming, Somerset, Sullivan, Tioga, Venango, Warren, Washington, Westmoreland)"
"Acer palmatum","Japanese maple","PA(Allegheny, Chester, Cumberland, Delaware, Luzerne, Montgomery, Northumberland)"
"Acer pensylvanicum","striped maple","PA(Allegheny, Armstrong, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Clarion, Clearfield, Clinton, Columbia, Crawford, Dauphin, Elk, Erie, Fayette, Forest, Franklin, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lehigh, Luzerne, Lycoming, McKean, Mifflin, Monroe, Northampton, Northumberland, Perry, Pike, Potter, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Wayne, Westmoreland, Wyoming)"
"Acer platanoides","Norway maple","PA(Adams, Allegheny, Beaver, Bedford, Berks, Blair, Bucks, Carbon, Chester, Columbia, Cumberland, Dauphin, Delaware, Elk, Erie, Forest, Fulton, Huntingdon, Lackawanna, Lancaster, Lebanon, Lehigh, Luzerne, Mifflin, Montgomery, Northampton, Northumberland, Philadelphia, Schuylkill, Snyder, Somerset, Washington, York)"
"Acer pseudoplatanus","sycamore maple","PA(Allegheny, Bedford, Berks, Bucks, Chester, Dauphin, Delaware, Franklin, Lehigh, Montgomery, Northampton, Philadelphia, York)"
"Acer rubrum","red maple","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Chester, Clarion, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Forest, Franklin, Fulton, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, McKean, Mercer, Mifflin, Monroe, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acer rubrum var. rubrum","red maple","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Chester, Clarion, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Forest, Franklin, Fulton, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, McKean, Mercer, Mifflin, Monroe, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acer rubrum var. trilobum","red maple","PA(Allegheny, Armstrong, Bedford, Berks, Bucks, Butler, Cambria, Carbon, Chester, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Franklin, Indiana, Jefferson, Lackawanna, Lancaster, Lehigh, Luzerne, Lycoming, McKean, Mercer, Monroe, Montgomery, Northampton, Northumberland, Philadelphia, Pike, Potter, Schuylkill, Snyder, Warren, Wayne, York)"
"Acer saccharinum","silver maple","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Centre, Chester, Clarion, Clearfield, Clinton, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Forest, Franklin, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lancaster, Lawrence, Lebanon, Lehigh, Luzerne, Lycoming, McKean, Mercer, Mifflin, Monroe, Montgomery, Northampton, Northumberland, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Susquehanna, Union, Venango, Warren, Washington, Westmoreland, Wyoming, York)"
"Acer saccharum","sugar maple","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Chester, Clarion, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Forest, Franklin, Fulton, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lancaster, Lawrence, Lehigh, Luzerne, Lycoming, McKean, Mercer, Mifflin, Monroe, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
"Acer saccharum var. saccharum","sugar maple","PA(Adams, Allegheny, Armstrong, Beaver, Bedford, Berks, Blair, Bradford, Bucks, Butler, Cambria, Cameron, Carbon, Centre, Chester, Clarion, Clearfield, Clinton, Columbia, Crawford, Cumberland, Dauphin, Delaware, Elk, Erie, Fayette, Forest, Franklin, Fulton, Greene, Huntingdon, Indiana, Jefferson, Juniata, Lackawanna, Lancaster, Lawrence, Lehigh, Luzerne, Lycoming, McKean, Mercer, Mifflin, Monroe, Montgomery, Montour, Northampton, Northumberland, Perry, Philadelphia, Pike, Potter, Schuylkill, Snyder, Somerset, Sullivan, Susquehanna, Tioga, Union, Venango, Warren, Washington, Wayne, Westmoreland, Wyoming, York)"
