"","",""
"Abies","fir","RI(Providence)"
"Abies balsamea","balsam fir","RI(Providence)"
"Abies balsamea var. balsamea","balsam fir","RI(Providence)"
"Abutilon","Indian mallow","RI(Providence)"
"Abutilon theophrasti","velvetleaf","RI(Providence)"
"Acalypha","copperleaf","RI(Kent, Newport, Providence, Washington)"
"Acalypha gracilens","slender threeseed mercury","RI(Kent, Newport, Providence, Washington)"
"Acalypha rhomboidea","common threeseed mercury","RI(Providence)"
"Acalypha virginica","Virginia threeseed mercury","RI(Newport, Providence)"
"Acer","maple","RI(Bristol, Kent, Newport, Providence, Washington)"
"Acer negundo","boxelder","RI(Bristol, Kent, Providence)"
"Acer pensylvanicum","striped maple","RI(Providence)"
"Acer platanoides","Norway maple","RI(Bristol, Kent, Washington)"
"Acer pseudoplatanus","sycamore maple","RI(Bristol, Kent, Newport, Providence)"
"Acer rubrum","red maple","RI(Bristol, Kent, Newport, Providence, Washington)"
"Acer saccharinum","silver maple","RI(Bristol, Providence)"
"Acer saccharum","sugar maple","RI(Providence)"
"Acer saccharum var. saccharum","sugar maple","RI(Providence)"
"Acer spicatum","mountain maple","RI(Providence)"
"Acer tataricum","tatarian maple","RI(Newport)"
"Achillea","yarrow","RI(Bristol, Kent, Newport, Providence, Washington)"
"Achillea millefolium","common yarrow","RI(Bristol, Kent, Newport, Providence, Washington)"
"Acorus","sweetflag","RI(Bristol, Newport, Providence, Washington)"
"Acorus calamus","calamus","RI(Bristol, Newport, Providence, Washington)"
"Actaea","baneberry","RI(Newport, Providence)"
"Actaea pachypoda","white baneberry","RI(Providence)"
"Actaea rubra","red baneberry","RI(Newport, Providence)"
"Actaea rubra ssp. rubra","red baneberry","RI(Newport, Providence)"
"Adiantum","maidenhair fern","RI(Providence, Washington)"
"Adiantum pedatum","northern maidenhair","RI(Providence, Washington)"
"Adlumia","adlumia","RI(Providence)"
"Adlumia fungosa","allegheny vine","RI(Providence)"
"Aegopodium","goutweed","RI(Providence)"
"Aegopodium podagraria","bishop's goutweed","RI(Providence)"
"Aesculus","buckeye","RI(Bristol)"
"Aesculus hippocastanum","horse chestnut","RI(Bristol)"
"Aethusa","aethusa","RI(Newport, Providence)"
"Aethusa cynapium","fool's parsley","RI(Newport, Providence)"
"Agalinis","false foxglove","RI(Bristol, Kent, Newport, Providence, Washington)"
"Agalinis acuta","sandplain false foxglove","RI(Providence, Washington)"
"Agalinis maritima","saltmarsh false foxglove","RI(Providence, Washington)"
"Agalinis maritima var. maritima","saltmarsh false foxglove","RI(Providence, Washington)"
"Agalinis purpurea","purple false foxglove","RI(Bristol, Kent, Newport, Providence, Washington)"
"Agalinis tenuifolia","slenderleaf false foxglove","RI(Providence)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","RI(Providence)"
"Ageratina","snakeroot","RI(Providence)"
"Ageratina altissima","white snakeroot","RI(Providence)"
"Ageratina altissima var. altissima","white snakeroot","RI(Providence)"
"Ageratina aromatica","lesser snakeroot","RI(Providence)"
"Ageratina aromatica var. aromatica","lesser snakeroot","RI(Providence)"
"Agrimonia","agrimony","RI(Newport, Providence, Washington)"
"Agrimonia gryposepala","tall hairy agrimony","RI(Newport, Providence, Washington)"
"Agrimonia pubescens","soft agrimony","RI(Providence)"
"Agrimonia striata","roadside agrimony","RI(Providence)"
"Agrostemma","corncockle","RI(Newport, Providence)"
"Agrostemma githago","common corncockle","RI(Newport, Providence)"
"Agrostis","bentgrass","RI(Bristol, Kent, Newport, Providence, Washington)"
"Agrostis canina","velvet bentgrass","RI(Washington)"
"Agrostis capillaris","colonial bentgrass","RI(Kent, Newport, Providence, Washington)"
"Agrostis gigantea","redtop","RI(Bristol, Kent, Newport, Providence, Washington)"
"Agrostis hyemalis","winter bentgrass","RI(Kent, Newport, Providence, Washington)"
"Agrostis perennans","upland bentgrass","RI(Newport, Providence, Washington)"
"Agrostis scabra","rough bentgrass","RI(Kent, Newport, Providence)"
"Ailanthus","ailanthus","RI(Bristol, Kent, Newport, Providence)"
"Ailanthus altissima","tree of heaven","RI(Bristol, Kent, Newport, Providence)"
"Ajuga","bugle","RI(Providence)"
"Ajuga genevensis","blue bugle","RI(Providence)"
"Alcea","hollyhock","RI(Newport, Washington)"
"Alcea rosea","hollyhock","RI(Newport, Washington)"
"Aletris","colicroot","RI(Bristol, Kent, Providence, Washington)"
"Aletris farinosa","white colicroot","RI(Bristol, Kent, Providence, Washington)"
"Alisma","water plantain","RI(Bristol, Newport, Providence)"
"Alisma subcordatum","American water plantain","RI(Bristol, Newport, Providence)"
"Allium","onion","RI(Bristol, Kent, Newport, Providence, Washington)"
"Allium canadense","meadow garlic","RI(Kent, Providence)"
"Allium canadense var. canadense","meadow garlic","RI(Kent, Providence)"
"Allium schoenoprasum","wild chives","RI(Kent, Washington)"
"Allium schoenoprasum var. schoenoprasum","wild chives","RI(Kent, Washington)"
"Allium tricoccum","ramp","RI(Providence)"
"Allium vineale","wild garlic","RI(Bristol, Newport, Providence)"
"Allium vineale ssp. vineale","wild garlic","RI(Bristol, Newport, Providence)"
"Alnus","alder","RI(Bristol, Kent, Newport, Providence, Washington)"
"Alnus incana","gray alder","RI(Bristol, Newport, Providence)"
"Alnus incana ssp. rugosa","speckled alder","RI(Bristol, Newport, Providence)"
"Alnus serrulata","hazel alder","RI(Bristol, Kent, Newport, Providence, Washington)"
"Alopecurus","foxtail","RI(Bristol, Kent, Providence)"
"Alopecurus geniculatus","water foxtail","RI(Providence)"
"Alopecurus geniculatus var. geniculatus","water foxtail","RI(Providence)"
"Alopecurus pratensis","meadow foxtail","RI(Bristol, Kent)"
"Alyssum","madwort","RI(Providence)"
"Alyssum alyssoides","pale madwort","RI(Providence)"
"Amaranthus","pigweed","RI(Kent, Newport, Providence, Washington)"
"Amaranthus albus","prostrate pigweed","RI(Kent, Newport, Providence)"
"Amaranthus blitoides","mat amaranth","RI(Newport, Providence)"
"Amaranthus cannabinus","tidalmarsh amaranth","RI(Providence, Washington)"
"Amaranthus cruentus","red amaranth","RI(Providence)"
"Amaranthus hybridus","slim amaranth","RI(Newport, Providence)"
"Amaranthus retroflexus","redroot amaranth","RI(Kent, Newport, Providence)"
"Amaranthus spinosus","spiny amaranth","RI(Providence)"
"Ambrosia","ragweed","RI(Kent, Newport, Providence, Washington)"
"Ambrosia artemisiifolia","annual ragweed","RI(Kent, Newport, Providence, Washington)"
"Ambrosia artemisiifolia var. elatior","annual ragweed","RI(Kent, Newport, Providence, Washington)"
"Ambrosia trifida","great ragweed","RI(Providence)"
"Ambrosia trifida var. trifida","great ragweed","RI(Providence)"
"Amelanchier","serviceberry","RI(Bristol, Kent, Newport, Providence, Washington)"
"Amelanchier arborea","common serviceberry","RI(Bristol, Kent, Newport, Providence, Washington)"
"Amelanchier arborea var. arborea","common serviceberry","RI(Bristol, Kent, Newport, Providence, Washington)"
"Amelanchier canadensis","Canadian serviceberry","RI(Bristol, Kent, Newport, Providence, Washington)"
"Amelanchier stolonifera","running serviceberry","RI(Providence)"
"Ammophila","beachgrass","RI(Newport, Washington)"
"Ammophila breviligulata","American beachgrass","RI(Newport, Washington)"
"Amorpha","false indigo","RI(Newport)"
"Amorpha fruticosa","false indigo bush","RI(Newport)"
"Amphicarpaea","hogpeanut","RI(Kent, Newport, Providence, Washington)"
"Amphicarpaea bracteata","American hogpeanut","RI(Kent, Newport, Providence, Washington)"
"Anagallis","pimpernel","RI(Bristol, Newport, Providence)"
"Anagallis arvensis","scarlet pimpernel","RI(Bristol, Newport, Providence)"
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","RI(Bristol, Newport, Providence)"
"Anaphalis","pearly everlasting","RI(Newport, Providence, Washington)"
"Anaphalis margaritacea","western pearly everlasting","RI(Newport, Providence, Washington)"
"Andromeda","bog rosemary","RI(Providence)"
"Andromeda polifolia","bog rosemary","RI(Providence)"
"Andromeda polifolia var. glaucophylla","bog rosemary","RI(Providence)"
"Andropogon","bluestem","RI(Bristol, Newport, Providence, Washington)"
"Andropogon gerardii","big bluestem","RI(Bristol, Newport, Providence, Washington)"
