"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Abutilon theophrasti","velvetleaf","SC(Kershaw)"
"Acalypha","copperleaf","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Acalypha gracilens","slender threeseed mercury","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Horry, Jasper, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Union, Williamsburg, York)"
"Acalypha ostryifolia","pineland threeseed mercury","SC(Abbeville, Aiken, Darlington, Edgefield, Georgetown, Newberry, Orangeburg)"
"Acalypha rhomboidea","common threeseed mercury","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Georgetown, Greenwood, Jasper, Kershaw, Lee, Lexington, McCormick, Newberry, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Union, Williamsburg, York)"
"Acalypha setosa","Cuban copperleaf","SC(Aiken, Darlington)"
"Acalypha virginica","Virginia threeseed mercury","SC(Cherokee, Darlington, Lancaster, Lexington, Spartanburg)"
"Acanthospermum","starbur","SC(Aiken, Bamberg, Barnwell, Calhoun, Chesterfield, Colleton, Darlington, Dillon, Edgefield, Florence, Georgetown, Hampton, Horry, Kershaw, Lee, Lexington, Marlboro, Oconee, Richland, Williamsburg)"
"Acanthospermum australe","Paraguayan starbur","SC(Aiken, Bamberg, Barnwell, Calhoun, Chesterfield, Colleton, Darlington, Dillon, Edgefield, Georgetown, Hampton, Horry, Kershaw, Lee, Lexington, Marlboro, Oconee, Richland, Williamsburg)"
"Acanthospermum hispidum","hispid starbur","SC(Calhoun, Florence)"
