"","",""
"Abronia","sand verbena","SD(Custer, Fall River)"
"Abronia fragrans","snowball sand verbena","SD(Custer, Fall River)"
"Abutilon","Indian mallow","SD(Clay, Hughes, Union)"
"Abutilon theophrasti","velvetleaf","SD(Clay, Hughes, Union)"
"Acalypha","copperleaf","SD(Clay, Minnehaha, Union)"
"Acalypha rhomboidea","common threeseed mercury","SD(Minnehaha)"
"Acalypha virginica","Virginia threeseed mercury","SD(Clay, Union)"
"Acer","maple","SD(Brookings, Brule, Buffalo, Charles Mix, Clay, Codington, Corson, Custer, Day, Fall River, Grant, Haakon, Harding, Hughes, Lawrence, Lincoln, Marshall, Meade, Minnehaha, Pennington, Perkins, Potter, Roberts, Sanborn, Sully, Todd, Turner, Union, Walworth)"
"Acer negundo","boxelder","SD(Brookings, Buffalo, Clay, Codington, Corson, Custer, Day, Fall River, Grant, Haakon, Harding, Lawrence, Lincoln, Meade, Pennington, Perkins, Roberts, Sully, Todd, Turner, Union, Walworth)"
"Acer nigrum","black maple","SD(Roberts)"
"Acer saccharinum","silver maple","SD(Brule, Charles Mix, Clay, Codington, Grant, Hughes, Marshall, Minnehaha, Potter, Sanborn)"
"Acer saccharum","sugar maple","SD(Clay, Lincoln, Marshall, Roberts, Union)"
"Acer saccharum var. saccharum","sugar maple","SD(Clay, Lincoln, Marshall, Roberts, Union)"
"Achillea","yarrow","SD(Bon Homme, Brookings, Brown, Butte, Campbell, Clay, Codington, Corson, Custer, Day, Deuel, Dewey, Fall River, Faulk, Grant, Haakon, Hamlin, Harding, Hughes, Jerauld, Jones, Kingsbury, Lawrence, Lyman, Marshall, McPherson, Meade, Minnehaha, Pennington, Potter, Roberts, Spink, Stanley, Sully, Todd, Turner, Union, Walworth, Yankton, Ziebach)"
"Achillea millefolium","common yarrow","SD(Bon Homme, Brookings, Brown, Butte, Campbell, Clay, Codington, Corson, Custer, Day, Deuel, Dewey, Fall River, Faulk, Grant, Haakon, Hamlin, Harding, Hughes, Jerauld, Jones, Kingsbury, Lawrence, Lyman, Marshall, McPherson, Meade, Minnehaha, Pennington, Potter, Roberts, Spink, Stanley, Sully, Todd, Turner, Union, Walworth, Yankton, Ziebach)"
"Achillea millefolium var. occidentalis","western yarrow","SD(Bon Homme, Brookings, Brown, Butte, Campbell, Clay, Codington, Corson, Custer, Day, Deuel, Dewey, Fall River, Faulk, Grant, Haakon, Hamlin, Harding, Hughes, Jerauld, Jones, Kingsbury, Lawrence, Lyman, Marshall, McPherson, Meade, Minnehaha, Pennington, Potter, Roberts, Spink, Stanley, Sully, Todd, Turner, Union, Walworth, Yankton, Ziebach)"
"Achnatherum","needlegrass","SD(Custer, Fall River, Harding, Jackson, Lawrence, Mellette, Pennington, Stanley, Todd)"
"Achnatherum hymenoides","Indian ricegrass","SD(Custer, Fall River, Harding, Jackson, Mellette, Pennington, Stanley, Todd)"
"Achnatherum nelsonii","Columbia needlegrass","SD(Custer, Lawrence, Pennington)"
