"","",""
"Abies","fir","TN(Carter, Sevier)"
"Abies fraseri","Fraser fir","TN(Carter, Sevier)"
"Abutilon","Indian mallow","TN(Blount, Cannon, Carter, Crockett, Davidson, Grainger, Haywood, Henry, Knox, Lake, Lauderdale, Montgomery, Rutherford, Shelby, Stewart, Unicoi, Union, Williamson)"
"Abutilon theophrasti","velvetleaf","TN(Blount, Cannon, Carter, Crockett, Davidson, Grainger, Haywood, Henry, Knox, Lake, Lauderdale, Montgomery, Rutherford, Shelby, Stewart, Unicoi, Union, Williamson)"
"Acalypha","copperleaf","TN(Bedford, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Giles, Grainger, Grundy, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Loudon, Macon, Marion, Marshall, Maury, McMinn, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Wayne, White, Williamson, Wilson)"
"Acalypha deamii","Deam's threeseed mercury","TN(Decatur)"
"Acalypha gracilens","slender threeseed mercury","TN(Bledsoe, Blount, Bradley, Campbell, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Grundy, Hawkins, Hickman, Jackson, Johnson, Knox, Macon, Marion, Marshall, Monroe, Montgomery, Morgan, Overton, Roane, Rutherford, Van Buren, Wayne, White, Williamson)"
"Acalypha ostryifolia","pineland threeseed mercury","TN(Bedford, Blount, Cannon, Carroll, Cheatham, Clay, Coffee, Davidson, Fayette, Hancock, Haywood, Houston, Jackson, Jefferson, Knox, Lake, Loudon, Macon, Marshall, Maury, McMinn, Montgomery, Rhea, Rutherford, Shelby, Stewart, Sumner, Tipton, Williamson)"
"Acalypha rhomboidea","common threeseed mercury","TN(Bedford, Blount, Bradley, Cannon, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Crockett, Cumberland, Davidson, Decatur, Dyer, Fayette, Giles, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Hickman, Humphreys, Jackson, Jefferson, Johnson, Knox, Lake, Lewis, Loudon, Marion, Marshall, Maury, Montgomery, Moore, Morgan, Obion, Overton, Perry, Polk, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Unicoi, Union, Williamson, Wilson)"
"Acalypha virginica","Virginia threeseed mercury","TN(Bedford, Blount, Carroll, Cheatham, Claiborne, Coffee, Cumberland, Davidson, Dickson, Fayette, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Henry, Hickman, Houston, Knox, Lake, Lauderdale, Lawrence, Loudon, Macon, Marion, Marshall, Monroe, Montgomery, Overton, Perry, Polk, Putnam, Roane, Rutherford, Shelby, Stewart, Sumner, Tipton, Wayne, Williamson)"
"Acer","maple","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Lincoln, Macon, Madison, Marion, Marshall, Maury, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson, Wilson)"
"Acer floridanum","southern sugar maple","TN(Cheatham, Decatur, Dickson, Franklin, Lawrence, Lewis, Perry, Shelby, Weakley)"
"Acer leucoderme","chalk maple","TN(Hamilton, Polk)"
"Acer negundo","boxelder","TN(Anderson, Benton, Blount, Campbell, Carroll, Carter, Cheatham, Clay, Coffee, Cumberland, Davidson, Dickson, Fayette, Franklin, Grainger, Grundy, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Jefferson, Knox, Lauderdale, Lewis, Marion, Maury, Monroe, Montgomery, Morgan, Obion, Perry, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Union, Weakley, White, Williamson)"
"Acer nigrum","black maple","TN(Anderson, Bledsoe, Blount, Cannon, Cheatham, Claiborne, Clay, Coffee, Davidson, DeKalb, Fentress, Franklin, Grundy, Hancock, Hardin, Hickman, Humphreys, Jackson, Johnson, Knox, Lauderdale, Macon, Marshall, Maury, Montgomery, Obion, Pickett, Putnam, Robertson, Scott, Smith, Sullivan, Sumner, Van Buren, White, Wilson)"
"Acer pensylvanicum","striped maple","TN(Anderson, Blount, Campbell, Carter, Cocke, Franklin, Greene, Grundy, Hamilton, Johnson, Marion, Monroe, Morgan, Rhea, Scott, Sequatchie, Sevier, Sullivan, Unicoi, Van Buren, Washington)"
"Acer platanoides","Norway maple","TN(Knox, Montgomery, Sevier, Stewart)"
"Acer rubrum","red maple","TN(Anderson, Bedford, Benton, Blount, Campbell, Carroll, Carter, Chester, Claiborne, Cocke, Coffee, Crockett, Cumberland, Davidson, Dickson, Dyer, Fayette, Fentress, Franklin, Grainger, Greene, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henry, Hickman, Humphreys, Jefferson, Johnson, Knox, Lake, Lawrence, Lewis, Lincoln, Macon, Marion, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Overton, Pickett, Polk, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, White, Williamson)"
"Acer rubrum var. drummondii","Drummond's maple","TN(Bedford, Chester, Dyer, Grundy, Haywood, Lake, Rutherford)"
"Acer saccharinum","silver maple","TN(Anderson, Bedford, Blount, Carroll, Cheatham, Claiborne, Clay, Cocke, Davidson, DeKalb, Dickson, Grainger, Greene, Grundy, Hardeman, Hardin, Hawkins, Haywood, Houston, Jackson, Jefferson, Knox, Lake, Lauderdale, Lewis, Lincoln, Marion, Maury, Montgomery, Overton, Roane, Robertson, Rutherford, Sequatchie, Shelby, Stewart, Sumner, Tipton, Weakley, Williamson)"
"Acer saccharum","sugar maple","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hardin, Hawkins, Haywood, Henderson, Houston, Humphreys, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Madison, Marion, Marshall, Maury, Meigs, Monroe, Montgomery, Obion, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Sevier, Stewart, Sullivan, Sumner, Tipton, Unicoi, Van Buren, Wayne, Weakley, White, Williamson)"
"Acer saccharum var. saccharum","sugar maple","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hardin, Hawkins, Haywood, Henderson, Houston, Humphreys, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Madison, Marion, Marshall, Maury, Meigs, Monroe, Montgomery, Obion, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Sevier, Stewart, Sullivan, Sumner, Tipton, Unicoi, Van Buren, Wayne, Weakley, White, Williamson)"
"Acer spicatum","mountain maple","TN(Blount, Carter, Claiborne, Grundy, Jefferson, Johnson, Monroe, Sevier, Unicoi, Van Buren, Warren)"
"Achillea","yarrow","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Campbell, Carter, Cheatham, Cumberland, Davidson, Dickson, Fayette, Fentress, Franklin, Hardeman, Hardin, Hawkins, Henry, Hickman, Houston, Jackson, Knox, Lauderdale, Lewis, Maury, McMinn, McNairy, Monroe, Montgomery, Morgan, Obion, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Unicoi, Union, Williamson, Wilson)"
"Achillea millefolium","common yarrow","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Campbell, Carter, Cheatham, Cumberland, Davidson, Dickson, Fayette, Fentress, Franklin, Hardeman, Hardin, Hawkins, Henry, Hickman, Houston, Jackson, Knox, Lauderdale, Lewis, Maury, McMinn, McNairy, Monroe, Montgomery, Morgan, Obion, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Unicoi, Union, Williamson, Wilson)"
"Achillea millefolium var. occidentalis","western yarrow","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Campbell, Carter, Cheatham, Cumberland, Davidson, Dickson, Fayette, Fentress, Franklin, Hardeman, Hardin, Hawkins, Henry, Hickman, Houston, Jackson, Knox, Lauderdale, Lewis, Maury, McMinn, McNairy, Monroe, Montgomery, Morgan, Obion, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Unicoi, Union, Williamson, Wilson)"
"Acmella","spotflower","TN(Haywood, Lauderdale, Rutherford, Shelby, Tipton)"
"Acmella oppositifolia","oppositeleaf spotflower","TN(Haywood, Lauderdale, Rutherford, Shelby, Tipton)"
"Acmella oppositifolia var. repens","oppositeleaf spotflower","TN(Haywood, Lauderdale, Rutherford, Shelby, Tipton)"
"Aconitum","monkshood","TN(Bledsoe, Blount, Carter, Claiborne, Cocke, Coffee, Cumberland, Davidson, Hickman, Knox, Lewis, Monroe, Overton, Pickett, Polk, Roane, Scott, Sevier)"
"Aconitum reclinatum","trailing white monkshood","TN(Carter)"
"Aconitum uncinatum","southern blue monkshood","TN(Bledsoe, Blount, Carter, Claiborne, Cocke, Coffee, Cumberland, Davidson, Hickman, Knox, Lewis, Monroe, Overton, Pickett, Polk, Roane, Scott, Sevier)"
"Acorus","sweetflag","TN(Anderson, Bledsoe, Blount, Campbell, Cheatham, Davidson, Hamilton, Hardin, Henry, Houston, Knox, Lincoln, Montgomery, Roane, Sequatchie, Sevier, Shelby, Stewart, Tipton)"
"Acorus calamus","calamus","TN(Anderson, Bledsoe, Blount, Campbell, Cheatham, Davidson, Hamilton, Hardin, Henry, Houston, Knox, Lincoln, Montgomery, Roane, Sequatchie, Sevier, Shelby, Stewart, Tipton)"
