"","",""
"Abronia","sand verbena","TX(Andrews, Armstrong, Bailey, Brewster, Briscoe, Brooks, Childress, Coke, Cottle, Crane, Crosby, Culberson, Dallam, DeWitt, Deaf Smith, Dickens, Ector, El Paso, Ellis, Fisher, Freestone, Garza, Hall, Hardeman, Hartley, Hemphill, Hidalgo, Hockley, Howard, Hudspeth, Hutchinson, Jim Hogg, Kenedy, Kent, Kleberg, Lamar, Lamb, Leon, Live Oak, Loving, Moore, Oldham, Potter, Presidio, Reeves, Roberts, Robertson, Starr, Stonewall, Ward, Wilbarger, Winkler)"
"Abronia ameliae","Amelia's sand verbena","TX(Brooks, Hidalgo, Jim Hogg, Kenedy, Kleberg, Live Oak, Starr)"
"Abronia angustifolia","purple sand verbena","TX(Brewster, Culberson, El Paso, Ellis, Hudspeth, Presidio, Reeves)"
"Abronia carletonii","Carleton's sand verbena","TX(Culberson)"
"Abronia fragrans","snowball sand verbena","TX(Andrews, Armstrong, Bailey, Briscoe, Childress, Coke, Cottle, Crane, Crosby, Culberson, Dallam, DeWitt, Deaf Smith, Dickens, Ector, Ellis, Fisher, Garza, Hall, Hardeman, Hartley, Hemphill, Hockley, Howard, Hutchinson, Kent, Lamar, Lamb, Loving, Moore, Oldham, Potter, Roberts, Stonewall, Ward, Wilbarger, Winkler)"
"Abronia macrocarpa","largefruit sand verbena","TX(Freestone, Leon, Robertson)"
"Abutilon","Indian mallow","TX(Andrews, Aransas, Atascosa, Bastrop, Bee, Bell, Bexar, Blanco, Brazoria, Brewster, Burnet, Calhoun, Cameron, Comal, Crane, Crockett, Culberson, Deaf Smith, Denton, Dimmit, Duval, Ector, Edwards, Ellis, Falls, Frio, Garza, Gillespie, Goliad, Gonzales, Hays, Hidalgo, Jeff Davis, Jim Hogg, Jim Wells, Jones, Karnes, Kenedy, Kerr, Kimble, Kinney, Kleberg, Lampasas, Live Oak, Llano, Marion, Martin, McLennan, McMullen, Menard, Nueces, Parker, Pecos, Presidio, Reeves, Robertson, San Patricio, San Saba, Schleicher, Scurry, Somervell, Starr, Sterling, Sutton, Taylor, Terrell, Travis, Uvalde, Val Verde, Webb, Willacy, Williamson, Winkler, Zapata)"
"Abutilon abutiloides","shrubby Indian mallow","TX(Cameron, Hidalgo, San Patricio, Starr, Webb)"
"Abutilon berlandieri","Berlandier's Indian mallow","TX(Aransas, Atascosa, Bee, Cameron, Denton, Dimmit, Duval, Goliad, Gonzales, Hidalgo, Jim Wells, Karnes, Kenedy, Kleberg, Lampasas, Live Oak, Martin, McLennan, Starr, Webb, Willacy)"
"Abutilon fruticosum","Texas Indian mallow","TX(Aransas, Bastrop, Bee, Bell, Bexar, Blanco, Brewster, Burnet, Calhoun, Cameron, Comal, Crockett, Culberson, Denton, Dimmit, Duval, Edwards, Ellis, Falls, Frio, Garza, Gillespie, Gonzales, Hays, Hidalgo, Jeff Davis, Jones, Karnes, Kenedy, Kerr, Kimble, Kinney, Kleberg, Lampasas, Live Oak, Llano, Marion, Martin, McLennan, McMullen, Menard, Nueces, Parker, Pecos, Presidio, Robertson, San Patricio, San Saba, Schleicher, Scurry, Somervell, Starr, Sterling, Sutton, Taylor, Terrell, Travis, Uvalde, Val Verde, Webb, Williamson)"
