"","",""
"Abies","fir","UT(Beaver, Box Elder, Cache, Carbon, Daggett, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Morgan, Piute, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Abies concolor","white fir","UT(Beaver, Box Elder, Cache, Carbon, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Morgan, Piute, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Abies lasiocarpa","subalpine fir","UT(Beaver, Box Elder, Cache, Carbon, Daggett, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Morgan, Piute, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Abies lasiocarpa var. lasiocarpa","subalpine fir","UT(Beaver, Box Elder, Cache, Carbon, Daggett, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Morgan, Piute, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Abronia","sand verbena","UT(Beaver, Box Elder, Cache, Carbon, Daggett, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Piute, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Abronia argillosa","clay sand verbena","UT(Grand, Uintah)"
"Abronia fragrans","snowball sand verbena","UT(Beaver, Box Elder, Cache, Carbon, Daggett, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Piute, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Abronia mellifera","white sand verbena","UT(Cache)"
"Abronia nana","dwarf sand verbena","UT(Beaver, Emery, Garfield, Juab, Kane, Millard, Sevier, Washington)"
"Abronia nana var. harrisii","Harris' dwarf sand verbena","UT(Emery)"
"Abronia nana var. nana","dwarf sand verbena","UT(Beaver, Emery, Garfield, Juab, Kane, Millard, Sevier, Washington)"
"Abronia villosa","desert sand verbena","UT(Washington)"
"Abronia villosa var. villosa","desert sand verbena","UT(Washington)"
"Abutilon","Indian mallow","UT(Davis, Sanpete, Tooele, Utah, Washington)"
"Abutilon parvulum","dwarf Indian mallow","UT(Washington)"
"Abutilon theophrasti","velvetleaf","UT(Davis, Sanpete, Tooele, Utah, Washington)"
"Acamptopappus","goldenhead","UT(Kane, San Juan, Washington)"
"Acamptopappus sphaerocephalus","rayless goldenhead","UT(Kane, San Juan, Washington)"
"Acamptopappus sphaerocephalus var. sphaerocephalus","rayless goldenhead","UT(Kane, San Juan, Washington)"
"Acer","maple","UT(Beaver, Box Elder, Cache, Carbon, Daggett, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Morgan, Piute, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Acer glabrum","Rocky Mountain maple","UT(Beaver, Box Elder, Cache, Carbon, Daggett, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Morgan, Piute, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber)"
"Acer glabrum var. diffusum","Rocky Mountain maple","UT(Beaver, Garfield, Iron, Juab, Millard, Tooele)"
"Acer glabrum var. glabrum","Rocky Mountain maple","UT(Washington)"
