"","",""
"Abies","fir","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Franklin, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Abies balsamea","balsam fir","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Franklin, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Abutilon","Indian mallow","VT(Addison, Chittenden, Rutland, Windham)"
"Abutilon theophrasti","velvetleaf","VT(Addison, Chittenden, Rutland, Windham)"
"Acalypha","copperleaf","VT(Addison, Bennington, Caledonia, Chittenden, Orange, Rutland, Washington, Windham, Windsor)"
"Acalypha gracilens","slender threeseed mercury","VT(Bennington, Rutland, Windsor)"
"Acalypha rhomboidea","common threeseed mercury","VT(Addison, Bennington, Caledonia, Chittenden, Orange, Rutland, Washington, Windham, Windsor)"
"Acalypha virginica","Virginia threeseed mercury","VT(Addison, Bennington, Caledonia, Chittenden, Orange, Rutland, Washington, Windham, Windsor)"
"Acer","maple","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Franklin, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Acer ginnala","Amur maple","VT(Windham)"
"Acer negundo","boxelder","VT(Addison, Bennington, Chittenden, Essex, Franklin, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Acer negundo var. negundo","boxelder","VT(Addison, Bennington, Chittenden, Essex, Franklin, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Acer pensylvanicum","striped maple","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Acer platanoides","Norway maple","VT(Rutland)"
"Acer rubrum","red maple","VT(Addison, Bennington, Chittenden, Essex, Franklin, Lamoille, Orange, Orleans, Rutland, Windham, Windsor)"
"Acer saccharinum","silver maple","VT(Addison, Bennington, Chittenden, Essex, Franklin, Grand Isle, Orange, Orleans, Rutland, Windham, Windsor)"
"Acer saccharum","sugar maple","VT(Addison, Bennington, Chittenden, Essex, Franklin, Grand Isle, Lamoille, Orange, Orleans, Rutland, Windham, Windsor)"
"Acer saccharum var. saccharum","sugar maple","VT(Addison, Bennington, Chittenden, Essex, Franklin, Grand Isle, Lamoille, Orange, Orleans, Rutland, Windham, Windsor)"
"Acer spicatum","mountain maple","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Franklin, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Achillea","yarrow","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Franklin, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Achillea filipendulina","fernleaf yarrow","VT(Rutland)"
"Achillea millefolium","common yarrow","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Franklin, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Achillea ptarmica","sneezeweed","VT(Washington, Windsor)"
"Acinos","acinos","VT(Addison, Bennington, Chittenden, Orleans, Rutland, Windsor)"
"Acinos arvensis","basil thyme","VT(Addison, Bennington, Chittenden, Orleans, Rutland, Windsor)"
"Aconitum","monkshood","VT(Orleans, Windham)"
"Aconitum napellus","Venus' chariot","VT(Orleans, Windham)"
"Acorus","sweetflag","VT(Addison, Chittenden, Franklin, Grand Isle, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Acorus calamus","calamus","VT(Addison, Chittenden, Franklin, Grand Isle, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Actaea","baneberry","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Actaea pachypoda","white baneberry","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Actaea rubra","red baneberry","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Actaea rubra ssp. rubra","red baneberry","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Adiantum","maidenhair fern","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Adiantum pedatum","northern maidenhair","VT(Addison, Bennington, Caledonia, Chittenden, Essex, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor)"
"Adiantum viridimontanum","Green Mountain maidenhair","VT(Lamoille)"
"Adlumia","adlumia","VT(Addison, Bennington, Caledonia, Chittenden, Grand Isle, Orange, Orleans, Windham, Windsor)"
"Adlumia fungosa","allegheny vine","VT(Addison, Bennington, Caledonia, Chittenden, Grand Isle, Orange, Orleans, Windham, Windsor)"
"Aegopodium","goutweed","VT(Bennington, Caledonia, Chittenden, Lamoille, Washington, Windham)"
"Aegopodium podagraria","bishop's goutweed","VT(Bennington, Caledonia, Chittenden, Lamoille, Washington, Windham)"
