"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Abies balsamea","balsam fir","VA(Madison, Page)"
"Abies balsamea var. phanerolepis","balsam fir","VA(Madison, Page)"
"Abies fraseri","Fraser fir","VA(Grayson, Smyth)"
"Abutilon","Indian mallow","VA(Accomack, Albemarle, Amelia, Augusta, Bedford, Brunswick, Campbell, Caroline, Carroll, Charles City, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Essex, Fairfax, Fauquier, Frederick, Giles, Gloucester, Greensville, Halifax, Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, New Kent, Newport News (city), Northampton, Northumberland, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Rockbridge, Rockingham, Shenandoah, Smyth, Southampton, Spotsylvania, Virginia Beach (city), Westmoreland)"
"Abutilon theophrasti","velvetleaf","VA(Accomack, Albemarle, Amelia, Augusta, Bedford, Brunswick, Campbell, Caroline, Carroll, Charles City, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Essex, Fairfax, Fauquier, Frederick, Giles, Gloucester, Greensville, Halifax, Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, New Kent, Newport News (city), Northampton, Northumberland, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Rockbridge, Rockingham, Shenandoah, Smyth, Southampton, Spotsylvania, Virginia Beach (city), Westmoreland)"
"Acalypha","copperleaf","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, York)"
"Acalypha gracilens","slender threeseed mercury","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesterfield, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Fluvanna, Frederick, Gloucester, Goochland, Grayson, Greensville, Halifax, Hanover, Henrico, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
"Acalypha ostryifolia","pineland threeseed mercury","VA(Bedford, Botetourt, Culpeper, Dinwiddie, Goochland, Prince Edward, Rockbridge, Russell)"
"Acalypha rhomboidea","common threeseed mercury","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Westmoreland, Wise, York)"
"Acalypha virginica","Virginia threeseed mercury","VA(Amelia, Amherst, Arlington, Bedford, Buchanan, Chesapeake (city), Clarke, Culpeper, Cumberland, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Greene, Halifax, Lancaster, Loudoun, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Northampton, Nottoway, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Southampton, Spotsylvania, Virginia Beach (city), Warren, Washington, York)"
