"","",""
"Abelmoschus","okra","DC(District of Columbia)"
"Abelmoschus esculentus","okra","DC(District of Columbia)"
"Abutilon","Indian mallow","DC(District of Columbia)"
"Abutilon theophrasti","velvetleaf","DC(District of Columbia)"
"Acalypha","copperleaf","DC(District of Columbia)"
"Acalypha gracilens","slender threeseed mercury","DC(District of Columbia)"
"Acalypha rhomboidea","common threeseed mercury","DC(District of Columbia)"
"Acalypha virginica","Virginia threeseed mercury","DC(District of Columbia)"
"Acer","maple","DC(District of Columbia)"
"Acer leucoderme","chalk maple","DC(District of Columbia)"
"Acer negundo","boxelder","DC(District of Columbia)"
"Acer negundo var. negundo","boxelder","DC(District of Columbia)"
"Acer nigrum","black maple","DC(District of Columbia)"
"Acer palmatum","Japanese maple","DC(District of Columbia)"
"Acer platanoides","Norway maple","DC(District of Columbia)"
"Acer pseudoplatanus","sycamore maple","DC(District of Columbia)"
"Acer rubrum","red maple","DC(District of Columbia)"
"Acer rubrum var. rubrum","red maple","DC(District of Columbia)"
"Acer saccharinum","silver maple","DC(District of Columbia)"
"Achillea","yarrow","DC(District of Columbia)"
"Achillea millefolium","common yarrow","DC(District of Columbia)"
"Achillea millefolium var. occidentalis","western yarrow","DC(District of Columbia)"
"Aconitum","monkshood","DC(District of Columbia)"
"Aconitum uncinatum","southern blue monkshood","DC(District of Columbia)"
"Aconitum uncinatum ssp. uncinatum","southern blue monkshood","DC(District of Columbia)"
"Acorus","sweetflag","DC(District of Columbia)"
"Acorus americanus","sweetflag","DC(District of Columbia)"
"Acorus calamus","calamus","DC(District of Columbia)"
"Actaea","baneberry","DC(District of Columbia)"
"Actaea racemosa","black baneberry","DC(District of Columbia)"
"Actaea racemosa var. racemosa","black bugbane","DC(District of Columbia)"
"Adiantum","maidenhair fern","DC(District of Columbia)"
"Adiantum pedatum","northern maidenhair","DC(District of Columbia)"
"Aegopodium","goutweed","DC(District of Columbia)"
"Aegopodium podagraria","bishop's goutweed","DC(District of Columbia)"
"Aesculus","buckeye","DC(District of Columbia)"
"Aesculus flava","yellow buckeye","DC(District of Columbia)"
"Aesculus parviflora","bottlebrush buckeye","DC(District of Columbia)"
"Agalinis","false foxglove","DC(District of Columbia)"
"Agalinis auriculata","earleaf false foxglove","DC(District of Columbia)"
"Agalinis obtusifolia","tenlobe false foxglove","DC(District of Columbia)"
"Agalinis purpurea","purple false foxglove","DC(District of Columbia)"
"Agalinis setacea","threadleaf false foxglove","DC(District of Columbia)"
"Agalinis tenuifolia","slenderleaf false foxglove","DC(District of Columbia)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","DC(District of Columbia)"
"Agastache","giant hyssop","DC(District of Columbia)"
"Agastache nepetoides","yellow giant hyssop","DC(District of Columbia)"
"Agastache scrophulariifolia","purple giant hyssop","DC(District of Columbia)"
"Ageratina","snakeroot","DC(District of Columbia)"
"Ageratina altissima","white snakeroot","DC(District of Columbia)"
"Ageratina altissima var. altissima","white snakeroot","DC(District of Columbia)"
"Ageratina aromatica","lesser snakeroot","DC(District of Columbia)"
"Ageratina aromatica var. aromatica","lesser snakeroot","DC(District of Columbia)"
"Agrimonia","agrimony","DC(District of Columbia)"
"Agrimonia parviflora","harvestlice","DC(District of Columbia)"
"Agrimonia pubescens","soft agrimony","DC(District of Columbia)"
"Agrimonia rostellata","beaked agrimony","DC(District of Columbia)"
"Agrostemma","corncockle","DC(District of Columbia)"
"Agrostemma githago","common corncockle","DC(District of Columbia)"
"Agrostis","bentgrass","DC(District of Columbia)"
"Agrostis capillaris","colonial bentgrass","DC(District of Columbia)"
"Agrostis elliottiana","Elliott's bentgrass","DC(District of Columbia)"
"Agrostis gigantea","redtop","DC(District of Columbia)"
"Agrostis hyemalis","winter bentgrass","DC(District of Columbia)"
"Agrostis perennans","upland bentgrass","DC(District of Columbia)"
"Agrostis stolonifera","creeping bentgrass","DC(District of Columbia)"
"Ailanthus","ailanthus","DC(District of Columbia)"
"Ailanthus altissima","tree of heaven","DC(District of Columbia)"
"Aira","hairgrass","DC(District of Columbia)"
"Aira caryophyllea","silver hairgrass","DC(District of Columbia)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","DC(District of Columbia)"
"Ajuga","bugle","DC(District of Columbia)"
"Ajuga reptans","common bugle","DC(District of Columbia)"
"Akebia","chocolate vine","DC(District of Columbia)"
"Akebia quinata","chocolate vine","DC(District of Columbia)"
"Albizia","albizia","DC(District of Columbia)"
