"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Abies balsamea","balsam fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Abies balsamea var. phanerolepis","balsam fir","WV(Randolph)"
"Abutilon","Indian mallow","WV(Braxton, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Mercer, Monongalia, Ohio, Ritchie, Summers, Taylor, Upshur, Wayne, Wetzel, Wirt)"
"Abutilon theophrasti","velvetleaf","WV(Braxton, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Mercer, Monongalia, Ohio, Ritchie, Summers, Taylor, Upshur, Wayne, Wetzel, Wirt)"
"Acalypha","copperleaf","WV(Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Acalypha gracilens","slender threeseed mercury","WV(Braxton, Brooke, Cabell, Calhoun, Fayette, Hancock, Hardy, Marion, Mason, Mineral, Pocahontas, Raleigh, Ritchie, Wetzel, Wirt)"
"Acalypha ostryifolia","pineland threeseed mercury","WV(Cabell)"
"Acalypha rhomboidea","common threeseed mercury","WV(Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Acalypha virginica","Virginia threeseed mercury","WV(Braxton, Brooke, Cabell, Clay, Doddridge, Fayette, Greenbrier, Hampshire, Hardy, Mineral, Raleigh, Ritchie, Summers, Wyoming)"
"Acer","maple","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Acer negundo","boxelder","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Kanawha, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Ohio, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wirt, Wood, Wyoming)"
"Acer negundo var. negundo","boxelder","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Kanawha, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Ohio, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wirt, Wood, Wyoming)"
"Acer nigrum","black maple","WV(Berkeley, Brooke, Clay, Fayette, Grant, Greenbrier, Hancock, Harrison, Jackson, Marion, Marshall, Mason, Mercer, Mineral, Mingo, Monongalia, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Ritchie, Summers, Taylor, Upshur, Wayne, Wirt)"
"Acer pensylvanicum","striped maple","WV(Barbour, Braxton, Fayette, Grant, Greenbrier, Hampshire, Hardy, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wyoming)"
"Acer platanoides","Norway maple","WV(Marshall, Mineral, Monongalia, Ohio, Preston, Randolph, Upshur, Wyoming)"
"Acer rubrum","red maple","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Acer rubrum var. rubrum","red maple","WV(Boone, Braxton, Brooke, Gilmer, Grant, Jackson, Lewis, Logan, McDowell, Mineral, Mingo, Pleasants, Roane, Tucker, Tyler, Wood, Wyoming)"
"Acer rubrum var. trilobum","red maple","WV(Barbour, Berkeley, Cabell, Calhoun, Clay, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Marion, Marshall, Mercer, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Acer saccharinum","silver maple","WV(Barbour, Berkeley, Brooke, Cabell, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wayne, Wirt, Wood, Wyoming)"
"Acer saccharum","sugar maple","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Acer saccharum var. saccharum","sugar maple","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Acer spicatum","mountain maple","WV(Boone, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Tucker, Webster, Wetzel)"
"Achillea","yarrow","WV(Monongalia, Randolph, Tucker)"
"Achillea ptarmica","sneezeweed","WV(Monongalia, Randolph, Tucker)"
"Acinos","acinos","WV(Hampshire, Pendleton, Randolph)"
"Acinos arvensis","basil thyme","WV(Hampshire, Pendleton, Randolph)"
"Aconitum","monkshood","WV(Barbour, Fayette, Grant, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Tucker, Wyoming)"
"Aconitum reclinatum","trailing white monkshood","WV(Grant, Pendleton, Pocahontas, Preston, Randolph, Tucker)"
"Aconitum uncinatum","southern blue monkshood","WV(Barbour, Fayette, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Summers, Wyoming)"
"Aconitum uncinatum ssp. muticum","southern blue monkshood","WV(Barbour, Fayette, Mineral, Monongalia, Pocahontas, Preston, Randolph, Summers)"
"Aconitum uncinatum ssp. uncinatum","southern blue monkshood","WV(Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Wyoming)"
"Acorus","sweetflag","WV(Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Hampshire, Hardy, Harrison, Jackson, McDowell, Mineral, Monongalia, Ohio, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Upshur, Wirt)"
