"","",""
"Abies","fir","WI(Adams, Ashland, Barron, Bayfield, Brown, Burnett, Chippewa, Clark, Columbia, Door, Douglas, Dunn, Eau Claire, Florence, Forest, Iron, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Menominee, Oconto, Oneida, Pepin, Portage, Price, Rusk, Sawyer, Shawano, Sheboygan, St. Croix, Taylor, Trempealeau, Vernon, Vilas, Washburn, Washington, Waupaca, Wood)"
"Abies balsamea","balsam fir","WI(Adams, Ashland, Barron, Bayfield, Brown, Burnett, Chippewa, Clark, Columbia, Door, Douglas, Dunn, Eau Claire, Florence, Forest, Iron, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Menominee, Oconto, Oneida, Pepin, Portage, Price, Rusk, Sawyer, Shawano, Sheboygan, St. Croix, Taylor, Trempealeau, Vernon, Vilas, Washburn, Washington, Waupaca, Wood)"
"Abies balsamea var. balsamea","balsam fir","WI(Adams, Ashland, Barron, Bayfield, Brown, Burnett, Chippewa, Clark, Columbia, Door, Douglas, Dunn, Eau Claire, Florence, Forest, Iron, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Menominee, Oconto, Oneida, Pepin, Portage, Price, Rusk, Sawyer, Shawano, Sheboygan, St. Croix, Taylor, Trempealeau, Vernon, Vilas, Washburn, Washington, Waupaca, Wood)"
"Abutilon","Indian mallow","WI(Brown, Buffalo, Calumet, Columbia, Crawford, Dane, Dodge, Door, Dunn, Fond du Lac, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Kenosha, Kewaunee, La Crosse, Lafayette, Manitowoc, Marquette, Milwaukee, Monroe, Oconto, Outagamie, Pepin, Pierce, Racine, Richland, Rock, Sauk, Sheboygan, Trempealeau, Vernon, Walworth, Washington, Waukesha, Winnebago)"
"Abutilon theophrasti","velvetleaf","WI(Brown, Buffalo, Calumet, Columbia, Crawford, Dane, Dodge, Door, Dunn, Fond du Lac, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Kenosha, Kewaunee, La Crosse, Lafayette, Manitowoc, Marquette, Milwaukee, Monroe, Oconto, Outagamie, Pepin, Pierce, Racine, Richland, Rock, Sauk, Sheboygan, Trempealeau, Vernon, Walworth, Washington, Waukesha, Winnebago)"
"Acalypha","copperleaf","WI(Adams, Brown, Buffalo, Calumet, Columbia, Crawford, Dane, Dunn, Eau Claire, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Juneau, Kenosha, La Crosse, Lafayette, Lincoln, Marathon, Marquette, Milwaukee, Oconto, Outagamie, Pierce, Polk, Portage, Racine, Richland, Rock, Sauk, Sheboygan, St. Croix, Taylor, Trempealeau, Vernon, Walworth, Waukesha, Waupaca, Waushara, Winnebago)"
"Acalypha gracilens","slender threeseed mercury","WI(Buffalo, Green Lake, Sheboygan)"
"Acalypha rhomboidea","common threeseed mercury","WI(Adams, Brown, Buffalo, Calumet, Columbia, Crawford, Dane, Dunn, Eau Claire, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Juneau, Kenosha, La Crosse, Lafayette, Lincoln, Marathon, Marquette, Milwaukee, Oconto, Outagamie, Pierce, Polk, Portage, Racine, Richland, Rock, Sauk, Sheboygan, St. Croix, Taylor, Trempealeau, Vernon, Walworth, Waukesha, Waupaca, Waushara, Winnebago)"
"Acer","maple","WI(Adams, Ashland, Barron, Bayfield, Brown, Buffalo, Burnett, Calumet, Chippewa, Clark, Columbia, Crawford, Dane, Dodge, Door, Douglas, Dunn, Eau Claire, Florence, Fond du Lac, Forest, Grant, Green, Green Lake, Iowa, Iron, Jackson, Jefferson, Juneau, Kenosha, Kewaunee, La Crosse, Lafayette, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Menominee, Milwaukee, Monroe, Oconto, Oneida, Outagamie, Ozaukee, Pepin, Pierce, Polk, Portage, Price, Racine, Richland, Rock, Rusk, Sauk, Sawyer, Shawano, Sheboygan, St. Croix, Taylor, Trempealeau, Vernon, Vilas, Walworth, Washburn, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood)"
"Acer ×freemanii","Freeman maple","WI(Bayfield, Grant, Iowa, La Crosse, Lincoln, Marinette, Marquette, Oconto, Outagamie, Racine, Richland, Sauk, Sheboygan, Vernon, Washington, Waushara)"
"Acer ginnala","Amur maple","WI(Brown, Eau Claire, La Crosse, Milwaukee, Rock)"
"Acer negundo","boxelder","WI(Ashland, Barron, Bayfield, Brown, Buffalo, Calumet, Columbia, Crawford, Dane, Dodge, Door, Douglas, Dunn, Fond du Lac, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Kenosha, Kewaunee, La Crosse, Lafayette, Langlade, Lincoln, Manitowoc, Marinette, Marquette, Milwaukee, Monroe, Oconto, Oneida, Outagamie, Ozaukee, Pepin, Pierce, Polk, Portage, Racine, Richland, Rock, Rusk, Sauk, Shawano, Sheboygan, St. Croix, Taylor, Trempealeau, Vernon, Vilas, Walworth, Washington, Waukesha, Waupaca, Waushara, Winnebago)"
"Acer negundo var. interius","boxelder","WI(St. Croix)"
